Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
2,12:59,1,10,DET 18,19,0,Jared Goff pass complete deep middle to Jameson Williams for 82 yards touchdown,0.040,7.000
2,12:49,,,CHI 15,20,0,Jake Bates kicks extra point good,0.000,0.000
2,12:49,,,DET 35,20,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,12:49,1,10,CHI 30,20,0,D'Andre Swift left tackle for 2 yards (tackle by Amik Robertson),0.940,0.660
2,12:13,2,8,CHI 32,20,0,Caleb Williams pass incomplete deep left intended for D.J. Moore,0.660,-0.030
2,12:06,3,8,CHI 32,20,0,Caleb Williams pass complete short middle to Rome Odunze for 15 yards (tackle by Brian Branch). Penalty on Za'Darius Smith: Illegal Use of Hands / Defense 5 yards (declined),-0.030,2.060
2,11:35,1,10,CHI 47,20,0,Penalty on Coleman Shelton: False Start 5 yards (accepted) (no play),2.060,1.730
2,11:30,1,15,CHI 42,20,0,Caleb Williams pass complete short left to D'Andre Swift for 13 yards (tackle by Ifeatu Melifonwu and Terrion Arnold),1.730,2.600
2,11:04,2,2,DET 45,20,0,D'Andre Swift right guard for 7 yards (tackle by Ifeatu Melifonwu),2.600,3.050
2,10:28,1,10,DET 38,20,0,D'Andre Swift right guard for 4 yards (tackle by Jack Campbell and Pat O'Connor),3.050,3.050
2,10:01,2,6,DET 34,20,0,Caleb Williams pass incomplete short middle intended for Collin Johnson (defended by Amik Robertson),3.050,2.340
2,9:56,3,6,DET 34,20,0,Roschon Johnson right guard for 3 yards (tackle by Levi Onwuzurike),2.340,1.380
2,9:19,4,3,DET 31,20,0,Caleb Williams pass complete short right to Rome Odunze for 13 yards (tackle by Brian Branch),1.380,4.370
2,8:59,1,10,DET 18,20,0,D'Andre Swift left end for 4 yards (tackle by Kerby Joseph and Amik Robertson),4.370,4.430
2,8:19,2,6,DET 14,20,0,Penalty on Gerald Everett: False Start 5 yards (accepted) (no play),4.430,3.670
2,8:09,2,11,DET 19,20,0,Caleb Williams pass complete short right to D.J. Moore for 14 yards (tackle by Brian Branch),3.670,6.060
2,7:29,1,5,DET 5,20,0,Caleb Williams pass incomplete short middle intended for Keenan Allen,6.060,5.150
2,7:17,2,5,DET 5,20,0,D'Andre Swift left guard for 4 yards (tackle by Kerby Joseph and Amik Robertson),5.150,5.170
2,6:35,3,1,DET 1,20,6,Caleb Williams pass complete short left to Cole Kmet for 1 yard touchdown,5.170,7.000
2,6:31,,,DET 15,20,7,Cairo Santos kicks extra point good,0.000,0.000
2,6:31,,,CHI 35,20,7,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,6:31,1,10,DET 30,20,7,Jared Goff pass complete short left to Jahmyr Gibbs for 6 yards (tackle by Jonathan Owens),0.940,1.200
2,5:57,2,4,DET 36,20,7,Jahmyr Gibbs left tackle for 9 yards (tackle by Jonathan Owens),1.200,1.930
2,5:27,1,10,DET 45,20,7,Jared Goff pass complete short middle to Jahmyr Gibbs for 11 yards (tackle by Kevin Byard),1.930,2.650
2,4:38,1,10,CHI 44,20,7,Jared Goff pass complete short left to Jermar Jefferson for 10 yards (tackle by Jack Sanborn),2.650,3.310
2,4:15,1,10,CHI 34,20,7,Jahmyr Gibbs left guard for 4 yards (tackle by Jacob Martin),3.310,3.310
2,3:39,2,6,CHI 30,20,7,Jahmyr Gibbs left guard for 3 yards (tackle by T.J. Edwards),3.310,3.010
2,2:50,3,3,CHI 27,20,7,Jahmyr Gibbs right guard for 2 yards (tackle by Montez Sweat),3.010,1.950
2,2:02,4,1,CHI 25,20,7,Penalty on Austin Booker: Neutral Zone Infraction 5 yards (accepted) (no play),1.950,4.240
2,2:00,1,10,CHI 20,20,7,Jared Goff pass complete short right to Jameson Williams for 14 yards (tackle by Kyler Gordon and Jonathan Owens),4.240,5.830
2,1:53,1,6,CHI 6,20,7,Jahmyr Gibbs left guard for -1 yards (tackle by Jonathan Owens and Montez Sweat),5.830,4.760
2,1:10,2,7,CHI 7,20,7,Jahmyr Gibbs right tackle for -1 yards (tackle by DeMarcus Walker and Zacch Pickens),4.760,3.580
2,1:04,,,,,,Timeout #1 by Chicago Bears,,
2,1:04,3,8,CHI 8,26,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 8 yards touchdown,3.580,7.000
2,0:58,,,CHI 15,27,7,Jake Bates kicks extra point good,0.000,0.000
2,0:58,,,DET 35,27,7,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,0:58,1,10,CHI 30,27,7,Caleb Williams pass incomplete short left intended for Keenan Allen (defended by D.J. Reader),0.940,0.390
2,0:54,2,10,CHI 30,27,7,Caleb Williams pass complete deep right to D.J. Moore for 25 yards (tackle by Brian Branch),0.390,2.590
2,0:46,,,,,,Timeout #2 by Chicago Bears,,
2,0:46,1,10,DET 45,27,13,Caleb Williams pass complete deep right to Keenan Allen for 45 yards touchdown,2.590,7.000
2,0:39,,,DET 15,27,14,Cairo Santos kicks extra point good,0.000,0.000
2,0:39,,,CHI 35,27,14,Cairo Santos kicks off 59 yards returned by Craig Reynolds for 28 yards (tackle by Elijah Hicks and Collin Johnson),0.000,1.200
2,0:33,1,10,DET 34,27,14,Jared Goff pass incomplete deep middle intended for Tim Patrick,1.200,0.660
2,0:28,2,10,DET 34,27,14,Jared Goff pass complete short middle to Sione Vaki for 8 yards (tackle by Jonathan Owens and Tremaine Edmunds),0.660,1.030
2,0:20,,,,,,Timeout #1 by Detroit Lions,,
2,0:20,3,2,DET 42,27,14,Jared Goff pass complete short right to Sione Vaki for 12 yards (tackle by Kevin Byard and T.J. Edwards),1.030,2.520
2,0:11,,,,,,Timeout #2 by Detroit Lions,,
2,0:11,1,10,CHI 46,27,14,Jared Goff pass incomplete short middle intended for Sam LaPorta,2.520,1.980
2,0:07,2,10,CHI 46,27,14,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by T.J. Edwards),1.980,1.820
2,0:01,,,,,,Timeout #3 by Detroit Lions,,
2,0:01,3,6,CHI 42,27,14,Penalty on Hogan Hatten: False Start 5 yards (accepted) (no play),1.820,1.220
2,0:01,3,10,CHI 47,27,14,Jake Bates 65 yard field goal no good,1.220,2.520
3,15:00,,,CHI 35,27,14,Cairo Santos kicks off 63 yards returned by Sione Vaki for 19 yards (tackle by Daniel Hardy and Terell Smith),0.000,0.340
3,14:55,1,10,DET 21,27,14,Jared Goff pass complete short right to Jameson Williams for 25 yards (tackle by Jaylon Johnson),0.340,1.990
3,14:20,1,10,DET 46,27,14,Jahmyr Gibbs left guard for 5 yards (tackle by Montez Sweat),1.990,2.130
3,13:42,2,5,CHI 49,27,14,Jahmyr Gibbs right tackle for 8 yards (tackle by DeMarcus Walker),2.130,2.850
3,13:00,1,10,CHI 41,27,14,Jared Goff pass complete short middle to Craig Reynolds for 5 yards (tackle by Jaylon Johnson). Penalty on Jaylon Johnson: Unsportsmanlike Conduct / Defense 15 yards (accepted),2.850,4.170
3,12:24,1,10,CHI 21,33,14,Jared Goff pass complete deep left to Sam LaPorta for 21 yards touchdown,4.170,7.000
3,12:18,,,CHI 15,34,14,Jake Bates kicks extra point good,0.000,0.000
3,12:18,,,DET 35,34,14,Jake Bates kicks off 65 yards touchback.,0.000,0.940
3,12:18,1,10,CHI 30,34,14,D'Andre Swift right end for -1 yards (tackle by Levi Onwuzurike),0.940,0.260
3,11:35,2,11,CHI 29,34,14,Caleb Williams pass complete deep middle to D.J. Moore for 17 yards (tackle by Terrion Arnold),0.260,1.990
3,11:07,1,10,CHI 46,34,14,D'Andre Swift left end for 1 yard (tackle by Amik Robertson),1.990,1.590
3,10:33,2,9,CHI 47,34,14,Caleb Williams pass complete short right to Rome Odunze for no gain (tackle by Jack Campbell). Penalty on Keenan Allen: Offensive Offside 5 yards (accepted) (no play),1.590,0.910
3,9:57,2,14,CHI 42,34,14,Caleb Williams pass incomplete short right,0.910,0.230
3,9:56,3,14,CHI 42,34,14,Caleb Williams scrambles left end for 13 yards (tackle by Terrion Arnold),0.230,0.270
3,9:09,4,1,DET 45,34,14,Caleb Williams pass complete deep right to Rome Odunze for 30 yards (tackle by Amik Robertson),0.270,4.580
3,8:23,1,10,DET 15,34,14,Caleb Williams pass complete short left to D.J. Moore for 1 yard (tackle by Ben Niemann and Ifeatu Melifonwu),4.580,4.110
3,7:45,2,9,DET 14,34,14,D'Andre Swift right end for -2 yards (tackle by Amik Robertson),4.110,3.040
3,6:59,3,11,DET 16,34,14,Caleb Williams scrambles right tackle for 4 yards (tackle by Jack Campbell and Za'Darius Smith),3.040,2.630
3,6:07,4,7,DET 12,34,17,Cairo Santos 30 yard field goal good,2.630,3.000
3,6:03,,,CHI 35,34,17,Cairo Santos kicks off 61 yards returned by Sione Vaki for 36 yards (tackle by Amen Ogbongbemiga),0.000,1.600
3,5:56,1,10,DET 40,34,17,Jared Goff pass complete short middle to Jahmyr Gibbs for 5 yards (tackle by T.J. Edwards),1.600,1.730
