Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
2,6:25,1,2,NYJ 2,6,6,Kyren Williams up the middle for 2 yards touchdown,6.740,7.000
2,6:22,,,NYJ 15,6,6,Joshua Karty kicks extra point no good,0.000,-1.000
2,6:22,,,LAR 35,6,6,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,6:22,1,10,NYJ 30,6,6,Breece Hall right tackle for 7 yards (tackle by Christian Rozeboom and Darious Williams),0.940,1.340
2,5:45,2,3,NYJ 37,6,6,Breece Hall right guard for 4 yards (tackle by Christian Rozeboom and Michael Hoecht),1.340,1.660
2,5:11,1,10,NYJ 41,6,6,Aaron Rodgers pass complete short left to Braelon Allen for 5 yards (tackle by Ahkello Witherspoon),1.660,1.800
2,4:35,2,5,NYJ 46,6,6,Aaron Rodgers pass complete short left to Davante Adams for 13 yards (tackle by Omar Speights),1.800,2.850
2,3:55,1,10,LAR 41,6,6,Breece Hall left tackle for 3 yards (tackle by Jared Verse and Omar Speights),2.850,2.710
2,3:24,2,7,LAR 38,6,6,Breece Hall right guard for 3 yards (tackle by Darious Williams and Neville Gallimore),2.710,2.410
2,2:24,3,4,LAR 35,6,6,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Ahkello Witherspoon). Penalty on Olumuyiwa Fashanu: Offensive Holding 10 yards (accepted) (no play),2.410,1.090
2,2:19,3,14,LAR 45,6,6,Aaron Rodgers sacked by Braden Fiske for no gain. Penalty on John Simpson: Offensive Holding (offset) . Penalty on Darious Williams: Illegal Use of Hands / Defense (offset) (no play),1.090,1.090
2,2:00,3,14,LAR 45,6,6,Aaron Rodgers pass complete short left to Davante Adams for 11 yards (tackle by Jaylen McCollough),1.090,1.090
2,1:16,4,3,LAR 34,6,6,Aaron Rodgers pass complete short middle to Allen Lazard for 11 yards (tackle by Quentin Lake). Penalty on Jaylen McCollough: Defensive Offside 5 yards (declined),1.090,4.040
2,1:09,1,10,LAR 23,6,6,Breece Hall left guard for 4 yards (tackle by Kobie Turner and Jared Verse),4.040,4.050
2,0:34,2,6,LAR 19,6,6,Aaron Rodgers pass incomplete short right intended for Allen Lazard,4.050,3.340
2,0:30,3,6,LAR 19,6,6,Penalty on Aaron Rodgers: Delay of Game 5 yards (accepted) (no play),3.340,2.680
2,0:30,3,11,LAR 24,6,6,Aaron Rodgers pass complete short left to Breece Hall for 15 yards (tackle by Christian Rozeboom),2.680,5.140
2,0:21,,,,,,Timeout #1 by New York Jets,,
2,0:21,1,9,LAR 9,6,6,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Christian Rozeboom),5.140,5.530
2,0:14,,,,,,Timeout #2 by New York Jets,,
2,0:14,2,3,LAR 3,6,6,Aaron Rodgers pass incomplete short right intended for Davante Adams (defended by Omar Speights),5.530,4.720
2,0:09,,,,,,Timeout #1 by Los Angeles Rams,,
2,0:09,3,3,LAR 3,6,6,Aaron Rodgers pass incomplete short right intended for Breece Hall,4.720,3.040
2,0:03,4,3,LAR 3,6,9,Anders Carlson 21 yard field goal good,3.040,3.000
3,15:00,,,LAR 35,6,9,Ethan Evans kicks off 66 yards returned by Xavier Gipson for 30 yards (tackle by Jake Hummel),0.000,0.870
3,14:55,1,10,NYJ 29,6,9,Aaron Rodgers pass incomplete short right intended for Kenny Yeboah (defended by Kamren Curl),0.870,0.330
3,14:50,2,10,NYJ 29,6,9,Breece Hall left end for no gain (tackle by Christian Rozeboom and Quentin Lake). Penalty on Alijah Vera-Tucker: Offensive Holding 10 yards (accepted) (no play),0.330,-1.080
3,14:41,2,20,NYJ 19,6,9,Aaron Rodgers scrambles right end for 6 yards (tackle by Jaylen McCollough),-1.080,-0.890
3,13:55,3,14,NYJ 25,6,9,Aaron Rodgers pass complete deep right to Garrett Wilson for 19 yards,-0.890,1.860
3,13:14,1,10,NYJ 44,6,9,Isaiah Davis right guard for 9 yards (tackle by Christian Rozeboom and Kamren Kinchens),1.860,2.530
3,12:30,2,1,LAR 47,6,9,Isaiah Davis left tackle for 1 yard (tackle by Ahkello Witherspoon),2.530,2.520
3,11:52,1,10,LAR 46,6,9,Aaron Rodgers pass complete short right to Jeremy Ruckert for 7 yards (tackle by Christian Rozeboom and Darious Williams),2.520,2.920
3,11:02,2,3,LAR 39,6,9,Isaiah Davis left guard for 2 yards (tackle by Tyler Davis and Jared Verse),2.920,2.480
3,10:24,3,1,LAR 37,6,9,Aaron Rodgers pass complete short right to Tyler Conklin for 7 yards (tackle by Quentin Lake),2.480,3.580
3,9:41,1,10,LAR 30,6,9,Breece Hall up the middle for 2 yards (tackle by Byron Young),3.580,3.300
3,9:00,2,8,LAR 28,6,9,Aaron Rodgers pass complete short right to Breece Hall for 9 yards (tackle by Kamren Curl and Kamren Kinchens),3.300,4.310
3,8:13,1,10,LAR 19,6,9,Aaron Rodgers pass complete short right to Garrett Wilson for no gain (tackle by Omar Speights and Christian Rozeboom). Penalty on Olumuyiwa Fashanu: Ineligible Downfield Pass 5 yards (accepted) (no play),4.310,3.970
3,7:44,1,15,LAR 24,6,9,Aaron Rodgers pass complete short right to Tyler Conklin for no gain (tackle by Omar Speights). Penalty on Morgan Moses: Ineligible Downfield Pass 5 yards (accepted) (no play),3.970,3.640
3,7:04,1,20,LAR 29,6,9,Braelon Allen up the middle for 4 yards (tackle by Omar Speights and Braden Fiske),3.640,2.950
3,6:08,2,16,LAR 25,6,9,Aaron Rodgers pass incomplete short right intended for Tyler Conklin,2.950,2.280
3,6:00,3,16,LAR 25,6,9,Aaron Rodgers pass complete short right to Tyler Conklin for 12 yards (tackle by Quentin Lake and Christian Rozeboom),2.280,2.640
3,5:21,4,4,LAR 13,6,9,Aaron Rodgers pass incomplete short left intended for Davante Adams (defended by Ahkello Witherspoon),2.640,0.280
3,5:15,1,10,LAR 14,6,9,Matthew Stafford pass complete short middle to Cooper Kupp for 12 yards (tackle by Brandin Echols),-0.280,0.670
3,4:46,1,10,LAR 26,6,9,Kyren Williams right end for 8 yards (tackle by Chuck Clark),0.670,1.210
3,4:04,2,2,LAR 34,6,9,Matthew Stafford pass incomplete short right intended for Hunter Long. Penalty on Tony Adams: Defensive Pass Interference 12 yards (accepted) (no play),1.210,1.990
3,3:54,1,10,LAR 46,6,9,Kyren Williams up the middle for 9 yards (tackle by Tony Adams and Brandin Echols),1.990,2.670
3,3:31,2,1,NYJ 45,6,9,Kyren Williams up the middle for 6 yards (tackle by Javon Kinlaw),2.670,2.980
3,2:55,1,10,NYJ 39,6,9,Kyren Williams right tackle for 8 yards (tackle by Ashtyn Davis),2.980,3.520
3,2:15,2,2,NYJ 31,6,9,Kyren Williams left end for 4 yards (tackle by D.J. Reed),3.520,3.780
3,1:31,1,10,NYJ 27,6,9,Blake Corum right tackle for 1 yard (tackle by Jamien Sherwood),3.780,3.370
3,0:48,2,9,NYJ 26,6,9,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards (tackle by Quincy Williams),3.370,3.200
4,15:00,3,5,NYJ 22,6,9,Matthew Stafford pass complete short middle to Puka Nacua for 5 yards (tackle by Isaiah Oliver and Quincy Williams),3.200,4.440
4,14:24,1,10,NYJ 17,6,9,Matthew Stafford pass complete short left to Puka Nacua for -3 yards (tackle by Will McDonald and Quincy Williams),4.440,3.490
4,13:44,2,13,NYJ 20,6,9,Kyren Williams up the middle for 5 yards (tackle by Jamien Sherwood),3.490,3.340
4,12:52,3,8,NYJ 15,6,9,Penalty on Beaux Limmer: False Start 5 yards (accepted) (no play),3.340,2.810
4,12:52,3,13,NYJ 20,6,9,Matthew Stafford pass incomplete short middle intended for Tyler Higbee,2.810,2.120
4,12:47,4,13,NYJ 20,9,9,Joshua Karty 38 yard field goal good,2.120,3.000
4,12:44,,,LAR 35,9,9,Ethan Evans kicks off 64 yards returned by Xavier Gipson for 27 yards (tackle by Jake Hummel),0.000,0.810
4,12:37,1,10,NYJ 28,9,9,Breece Hall right end for 3 yards (tackle by Darious Williams and Kamren Curl),0.810,0.670
4,11:58,2,7,NYJ 31,9,9,Aaron Rodgers pass incomplete deep left intended for Davante Adams,0.670,-0.030
4,11:53,3,7,NYJ 31,9,9,Aaron Rodgers sacked by Kamren Curl for -10 yards. Aaron Rodgers fumbles (forced by Kamren Curl) recovered by Jared Verse at NYJ-21,-0.030,-4.170
