Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
2,10:37,1,17,SFO 24,7,3,Tua Tagovailoa pass incomplete deep left intended for Malik Washington,3.970,2.950
2,10:32,2,17,SFO 24,7,3,Tua Tagovailoa pass complete short left to Malik Washington for 4 yards (tackle by Fred Warner),2.950,2.810
2,9:48,3,13,SFO 20,7,3,Tua Tagovailoa pass incomplete short middle,2.810,2.120
2,9:44,4,13,SFO 20,7,6,Jason Sanders 38 yard field goal good,2.120,3.000
2,9:40,,,MIA 35,7,6,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,9:40,1,10,SFO 30,7,6,Patrick Taylor left guard for no gain (tackle by Jordyn Brooks),0.940,0.390
2,9:00,2,10,SFO 30,7,6,Brock Purdy pass incomplete deep middle intended for Deebo Samuel,0.390,-0.300
2,8:49,3,10,SFO 30,7,6,Penalty on Jake Brendel: False Start 5 yards (accepted) (no play),-0.300,-0.960
2,8:49,3,15,SFO 25,7,6,Brock Purdy scrambles left end for 1 yard (tackle by Emmanuel Ogbah),-0.960,-1.630
2,8:11,4,14,SFO 26,7,6,Penalty on Brayden Willis: False Start 5 yards (accepted) (no play),-1.630,-1.960
2,8:03,4,19,SFO 21,7,6,Pat O'Donnell punts 45 yards returned by Malik Washington for 8 yards (tackle by Eric Saubert). Penalty on Patrick McMorris: Offensive Holding 10 yards (accepted),-1.960,-1.070
2,7:53,1,10,MIA 32,7,6,De'Von Achane right guard for 7 yards (tackle by Malik Mustapha),1.070,1.470
2,7:15,2,3,MIA 39,7,6,Tua Tagovailoa pass complete short right to Raheem Mostert for 13 yards (tackle by Fred Warner),1.470,2.390
2,6:34,1,10,SFO 48,7,6,Raheem Mostert right end for 21 yards (tackle by Malik Mustapha and Talanoa Hufanga),2.390,3.780
2,5:50,1,10,SFO 27,7,6,De'Von Achane left end for 1 yard (tackle by Fred Warner),3.780,3.370
2,5:28,2,9,SFO 26,7,6,Tua Tagovailoa pass complete deep left to Malik Washington for 19 yards (tackle by Renardo Green),3.370,5.600
2,4:49,1,7,SFO 7,7,6,De'Von Achane up the middle for 2 yards (tackle by Nick Bosa),5.600,5.150
2,4:07,2,5,SFO 5,7,6,De'Von Achane right end for 2 yards (tackle by Dee Winters),5.150,4.720
2,3:22,3,3,SFO 3,7,12,Tua Tagovailoa pass complete short right to Tyreek Hill for 3 yards touchdown,4.720,7.000
