Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
1,2:38,1,10,SEA 13,7,0,Kenneth Walker up the middle for 11 yards (tackle by Stephon Gilmore and Bobby McCain),-0.320,0.540
1,2:00,1,10,SEA 24,7,0,Geno Smith pass complete short left to Pharaoh Brown for 17 yards (tackle by Blake Cashman),0.540,1.660
1,1:22,1,10,SEA 41,7,0,Geno Smith pass complete short right to Kenneth Walker for 8 yards (tackle by Byron Murphy and Josh Metellus),1.660,2.200
1,0:38,2,2,SEA 49,7,0,Geno Smith pass complete short left to Jake Bobo for 6 yards (tackle by Andrew Van Ginkel and Byron Murphy),2.200,2.590
2,15:00,1,10,MIN 45,7,0,Geno Smith pass complete short right to Noah Fant for 15 yards (tackle by Blake Cashman),2.590,3.580
2,14:16,1,10,MIN 30,7,0,Jaxon Smith-Njigba right end for 5 yards (tackle by Josh Metellus),3.580,3.710
2,13:41,2,5,MIN 25,7,6,Geno Smith pass complete deep right to D.K. Metcalf for 25 yards touchdown,3.710,7.000
2,13:35,,,MIN 15,7,7,Jason Myers kicks extra point good,0.000,0.000
2,13:35,,,SEA 35,7,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,13:35,1,10,MIN 30,7,7,Cam Akers right tackle for 3 yards (tackle by Leonard Williams),0.940,0.800
2,12:55,2,7,MIN 33,7,7,Sam Darnold pass incomplete short right intended for T.J. Hockenson,0.800,0.100
2,12:51,3,7,MIN 33,7,7,Sam Darnold sacked by Jarran Reed for -9 yards. Sam Darnold fumbles (forced by Jarran Reed) recovered by Sam Darnold at MIN-24,0.100,-1.770
2,12:13,4,16,MIN 24,7,7,Ryan Wright punts 54 yards returned by Jaelon Darden for 2 yards (tackle by Dallas Turner). Penalty on Josh Jobe: Defensive Illegal Blindside Block 12 yards (accepted),-1.770,0.350
2,12:01,1,10,SEA 12,7,7,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Stephon Gilmore),-0.350,-0.780
2,11:58,2,10,SEA 12,7,7,Geno Smith pass complete short middle to Kenneth Walker for 7 yards (tackle by Blake Cashman),-0.780,-0.600
2,11:21,3,3,SEA 19,7,7,Geno Smith pass complete short left to Tyler Lockett for 2 yards (tackle by Byron Murphy),-0.600,-1.960
2,10:38,4,1,SEA 21,7,7,Michael Dickson punts 46 yards fair catch by Brandon Powell at MIN-33,-1.960,-1.140
2,10:29,1,10,MIN 33,7,7,Sam Darnold pass complete short right to Aaron Jones for 15 yards (tackle by Coby Bryant),1.140,2.130
2,9:54,1,10,MIN 48,7,7,Aaron Jones left tackle for 2 yards (tackle by Uchenna Nwosu),2.130,1.850
2,9:11,2,8,MIN 50,7,7,Sam Darnold pass complete short right to Justin Jefferson for 19 yards (tackle by Tre Brown),1.850,3.510
2,8:33,1,10,SEA 31,7,7,Sam Darnold pass complete short left to C.J. Ham for 9 yards (tackle by Tyrice Knight and Julian Love),3.510,4.180
2,7:55,2,1,SEA 22,7,7,Aaron Jones left guard for 1 yard (tackle by Jarran Reed),4.180,4.170
2,7:13,1,10,SEA 21,7,7,Sam Darnold pass incomplete deep left intended for Jordan Addison (defended by Riq Woolen),4.170,3.630
2,7:07,2,10,SEA 21,7,7,Aaron Jones left guard for 2 yards (tackle by Jarran Reed and Leonard Williams),3.630,3.180
2,6:22,3,8,SEA 19,7,7,Sam Darnold sacked by Derick Hall for no gain. Penalty on Tre Brown: Defensive Offside 5 yards (accepted) (no play),3.180,4.020
