Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
2,9:50,3,1,TEN 39,7,7,Mason Rudolph pass incomplete deep left intended for Chigoziem Okonkwo,0.890,-0.780
2,9:43,4,1,TEN 39,7,7,Ryan Stonehouse punts 61 yards touchback.,-0.780,-0.280
2,9:35,1,10,IND 20,7,7,Jonathan Taylor up the middle for 5 yards (tackle by Sebastian Joseph-Day),0.280,0.410
2,8:54,2,5,IND 25,7,7,Jonathan Taylor up the middle for 4 yards (tackle by Amani Hooker),0.410,0.230
2,8:16,3,1,IND 29,7,7,Jonathan Taylor left tackle for 6 yards (tackle by Otis Reese and Harold Landry),0.230,1.270
2,7:36,1,10,IND 35,7,13,Jonathan Taylor left guard for 65 yards touchdown,1.270,7.000
2,7:25,,,TEN 15,7,14,Matt Gay kicks extra point good,0.000,0.000
2,7:25,,,IND 35,7,14,Matt Gay kicks off 64 yards returned by Tyjae Spears for 42 yards (tackle by Tre Flowers and Matt Gay),0.000,1.800
2,7:19,1,10,TEN 43,7,14,Tony Pollard up the middle for 3 yards (tackle by Grover Stewart and Jaylon Carlies),1.800,1.660
2,6:37,2,7,TEN 46,7,14,Mason Rudolph pass incomplete short right intended for Tony Pollard,1.660,0.960
2,6:33,3,7,TEN 46,7,14,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Nick Cross),0.960,-0.320
2,6:29,4,7,TEN 46,7,14,Ryan Stonehouse punts 46 yards returned by Anthony Gould for 14 yards (tackle by Jaylen Harrell),-0.320,-0.410
2,6:20,1,10,IND 22,7,14,Trey Sermon left guard for 5 yards (tackle by Jeffery Simmons and Otis Reese),0.410,0.540
2,5:46,2,5,IND 27,7,14,Trey Sermon right tackle for no gain (tackle by Kenneth Murray and Harold Landry),0.540,-0.160
2,5:09,3,5,IND 27,7,14,Anthony Richardson pass complete deep right to Adonai Mitchell for 36 yards,-0.160,3.120
2,4:37,1,10,TEN 37,7,14,Trey Sermon right guard for 4 yards (tackle by Chidobe Awuzie and Jeffery Simmons). Penalty on Jeffery Simmons: Unnecessary Roughness / Defense 15 yards (accepted),3.120,4.370
2,4:13,1,10,TEN 18,7,14,Jonathan Taylor right guard for 1 yard (tackle by James Williams),4.370,3.940
2,3:35,2,9,TEN 17,7,14,Jonathan Taylor up the middle for no gain (tackle by Jarvis Brownlee and Cedric Gray),3.940,3.170
2,2:56,3,9,TEN 17,7,14,Anthony Richardson right end for 4 yards (tackle by Cedric Gray and James Williams),3.170,2.620
2,2:13,4,5,TEN 13,7,17,Matt Gay 31 yard field goal good,2.620,3.000
2,2:09,,,IND 35,7,17,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,2:09,1,10,TEN 30,7,17,Tyjae Spears right guard for no gain (tackle by Grover Stewart),0.940,0.390
2,2:00,2,10,TEN 30,7,17,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Jaylon Jones),0.390,0.500
2,1:34,3,4,TEN 36,7,17,Mason Rudolph pass short right intended for Tyler Boyd is intercepted by Kenny Moore at TEN-45 and returned for 12 yards (tackle by Tyjae Spears). Penalty on Nicholas Petit-Frere: Illegal Formation 5 yards (declined),0.500,-3.380
2,1:25,1,10,TEN 33,7,17,Jonathan Taylor left tackle for 7 yards (tackle by James Williams),3.380,3.780
2,0:59,2,3,TEN 26,7,17,Jonathan Taylor up the middle for -1 yards (tackle by Jarvis Brownlee),3.780,2.940
2,0:22,3,4,TEN 27,7,23,Anthony Richardson pass complete short right to Josh Downs for 27 yards touchdown,2.940,7.000
2,0:15,,,TEN 15,7,24,Matt Gay kicks extra point good,0.000,0.000
2,0:15,,,IND 35,7,24,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,0:15,1,10,TEN 30,7,24,Mason Rudolph kneels for -1 yards,0.940,0.260
3,15:00,,,TEN 35,7,24,Brayden Narveson kicks off 65 yards returned by Ashton Dulin for 30 yards (tackle by Mike Brown and Cedric Gray),0.000,0.940
3,14:53,1,10,IND 30,7,30,Jonathan Taylor left tackle for 70 yards touchdown,0.940,7.000
3,14:42,,,TEN 15,7,31,Matt Gay kicks extra point good,0.000,0.000
3,14:42,,,IND 35,7,31,Matt Gay kicks off 65 yards touchback.,0.000,0.940
3,14:42,1,10,TEN 30,7,31,Tony Pollard left tackle for 3 yards (tackle by Zaire Franklin and Grover Stewart),0.940,0.800
3,14:04,2,7,TEN 33,7,31,Tony Pollard right tackle for 5 yards (tackle by Grover Stewart),0.800,0.760
3,13:19,3,2,TEN 38,7,31,Mason Rudolph sacked by Kwity Paye for -10 yards,0.760,-1.500
3,12:41,4,12,TEN 28,7,31,Ryan Stonehouse punts 54 yards returned by Anthony Gould for 4 yards (tackle by Cedric Gray),-1.500,-0.410
3,12:28,1,10,IND 22,7,31,Jonathan Taylor right tackle for no gain (tackle by Jeffery Simmons),0.410,-0.130
