Quarter,Time,Down,ToGo,Location,TAM,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
2,10:11,2,8,TAM 34,7,10,Cooper Rush pass incomplete short left intended for CeeDee Lamb. Penalty on CeeDee Lamb: Illegal Motion 5 yards (accepted) (no play),2.910,2.230
2,10:05,2,13,TAM 39,7,10,Cooper Rush pass complete short middle to Rico Dowdle for 8 yards (tackle by Christian Izien),2.230,2.610
2,9:25,3,5,TAM 31,7,10,Cooper Rush pass incomplete deep right intended for CeeDee Lamb,2.610,1.350
2,9:20,4,5,TAM 31,7,13,Brandon Aubrey 49 yard field goal good,1.350,3.000
2,9:15,,,DAL 35,7,13,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
2,9:15,1,10,TAM 30,7,13,Bucky Irving right tackle for 5 yards (tackle by Mazi Smith),0.940,1.070
2,8:38,2,5,TAM 35,7,13,Bucky Irving up the middle for 4 yards (tackle by Nick Vigil),1.070,0.890
2,7:58,3,1,TAM 39,7,13,Rachaad White right guard for 2 yards (tackle by Amani Oruwariye and Damone Clark),0.890,1.660
2,7:21,1,10,TAM 41,7,13,Baker Mayfield pass complete short left to Bucky Irving for 7 yards (tackle by Nick Vigil),1.660,2.070
2,6:39,2,3,TAM 48,7,13,Bucky Irving up the middle for 7 yards (tackle by Micah Parsons),2.070,2.590
2,5:56,1,10,DAL 45,7,13,Baker Mayfield pass complete short right to Bucky Irving for 5 yards (tackle by Chauncey Golston),2.590,2.720
2,5:11,2,5,DAL 40,7,13,Baker Mayfield pass complete deep left to Jalen McMillan for 16 yards (tackle by DaRon Bland) Replay Assistant challenged the pass completion ruling and the original play was overturned. Baker Mayfield pass incomplete deep left intended for Jalen McMillan (defended by DaRon Bland),2.720,2.010
2,5:07,3,5,DAL 40,7,13,Baker Mayfield sacked by Chauncey Golston for -5 yards,2.010,0.270
2,4:23,4,10,DAL 45,7,13,Jack Browning punts 45 yards touchback.,0.270,-0.280
2,4:14,1,10,DAL 20,7,13,Cooper Rush pass incomplete short right intended for Jake Ferguson,0.280,-0.270
2,4:10,2,10,DAL 20,7,13,Rico Dowdle right tackle for 1 yard (tackle by Greg Gaines),-0.270,-0.820
2,3:31,3,9,DAL 21,7,13,Cooper Rush pass complete short left to Jalen Tolbert for 10 yards (tackle by Christian Izien),-0.820,1.000
2,3:08,1,10,DAL 31,7,13,Cooper Rush pass incomplete short middle intended for Hunter Luepke,1.000,0.460
2,3:05,2,10,DAL 31,7,13,Cooper Rush pass complete short right to Jake Ferguson for 6 yards (tackle by YaYa Diaby),0.460,0.560
2,2:31,3,4,DAL 37,7,13,Cooper Rush pass complete deep right to CeeDee Lamb for 52 yards (tackle by Zyon McCollum and Christian Izien). Penalty on Zyon McCollum: Defensive Holding 5 yards (declined),0.560,4.840
2,2:00,1,10,TAM 11,7,13,KaVontae Turpin right tackle for no gain (tackle by Vita Vea),4.840,4.140
2,1:55,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,1:55,2,10,TAM 11,7,13,Cooper Rush pass complete short middle to CeeDee Lamb for no gain touchdown Replay Assistant challenged the runner was down by contact ruling and the original play was overturned. Cooper Rush pass complete short middle to CeeDee Lamb for 10 yards (tackle by Christian Izien),4.140,6.970
2,1:48,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,1:48,1,1,TAM 1,7,19,Ezekiel Elliott left tackle for 1 yard touchdown,6.970,7.000
2,1:45,,,TAM 15,7,20,Brandon Aubrey kicks extra point good,0.000,0.000
2,1:45,,,DAL 35,7,20,Brandon Aubrey kicks off 67 yards returned by Rakim Jarrett for 31 yards (tackle by Brevyn Spann-Ford),0.000,0.870
2,1:40,1,10,TAM 29,7,20,Baker Mayfield pass complete short right to Mike Evans for 15 yards (tackle by DaRon Bland),0.870,1.860
2,1:33,1,10,TAM 44,7,20,Baker Mayfield pass complete deep middle to Sterling Shepard for 20 yards (tackle by Donovan Wilson). Penalty on DaRon Bland: Defensive Holding 5 yards (declined),1.860,3.180
2,1:27,1,10,DAL 36,7,20,Baker Mayfield pass complete short middle to Mike Evans for 15 yards (tackle by Donovan Wilson and Nick Vigil),3.180,4.170
