Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
1,1:40,1,10,DEN 41,7,7,Audric Estime right guard for 9 yards (tackle by Justin Eboigbe),1.660,2.340
1,0:54,2,1,DEN 50,7,7,Blake Watson right guard for 2 yards (tackle by Teair Tart),2.340,2.390
1,0:15,1,10,LAC 48,7,7,Bo Nix pass incomplete short right intended for Javonte Williams (defended by Khalil Mack),2.390,1.850
1,0:12,2,10,LAC 48,7,7,Bo Nix pass complete short left to Devaughn Vele for 15 yards (tackle by Ja'Sir Taylor),1.850,3.380
2,15:00,1,10,LAC 33,7,7,Bo Nix pass complete short left to Courtland Sutton for 4 yards (tackle by Kristian Fulton),3.380,3.380
2,14:20,2,6,LAC 29,7,7,Bo Nix pass complete deep right to Courtland Sutton for 18 yards (tackle by Tony Jefferson),3.380,4.840
2,13:41,1,10,LAC 11,7,7,Audric Estime right tackle for 9 yards (tackle by Derwin James),4.840,5.850
2,12:55,2,1,LAC 2,7,7,Bo Nix pass complete short left to Marvin Mims for 1 yard (tackle by Kristian Fulton),5.850,6.970
2,12:22,1,1,LAC 1,13,7,Bo Nix pass complete short right to Michael Burton for 1 yard touchdown,6.970,7.000
2,12:17,,,LAC 15,14,7,Wil Lutz kicks extra point good,0.000,0.000
2,12:17,,,DEN 35,14,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,12:17,1,10,LAC 30,14,7,Justin Herbert pass complete short left to Ladd McConkey for 27 yards (tackle by P.J. Locke),0.940,2.720
2,11:41,1,10,DEN 43,14,7,Kimani Vidal left tackle for 3 yards (tackle by Eyioma Uwazurike),2.720,2.580
2,11:07,2,7,DEN 40,14,7,Justin Herbert scrambles up the middle for 2 yards (tackle by Nik Bonitto),2.580,2.150
2,10:44,3,5,DEN 38,14,7,Justin Herbert pass complete short left to Stone Smartt for 12 yards (tackle by P.J. Locke),2.150,3.840
2,10:12,1,10,DEN 26,14,7,Gus Edwards left end for 3 yards (tackle by Jonah Elliss),3.840,3.700
2,9:37,2,7,DEN 23,14,7,Justin Herbert pass complete short left to Stone Smartt for 6 yards (tackle by Cody Barton),3.700,3.950
2,9:30,3,1,DEN 17,14,7,Gus Edwards left tackle for -2 yards (tackle by Zach Allen),3.950,2.280
2,8:53,4,3,DEN 19,14,10,Cameron Dicker 37 yard field goal good,2.280,3.000
