Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
2,13:03,3,19,JAX 21,7,7,Travis Etienne up the middle for 8 yards (tackle by Tre'von Moehrig and Thomas Harper). Penalty on Brenton Strange: Illegal Formation 5 yards (declined),-1.480,-1.440
2,12:48,4,11,JAX 29,7,7,Logan Cooke punts 44 yards returned by Ameer Abdullah for 9 yards (tackle by Caleb Johnson and Daniel Thomas),-1.440,-1.330
2,12:39,1,10,LVR 36,7,7,Aidan O'Connell pass complete short left to Tre Tucker for 12 yards (tackle by Tyson Campbell),1.330,2.130
2,12:04,1,10,LVR 48,7,7,Aidan O'Connell pass complete short right to Jakobi Meyers for 17 yards (tackle by Jarrian Jones),2.130,3.250
2,11:25,1,10,JAX 35,7,7,Aidan O'Connell pass complete short left to Brock Bowers for 4 yards (tackle by Devin Lloyd),3.250,3.240
2,10:45,2,6,JAX 31,7,7,Aidan O'Connell pass incomplete short right,3.240,2.540
2,10:39,3,6,JAX 31,7,7,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers,2.540,1.340
2,10:33,4,6,JAX 31,7,10,Daniel Carlson 49 yard field goal good,1.340,3.000
2,10:28,,,LVR 35,7,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,10:28,1,10,JAX 30,7,10,Mac Jones pass complete deep right to Brian Thomas for no gain (tackle by Decamerion Richardson) (no play),0.940,0.610
2,10:06,1,15,JAX 25,7,10,Travis Etienne left tackle for 2 yards (tackle by Charles Snowden and Isaiah Pola-Mao),0.610,-0.010
2,9:28,2,13,JAX 27,7,10,Mac Jones pass incomplete short right,-0.010,-0.690
2,9:20,3,13,JAX 27,7,10,Mac Jones pass incomplete short middle intended for D'Ernest Johnson (defended by Charles Snowden),-0.690,-1.570
2,9:14,4,13,JAX 27,7,10,Logan Cooke punts 55 yards returned by Ameer Abdullah for 19 yards (tackle by Caleb Johnson),-1.570,-1.400
2,9:01,1,10,LVR 37,7,10,Aidan O'Connell pass complete short left to Ameer Abdullah for 9 yards (tackle by DaVon Hamilton),1.400,2.070
