Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
2,8:01,1,10,HOU 44,10,7,Xavier Worthy left end for 1 yard (tackle by Kamari Lassiter),2.650,2.250
2,7:25,2,9,HOU 43,10,7,Patrick Mahomes pass complete short left to Marquise Brown for 6 yards (tackle by Eric Murray),2.250,2.350
2,6:47,3,3,HOU 37,10,7,Patrick Mahomes pass incomplete short middle intended for Travis Kelce. Penalty on Jimmie Ward: Defensive Holding 5 yards (accepted) (no play),2.350,3.450
2,6:41,1,10,HOU 32,10,7,Patrick Mahomes pass incomplete deep middle intended for Justin Watson,3.450,2.900
2,6:36,2,10,HOU 32,10,7,Patrick Mahomes pass incomplete deep right intended for Marquise Brown,2.900,2.210
2,6:30,3,10,HOU 32,10,7,Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Eric Murray),2.210,4.370
2,5:49,,,,,,Timeout #1 by Kansas City Chiefs,,
2,5:49,1,10,HOU 18,10,7,Patrick Mahomes pass complete short left to Xavier Worthy for 4 yards (tackle by Kamari Lassiter and Jimmie Ward),4.370,4.430
2,5:18,2,6,HOU 14,10,7,Patrick Mahomes pass incomplete short left intended for Travis Kelce,4.430,3.630
2,5:15,3,6,HOU 14,10,7,Patrick Mahomes pass complete short right to Xavier Worthy for 11 yards (tackle by Derek Stingley),3.630,6.510
2,4:42,1,3,HOU 3,10,13,Kareem Hunt right guard for 3 yards touchdown,6.510,7.000
2,4:38,,,HOU 15,10,14,Harrison Butker kicks extra point good,0.000,0.000
2,4:38,,,KAN 35,10,14,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,4:38,1,10,HOU 30,10,14,Joe Mixon up the middle for 5 yards (tackle by Drue Tranquill),0.940,1.070
2,3:57,2,5,HOU 35,10,14,C.J. Stroud pass complete short left to Dalton Schultz for 2 yards (tackle by Leo Chenal),1.070,0.630
2,3:14,3,3,HOU 37,10,14,C.J. Stroud pass complete short left to Tank Dell for 6 yards (tackle by Joshua Williams),0.630,1.800
2,2:30,1,10,HOU 43,10,14,C.J. Stroud pass complete short middle to Tank Dell for 13 yards (tackle by Drue Tranquill),1.800,2.650
2,2:00,1,10,KAN 44,10,14,C.J. Stroud pass complete short left to Joe Mixon for 14 yards (tackle by Drue Tranquill),2.650,3.580
2,1:15,1,10,KAN 30,10,14,C.J. Stroud pass complete short right to Joe Mixon for no gain (tackle by Nick Bolton and Nazeeh Johnson). Penalty on Tank Dell: Offensive Pass Interference 10 yards (accepted) (no play),3.580,2.920
2,1:06,1,20,KAN 40,10,14,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,2.920,1.680
2,1:02,2,20,KAN 40,10,14,C.J. Stroud pass incomplete deep right intended for Robert Woods,1.680,1.020
2,0:54,,,,,,Timeout #1 by Houston Texans,,
2,0:54,3,20,KAN 40,10,14,C.J. Stroud pass short middle intended for Nico Collins is intercepted by Trent McDuffie at KC-35 and returned for no gain (tackle by Nico Collins),1.020,-1.270
2,0:52,1,10,KAN 35,10,14,Patrick Mahomes pass complete short left to Samaje Perine for 36 yards (tackle by Calen Bullock),1.270,3.640
2,0:45,1,10,HOU 29,10,14,Patrick Mahomes sacked by Mario Edwards for no gain. Penalty on Derek Stingley: Defensive Holding 5 yards (accepted) (no play),3.640,3.970
2,0:39,1,10,HOU 24,10,14,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Derek Stingley) Replay Assistant challenged the pass completion ruling and the play was upheld.,3.970,3.430
2,0:33,2,10,HOU 24,10,14,Patrick Mahomes pass complete short right to Samaje Perine for -2 yards (tackle by Henry To'oTo'o),3.430,2.480
2,0:28,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:28,3,12,HOU 26,10,14,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster (defended by Kamari Lassiter),2.480,1.740
2,0:24,4,12,HOU 26,10,17,Harrison Butker 44 yard field goal good,1.740,3.000
2,0:19,,,KAN 35,10,17,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,0:19,1,10,HOU 30,10,17,C.J. Stroud scrambles left end for 12 yards (tackle by Leo Chenal),0.940,1.730
2,0:11,1,10,HOU 42,10,17,C.J. Stroud scrambles up the middle for 11 yards (tackle by Leo Chenal),1.730,2.460
2,0:03,,,,,,Timeout #2 by Houston Texans,,
2,0:03,1,10,KAN 47,10,17,C.J. Stroud pass incomplete deep right (defended by Joshua Williams),2.460,1.910
3,15:00,,,HOU 35,10,17,Ka'imi Fairbairn kicks off 62 yards returned by Nikko Remigio for 17 yards (tackle by Jamal Hill and Xavier Hutchinson). Penalty on Deon Bush: Defensive Holding 10 yards (accepted),0.000,-0.380
3,14:53,1,10,KAN 10,10,17,Isiah Pacheco right guard for 3 yards (tackle by Tim Settle and Henry To'oTo'o),-0.380,-0.560
3,14:19,2,7,KAN 13,10,17,Isiah Pacheco right guard for 8 yards (tackle by Mario Edwards and Eric Murray),-0.560,0.340
3,13:44,1,10,KAN 21,10,17,Patrick Mahomes pass incomplete short left intended for Marquise Brown,0.340,-0.200
3,13:39,2,10,KAN 21,10,17,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,-0.200,-0.890
3,13:32,3,10,KAN 21,10,17,Patrick Mahomes pass incomplete deep right intended for Xavier Worthy (defended by Kamari Lassiter),-0.890,-1.960
3,13:26,4,10,KAN 21,10,17,Matt Araiza punts 41 yards returned by Tank Dell for 12 yards (tackle by Noah Gray),-1.960,-2.260
3,13:16,1,10,KAN 50,10,17,C.J. Stroud pass incomplete deep right intended for Nico Collins (defended by Justin Reid),2.260,1.710
3,13:09,,,,,,Timeout #1 by Houston Texans,,
3,13:09,2,10,KAN 50,10,17,C.J. Stroud pass complete short right to Robert Woods for 17 yards. Robert Woods fumbles ball out of bounds at KC-33 (forced by Nick Bolton). Robert Woods fumbles out of bounds,1.710,3.380
3,12:26,1,10,KAN 33,10,17,Joe Mixon up the middle for 3 yards (tackle by Drue Tranquill),3.380,3.240
3,11:48,2,7,KAN 30,16,17,C.J. Stroud pass complete deep left to Tank Dell for 30 yards touchdown,3.240,7.000
3,11:40,,,KAN 15,16,17,Ka'imi Fairbairn kicks extra point no good,0.000,-1.000
3,11:40,,,HOU 35,16,17,Ka'imi Fairbairn kicks off 61 yards returned by Nikko Remigio for 36 yards (tackle by Myles Bryant),0.000,1.600
3,11:34,1,10,KAN 40,16,17,Patrick Mahomes pass complete short left to Isiah Pacheco for -1 yards (tackle by Tommy Togiai),1.600,0.920
3,10:55,2,11,KAN 39,16,17,Patrick Mahomes pass complete short left to Noah Gray for 10 yards (tackle by Jeff Okudah and Henry To'oTo'o),0.920,1.550
3,10:31,3,1,KAN 49,16,17,Isiah Pacheco left guard for no gain (tackle by Neville Hewitt),1.550,-0.130
3,9:57,4,1,KAN 49,16,17,Isiah Pacheco up the middle for no gain (tackle by Mario Edwards),-0.130,-2.320
3,9:54,1,10,KAN 49,16,17,Joe Mixon right guard for 2 yards (tackle by Mike Pennel),2.320,2.050
3,9:19,2,8,KAN 47,16,17,C.J. Stroud pass complete short left to Nico Collins for -1 yards (tackle by Trent McDuffie),2.050,1.220
3,8:39,3,9,KAN 48,16,17,C.J. Stroud pass incomplete short left intended for Dalton Schultz,1.220,0.070
3,8:34,4,9,KAN 48,16,17,Tommy Townsend punts 48 yards touchback.,0.070,-0.280
