Quarter,Time,Down,ToGo,Location,JAX,MIA,Detail,EPB,EPA
2,11:57,4,3,JAX 45,7,0,Tua Tagovailoa pass incomplete short left intended for Braxton Berrios (defended by Foyesade Oluokun),0.270,-1.930
2,11:52,1,10,JAX 45,7,0,Tank Bigsby left end for 8 yards (tackle by Jevon Holland),1.930,2.460
2,11:15,2,2,MIA 47,7,0,Tank Bigsby up the middle for -1 yards (tackle by Quinton Bell),2.460,1.620
2,10:29,3,3,MIA 48,7,0,Penalty on Cam Robinson: False Start 5 yards (accepted) (no play),1.620,0.960
2,10:09,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,10:09,3,8,JAX 47,7,0,Trevor Lawrence pass complete deep middle to Christian Kirk for 30 yards (tackle by Jordan Poyer),0.960,4.040
2,9:26,1,10,MIA 23,7,0,Trevor Lawrence pass complete short left to Brian Thomas for 9 yards (tackle by Kendall Fuller),4.040,4.950
2,8:47,2,1,MIA 14,7,0,Travis Etienne left end for 1 yard (tackle by Storm Duck),4.950,4.710
2,8:15,1,10,MIA 13,7,0,Travis Etienne up the middle for 2 yards (tackle by Emmanuel Ogbah),4.710,4.390
2,7:37,2,8,MIA 11,7,0,Trevor Lawrence pass complete short middle to Travis Etienne for 3 yards (tackle by Jordyn Brooks),4.390,4.100
2,6:46,3,5,MIA 8,7,0,Penalty on Trevor Lawrence: Delay of Game 6 yards (accepted) (no play),4.100,3.080
2,6:28,3,11,MIA 14,13,0,Trevor Lawrence pass complete short left to Brian Thomas for 14 yards touchdown,3.080,7.000
2,6:21,,,MIA 15,14,0,Cam Little kicks extra point good,0.000,0.000
2,6:21,,,JAX 35,14,0,Cam Little kicks off 65 yards touchback.,0.000,0.940
2,6:21,1,10,MIA 30,14,0,Tua Tagovailoa pass complete short right to De'Von Achane for 16 yards (tackle by Ronald Darby),0.940,1.990
2,5:41,1,10,MIA 46,14,0,Tua Tagovailoa pass incomplete short right,1.990,1.450
2,5:34,,,,,,Timeout #3 by Miami Dolphins,,
2,5:34,2,10,MIA 46,14,0,Tua Tagovailoa scrambles up the middle for 11 yards (tackle by Antonio Johnson),1.450,2.720
2,4:51,1,10,JAX 43,14,0,Raheem Mostert right guard for 2 yards (tackle by Devin Lloyd),2.720,2.450
2,4:09,2,8,JAX 41,14,0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe (defended by Darnell Savage),2.450,1.750
2,4:03,3,8,JAX 41,14,0,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 20 yards,1.750,4.170
2,3:30,1,10,JAX 21,14,0,Tua Tagovailoa pass incomplete short left intended for Durham Smythe,4.170,3.630
2,3:23,2,10,JAX 21,14,0,De'Von Achane right end for 9 yards (tackle by Ronald Darby and Antonio Johnson),3.630,4.490
2,2:47,3,1,JAX 12,14,0,Penalty on Durham Smythe: False Start 4 yards (accepted) (no play),4.490,3.630
2,2:22,3,5,JAX 16,14,0,Tua Tagovailoa pass complete short right to Tyreek Hill for 10 yards (tackle by Tyson Campbell),3.630,5.830
2,2:00,1,6,JAX 6,14,0,Jaylen Waddle left end for 3 yards (tackle by Yasir Abdullah),5.830,5.530
2,1:19,2,3,JAX 3,14,0,Tua Tagovailoa pass complete short left to De'Von Achane for 2 yards (tackle by Devin Lloyd),5.530,5.170
2,1:09,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,1:09,3,1,JAX 1,14,6,De'Von Achane up the middle for 1 yard touchdown,5.170,7.000
2,1:04,,,JAX 15,14,7,Jason Sanders kicks extra point good,0.000,0.000
2,1:04,,,MIA 35,14,7,Jason Sanders kicks off 62 yards returned by Parker Washington for 20 yards (tackle by Storm Duck),0.000,0.480
2,0:57,1,10,JAX 23,14,7,Trevor Lawrence pass complete deep right to Brian Thomas for 18 yards (tackle by Kendall Fuller),0.480,1.660
2,0:33,1,10,JAX 41,14,7,Trevor Lawrence pass complete short middle to Gabriel Davis for 20 yards (tackle by Kendall Fuller),1.660,2.980
2,0:28,,,,,,Timeout #3 by Jacksonville Jaguars,,
2,0:28,1,10,MIA 39,14,7,Trevor Lawrence pass complete short right to Evan Engram for 5 yards (tackle by David Long),2.980,3.120
2,0:13,2,5,MIA 34,14,7,Trevor Lawrence pass incomplete short right intended for Evan Engram,3.120,2.410
2,0:09,3,5,MIA 34,14,7,Trevor Lawrence pass incomplete short right,2.410,1.070
2,0:03,4,5,MIA 34,17,7,Cam Little 53 yard field goal good,1.070,3.000
3,15:00,,,MIA 35,17,7,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,JAX 30,17,7,Tank Bigsby right tackle for 2 yards (tackle by Jaelan Phillips and Emmanuel Ogbah),0.940,0.660
3,14:25,2,8,JAX 32,17,7,Trevor Lawrence pass complete short left to Parker Washington for 3 yards (tackle by Kendall Fuller),0.660,0.370
3,13:46,3,5,JAX 35,17,7,Trevor Lawrence pass incomplete short right intended for Evan Engram (defended by Jevon Holland),0.370,-1.040
3,13:40,4,5,JAX 35,17,7,Logan Cooke punts 52 yards out of bounds,-1.040,0.320
3,13:30,1,10,MIA 13,17,7,Tua Tagovailoa pass complete short left to Julian Hill for 6 yards (tackle by Foyesade Oluokun),-0.320,0.030
3,12:57,2,4,MIA 19,17,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 1 yard (tackle by Devin Lloyd),0.030,-0.590
3,12:18,3,3,MIA 20,17,7,Tua Tagovailoa pass complete short right to Raheem Mostert for 3 yards (tackle by Foyesade Oluokun and Ronald Darby),-0.590,0.480
3,11:30,1,10,MIA 23,17,7,Raheem Mostert left end for no gain (tackle by Andre Cisco). Penalty on Robert Jones: Offensive Holding 10 yards (accepted) (no play),0.480,-0.590
3,11:04,1,20,MIA 13,17,7,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,-0.590,-1.500
3,11:01,2,20,MIA 13,17,7,Tua Tagovailoa pass complete short left to De'Von Achane for 7 yards (tackle by Foyesade Oluokun),-1.500,-1.150
3,10:21,3,13,MIA 20,17,7,Tua Tagovailoa sacked by Arik Armstead for -5 yards,-1.150,-2.440
3,9:50,4,18,MIA 15,17,7,Jake Bailey punts 51 yards returned by Devin Duvernay for 3 yards (tackle by Tanner Conner),-2.440,-1.400
3,9:39,1,10,JAX 37,17,7,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.400,0.860
3,9:35,2,10,JAX 37,17,7,Travis Etienne up the middle for no gain (tackle by Jaelan Phillips and Zach Sieler). Penalty on Anton Harrison: Offensive Holding 10 yards (accepted) (no play),0.860,-0.490
3,9:16,2,20,JAX 27,17,7,Travis Etienne up the middle for 7 yards (tackle by Zach Sieler and Da'Shawn Hand),-0.490,-0.230
3,8:33,3,13,JAX 34,17,7,Trevor Lawrence pass incomplete short right,-0.230,-1.110
3,8:26,4,13,JAX 34,17,7,Logan Cooke punts 55 yards fair catch by Braxton Berrios at MIA-11,-1.110,0.370
3,8:19,1,10,MIA 11,17,7,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 63 yards (tackle by Andre Cisco),-0.370,3.840
3,7:33,1,10,JAX 26,17,7,Raheem Mostert left end for -3 yards (tackle by Tyson Campbell),3.840,2.890
3,6:55,2,13,JAX 29,17,7,Tua Tagovailoa pass complete short right to Tyreek Hill for -3 yards (tackle by Ronald Darby),2.890,1.820
3,6:14,3,16,JAX 32,17,7,Tua Tagovailoa sacked by Travon Walker for -14 yards,1.820,0.200
3,5:35,4,30,JAX 46,17,7,Jake Bailey punts 43 yards out of bounds,0.200,0.380
3,5:26,1,10,JAX 3,17,7,Tank Bigsby right guard for 26 yards (tackle by Kader Kohou),-0.380,0.870
3,4:46,1,10,JAX 29,17,7,Trevor Lawrence pass complete deep right to Gabriel Davis for 22 yards (tackle by Kader Kohou),0.870,2.320
3,4:05,1,10,MIA 49,17,7,Trevor Lawrence pass complete short left to Travis Etienne for 12 yards (tackle by Kader Kohou),2.320,3.120
3,3:32,1,10,MIA 37,17,7,Tank Bigsby right tackle for 7 yards (tackle by David Long and Jordan Poyer),3.120,3.520
3,2:51,2,3,MIA 30,17,7,Devin Duvernay left end for 3 yards (tackle by Jordan Poyer). Penalty on Jordan Poyer: Face Mask (15 Yards) 14 yards (accepted),3.520,4.710
3,2:27,1,10,MIA 13,17,7,Travis Etienne right guard for 10 yards. Travis Etienne fumbles (forced by Jevon Holland) recovered by Kader Kohou in end zone,4.710,-0.280
3,2:19,1,10,MIA 20,17,13,Tua Tagovailoa pass complete deep left to Tyreek Hill for 80 yards touchdown,0.280,7.000
3,2:08,,,JAX 15,17,14,Jason Sanders kicks extra point good,0.000,0.000
3,2:08,,,MIA 35,17,14,Jason Sanders kicks off 66 yards returned by Parker Washington for 24 yards. Parker Washington fumbles (forced by Elijah Campbell) recovered by Parker Washington at JAC-23,0.000,0.480
3,1:59,1,10,JAX 23,17,14,Tank Bigsby up the middle for 2 yards (tackle by Da'Shawn Hand),0.480,0.200
3,1:16,2,8,JAX 25,17,14,Travis Etienne left end for 7 yards (tackle by David Long),0.200,0.430
3,0:34,3,1,JAX 32,17,14,Tank Bigsby up the middle for no gain (tackle by David Long and Emmanuel Ogbah),0.430,-1.240
4,15:00,4,1,JAX 32,17,14,Travis Etienne right end for -2 yards (tackle by Jalen Ramsey and Kendall Fuller),-1.240,-3.580
4,14:47,1,10,JAX 30,17,14,De'Von Achane left tackle for 7 yards (tackle by Foyesade Oluokun and Andre Cisco),3.580,3.980
4,14:14,2,3,JAX 23,17,14,Tua Tagovailoa pass incomplete short right intended for Alec Ingold (defended by Josh Hines-Allen),3.980,3.270
4,14:10,3,3,JAX 23,17,14,Raheem Mostert right end for -1 yards (tackle by Foyesade Oluokun and Antonio Johnson),3.270,1.940
4,13:38,4,4,JAX 24,17,14,Jason Sanders 42 yard field goal no good,1.940,-1.070
4,13:33,1,10,JAX 32,17,14,Trevor Lawrence pass complete short middle to Evan Engram for no gain (tackle by Jevon Holland). Penalty on Chop Robinson: Defensive Offside 5 yards (accepted) (no play),1.070,1.800
4,13:14,1,5,JAX 37,17,14,Travis Etienne left end for 11 yards (tackle by Jalen Ramsey and Zach Sieler),1.800,2.130
4,12:38,1,10,JAX 48,17,14,Tank Bigsby left guard for 4 yards (tackle by Jordyn Brooks and Jalen Ramsey),2.130,2.120
4,12:00,2,6,MIA 48,17,14,Tank Bigsby right end for 1 yard (tackle by Jevon Holland and Jordyn Brooks),2.120,1.550
4,11:18,3,5,MIA 47,17,14,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.550,0.130
4,11:13,4,5,MIA 47,17,14,Penalty on Tim Jones: False Start 5 yards (accepted) (no play),0.130,-0.190
4,11:13,4,10,JAX 48,17,14,Logan Cooke punts 44 yards fair catch by Braxton Berrios at MIA-8,-0.190,0.380
4,11:06,1,10,MIA 8,17,14,De'Von Achane left end for 6 yards (tackle by Josh Hines-Allen and Travon Walker),-0.380,-0.320
4,10:26,2,4,MIA 14,17,14,Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle. Penalty on Tyson Campbell: Defensive Pass Interference 20 yards (accepted) (no play),-0.320,1.200
4,10:21,1,10,MIA 34,17,14,Tua Tagovailoa pass incomplete short left intended for Raheem Mostert,1.200,0.660
4,10:18,2,10,MIA 34,17,14,Tua Tagovailoa pass complete deep right to Tyreek Hill for 21 yards (tackle by Antonio Johnson),0.660,2.590
4,9:33,1,10,JAX 45,17,14,Raheem Mostert left end for 6 yards (tackle by Yasir Abdullah),2.590,2.850
4,8:55,2,4,JAX 39,17,14,Penalty on Julian Hill: False Start 5 yards (accepted) (no play),2.850,2.180
4,8:55,2,9,JAX 44,17,14,Jeff Wilson right tackle for 14 yards (tackle by Montaric Brown),2.180,3.580
4,8:19,1,10,JAX 30,17,14,Jeff Wilson right guard for 6 yards (tackle by Devin Lloyd),3.580,3.840
4,7:36,,,,,,Timeout #1 by Miami Dolphins,,
4,7:36,2,4,JAX 24,17,14,Jeff Wilson up the middle for 3 yards (tackle by Devin Lloyd),3.840,3.530
4,6:55,3,1,JAX 21,17,14,Alec Ingold up the middle for 6 yards (tackle by Chad Muma and Devin Lloyd),3.530,4.580
4,6:20,1,10,JAX 15,17,14,Jeff Wilson right end for no gain (tackle by Antonio Johnson). Penalty on Tyreek Hill: Offensive Holding 10 yards (accepted) (no play),4.580,3.910
4,5:55,1,20,JAX 25,17,14,Tua Tagovailoa pass complete short left to Raheem Mostert for 7 yards (tackle by Chad Muma and Montaric Brown),3.910,3.560
4,5:17,2,13,JAX 18,17,14,Tua Tagovailoa pass complete short left to De'Von Achane for -1 yards (tackle by Foyesade Oluokun),3.560,2.790
4,4:34,3,14,JAX 19,17,14,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,2.790,2.180
4,4:26,4,14,JAX 19,17,17,Jason Sanders 37 yard field goal good,2.180,3.000
4,4:22,,,MIA 35,17,17,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,4:22,1,10,JAX 30,17,17,Tank Bigsby up the middle for no gain (tackle by David Long),0.940,0.390
4,3:46,2,10,JAX 30,17,17,Trevor Lawrence sacked by Emmanuel Ogbah for -4 yards,0.390,-0.820
4,3:08,3,14,JAX 26,17,17,Trevor Lawrence sacked by Jaelan Phillips for -6 yards,-0.820,-2.030
4,2:19,4,20,JAX 20,17,17,Penalty on Logan Cooke: Delay of Game 5 yards (accepted) (no play),-2.030,-2.440
4,2:19,4,25,JAX 15,17,17,Logan Cooke punts 45 yards returned by Braxton Berrios for -5 yards (tackle by Ventrell Miller),-2.440,-1.270
4,2:09,1,10,MIA 35,17,17,De'Von Achane up the middle for 4 yards (tackle by Antonio Johnson),1.270,1.260
4,2:00,2,6,MIA 39,17,17,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 13 yards (tackle by Montaric Brown),1.260,2.390
4,1:24,1,10,JAX 48,17,17,De'Von Achane right tackle for -1 yards (tackle by Antonio Johnson),2.390,1.710
4,1:18,,,,,,Timeout #1 by Jacksonville Jaguars,,
4,1:18,2,11,JAX 49,17,17,Tua Tagovailoa pass complete short left to De'Von Achane for 10 yards (tackle by Devin Lloyd),1.710,2.340
4,1:13,,,,,,Timeout #2 by Jacksonville Jaguars,,
4,1:13,3,1,JAX 39,17,17,Alec Ingold up the middle for 2 yards (tackle by Yasir Abdullah),2.340,3.120
4,0:34,1,10,JAX 37,17,17,Jeff Wilson up the middle for 1 yard (tackle by Foyesade Oluokun),3.120,2.710
4,0:20,,,,,,Timeout #2 by Miami Dolphins,,
4,0:20,2,9,JAX 36,17,17,Jeff Wilson left tackle for 2 yards (tackle by Foyesade Oluokun and Travon Walker),2.710,2.280
4,0:04,,,,,,Timeout #3 by Miami Dolphins,,
4,0:04,,,,,,Timeout #3 by Jacksonville Jaguars,,
4,0:04,3,7,JAX 34,17,20,Jason Sanders 52 yard field goal good,2.280,3.000
