Quarter,Time,Down,ToGo,Location,MIN,NYG,Detail,EPB,EPA
2,9:43,1,10,NYG 24,7,3,Sam Darnold pass complete short right to Jordan Addison for 13 yards (tackle by Nick McCloud),3.970,4.840
2,9:04,1,10,NYG 11,7,3,Sam Darnold pass complete short right to Ty Chandler for 5 yards (tackle by Darius Muasau),4.840,5.080
2,8:26,2,5,NYG 6,7,3,Ty Chandler left end for -3 yards (tackle by Deonte Banks),5.080,3.530
2,7:33,3,8,NYG 9,7,3,Sam Darnold pass complete short left to Jordan Addison for 6 yards (tackle by Andru Phillips),3.530,3.050
2,6:58,4,2,NYG 3,13,3,Sam Darnold pass complete short left to Justin Jefferson for 3 yards touchdown,3.050,7.000
2,6:55,,,NYG 15,14,3,Will Reichard kicks extra point good,0.000,0.000
2,6:55,,,MIN 35,14,3,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,6:55,1,10,NYG 30,14,3,Devin Singletary up the middle for 6 yards (tackle by Shaquill Griffin and Andrew Van Ginkel),0.940,1.200
2,6:16,2,4,NYG 36,14,3,Daniel Jones pass incomplete short right intended for Theo Johnson,1.200,0.500
2,6:10,3,4,NYG 36,14,3,Daniel Jones pass complete short right to Darius Slayton for 8 yards (tackle by Byron Murphy),0.500,1.860
2,5:38,1,10,NYG 44,14,3,Devin Singletary left tackle for 5 yards (tackle by Andrew Van Ginkel),1.860,1.990
2,4:55,2,5,NYG 49,14,3,Daniel Jones left tackle for 3 yards (tackle by Blake Cashman and Patrick Jones),1.990,1.690
2,4:18,3,2,MIN 48,14,3,Daniel Jones right tackle for -1 yards (tackle by Jonathan Bullard),1.690,0.000
2,3:42,4,3,MIN 49,14,3,Jamie Gillan punts 34 yards out of bounds,0.000,0.220
2,3:33,1,10,MIN 15,14,3,Aaron Jones right end for no gain (tackle by Adoree' Jackson). Penalty on Josh Oliver: Offensive Holding 7 yards (accepted) (no play),-0.220,-0.650
2,3:03,1,17,MIN 8,14,3,Sam Darnold pass complete short middle to Aaron Jones for 6 yards (tackle by Bobby Okereke),-0.650,-0.820
2,2:35,2,11,MIN 14,14,3,Aaron Jones left tackle for 10 yards (tackle by Jason Pinnock),-0.820,-0.270
2,2:00,3,1,MIN 24,14,3,Aaron Jones right guard for 2 yards (tackle by Tyler Nubin),-0.270,0.670
2,1:23,1,10,MIN 26,14,3,Sam Darnold pass complete short right to Justin Jefferson for 3 yards (tackle by Adoree' Jackson),0.670,0.540
2,1:15,2,7,MIN 29,14,3,Sam Darnold pass incomplete short middle intended for Jordan Addison (defended by Dane Belton),0.540,-0.160
2,1:09,3,7,MIN 29,14,3,Sam Darnold pass complete short left to Johnny Mundt for 6 yards (tackle by Adoree' Jackson),-0.160,-1.040
2,0:58,,,,,,Timeout #1 by New York Giants,,
2,0:58,4,1,MIN 35,14,3,Ryan Wright punts 52 yards recovered by Dane Belton at NYG-13. Penalty on Ivan Pace: Unnecessary Roughness / Defense 15 yards (accepted) . Penalty on Ivan Pace: Offensive Holding 10 yards (declined),-1.040,-0.810
2,0:51,1,10,NYG 28,14,3,Daniel Jones pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Harrison Smith and Byron Murphy),0.810,1.210
2,0:31,2,3,NYG 35,14,3,Daniel Jones pass incomplete short left intended for Theo Johnson,1.210,0.500
2,0:29,3,3,NYG 35,14,3,Daniel Jones pass incomplete short left intended for Darius Slayton. Penalty on Shaquill Griffin: Defensive Pass Interference 6 yards (accepted) (no play),0.500,1.660
2,0:26,1,10,NYG 41,14,3,Daniel Jones sacked by Dallas Turner for -4 yards,1.660,0.580
2,0:21,,,,,,Timeout #2 by New York Giants,,
2,0:21,2,14,NYG 37,14,3,Daniel Jones pass incomplete short right,0.580,-0.100
2,0:14,3,14,NYG 37,14,3,Daniel Jones pass incomplete short middle intended for Wan'Dale Robinson,-0.100,-0.910
2,0:09,4,14,NYG 37,14,3,Jamie Gillan punts 52 yards downed by Dane Belton,-0.910,1.400
3,15:00,,,NYG 35,14,3,Graham Gano kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,MIN 30,14,3,Aaron Jones left end for 4 yards (tackle by Rakeem Nunez-Roches and Bobby Okereke),0.940,0.930
3,14:33,2,6,MIN 34,14,3,Sam Darnold pass complete short left to Jordan Addison for no gain (tackle by Darius Muasau). Penalty on Christian Darrisaw: Offensive Holding 10 yards (accepted) (no play),0.930,-0.420
3,14:12,2,16,MIN 24,14,3,Sam Darnold pass incomplete short left intended for Johnny Mundt,-0.420,-1.090
3,14:08,3,16,MIN 24,14,3,Sam Darnold pass complete short right to Johnny Mundt for 9 yards (tackle by Bobby Okereke and Andru Phillips). Penalty on Kayvon Thibodeaux: Face Mask (15 Yards) 15 yards (accepted),-1.090,2.130
3,13:22,1,10,MIN 48,14,3,Aaron Jones right tackle for 12 yards (tackle by Tyler Nubin),2.130,2.920
3,13:05,1,10,NYG 40,14,3,Aaron Jones left guard for 19 yards (tackle by Tyler Nubin),2.920,4.170
