Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
2,9:05,1,10,CAR 33,0,17,Alvin Kamara left end for no gain (tackle by A'Shawn Robinson),3.380,2.840
2,8:29,2,10,CAR 33,0,17,Derek Carr pass complete short right to Rashid Shaheed for 1 yard (tackle by Michael Jackson),2.840,2.280
2,7:47,3,9,CAR 32,0,17,Derek Carr pass complete short left to Mason Tipton for 6 yards (tackle by Michael Jackson),2.280,1.840
2,7:08,4,3,CAR 26,0,20,Blake Grupe 44 yard field goal good,1.840,3.000
2,7:03,,,NOR 35,0,20,Blake Grupe kicks off 60 yards returned by Xavier Legette for 28 yards (tackle by Willie Gay),0.000,1.140
2,6:58,1,10,CAR 33,0,20,Bryce Young scrambles up the middle for 4 yards (tackle by Carl Granderson),1.140,1.130
2,6:16,2,6,CAR 37,0,20,Jonathan Mingo left end for 3 yards. Jonathan Mingo fumbles (forced by Tyrann Mathieu) recovered by Tyrann Mathieu at CAR-43,1.130,-2.720
2,6:05,1,10,CAR 43,0,20,Rashid Shaheed right end for no gain (tackle by Jordan Fuller). Penalty on Trevor Penning: Offensive Holding 10 yards (accepted) (no play),2.720,2.060
2,5:37,1,20,NOR 47,0,20,Derek Carr pass complete deep right to Foster Moreau for 17 yards (tackle by Xavier Woods),2.060,3.120
2,4:59,2,3,CAR 36,0,20,Jamaal Williams right guard for 2 yards (tackle by A'Shawn Robinson),3.120,2.680
2,4:24,3,1,CAR 34,0,20,Jamaal Williams right guard for 5 yards (tackle by Shaq Thompson),2.680,3.640
2,3:41,1,10,CAR 29,0,20,Derek Carr pass complete short middle to Alvin Kamara for 1 yard (tackle by Xavier Woods),3.640,3.240
2,3:03,2,9,CAR 28,0,20,Derek Carr pass complete short middle to Chris Olave for -6 yards (tackle by Jaycee Horn),3.240,1.750
2,2:20,3,15,CAR 34,0,20,Derek Carr pass incomplete deep left intended for Rashid Shaheed,1.750,1.060
2,2:12,4,15,CAR 34,0,23,Blake Grupe 52 yard field goal good,1.060,3.000
2,2:08,,,NOR 35,0,23,Blake Grupe kicks off 64 yards returned by Raheem Blackshear for 24 yards (tackle by Isaiah Foskey). Penalty on Trevin Wallace: Offensive Holding 10 yards (accepted),0.000,-0.220
2,2:00,1,10,CAR 15,0,23,Bryce Young pass incomplete short left,-0.220,-0.710
2,1:52,2,10,CAR 15,0,23,Bryce Young scrambles left end for 4 yards (tackle by Tyrann Mathieu),-0.710,-0.880
2,1:45,,,,,,Timeout #1 by Carolina Panthers,,
2,1:45,3,6,CAR 19,0,23,Bryce Young sacked by Alontae Taylor for -9 yards,-0.880,-2.490
2,1:41,,,,,,Timeout #1 by New Orleans Saints,,
2,1:41,4,15,CAR 10,0,23,Johnny Hekker punts 53 yards returned by Rashid Shaheed for 47 yards (tackle by Feleipe Franks),-2.490,-4.510
2,1:24,1,10,CAR 16,0,29,Derek Carr pass complete deep right to Juwan Johnson for 16 yards touchdown,4.510,7.000
2,1:18,,,CAR 15,0,30,Blake Grupe kicks extra point good,0.000,0.000
2,1:18,,,NOR 35,0,30,Blake Grupe kicks off 62 yards returned by Raheem Blackshear for 27 yards (tackle by Willie Gay and J.T. Gray),0.000,0.940
2,1:12,1,10,CAR 30,0,30,Bryce Young pass complete short right to Ja'Tavion Sanders for no gain (tackle by Tyrann Mathieu). Penalty on Chase Young: Defensive Offside 5 yards (accepted) (no play),0.940,1.670
2,1:07,1,5,CAR 35,0,30,Bryce Young pass incomplete deep left intended for Miles Sanders,1.670,1.070
2,1:01,2,5,CAR 35,0,30,Bryce Young pass complete short right to Diontae Johnson for 8 yards,1.070,1.800
2,0:56,1,10,CAR 43,0,30,Miles Sanders left guard for 8 yards (tackle by Alontae Taylor and Jordan Howden),1.800,2.330
2,0:26,2,2,NOR 49,0,30,Bryce Young pass complete short middle to Xavier Legette for 6 yards (tackle by Paulson Adebo),2.330,2.720
2,0:18,,,,,,Timeout #2 by Carolina Panthers,,
2,0:18,1,10,NOR 43,0,30,Bryce Young pass incomplete short left intended for Miles Sanders,2.720,2.180
2,0:12,2,10,NOR 43,0,30,Bryce Young pass complete short right to Diontae Johnson for 11 yards (tackle by Tyrann Mathieu),2.180,3.450
2,0:07,,,,,,Timeout #3 by Carolina Panthers,,
2,0:07,1,10,NOR 32,0,30,Bryce Young pass complete short right to Xavier Legette for 7 yards (tackle by Paulson Adebo),3.450,3.850
2,0:03,2,3,NOR 25,3,30,Eddy Pineiro 43 yard field goal good,3.850,3.000
3,15:00,,,NOR 35,3,30,Blake Grupe kicks off 66 yards returned by Raheem Blackshear for 27 yards (tackle by Cedrick Wilson and Anfernee Orji),0.000,0.670
