Quarter,Time,Down,ToGo,Location,WAS,TAM,Detail,EPB,EPA
2,14:22,3,7,TAM 40,0,6,Baker Mayfield pass complete short middle to Chris Godwin for 11 yards (tackle by Dorance Armstrong and Emmanuel Forbes),0.560,2.320
2,13:41,1,10,WAS 49,0,6,Bucky Irving left tackle for -4 yards (tackle by Jamin Davis),2.320,1.240
2,13:02,2,14,TAM 47,0,6,Baker Mayfield pass complete deep right to Trey Palmer for 19 yards,1.240,3.310
2,12:26,1,10,WAS 34,0,6,Rachaad White left end for -2 yards (tackle by Sheldon Day and Jamin Davis),3.310,2.500
2,11:44,2,12,WAS 36,0,6,Baker Mayfield pass complete short left to Rachaad White for 19 yards (tackle by Benjamin St-Juste),2.500,4.440
2,10:59,1,10,WAS 17,0,12,Baker Mayfield pass complete deep left to Mike Evans for 17 yards touchdown,4.440,7.000
2,10:53,,,WAS 15,0,13,Chase McLaughlin kicks extra point good,0.000,0.000
2,10:53,,,TAM 35,0,13,Jake Camarda kicks off 63 yards returned by Austin Ekeler for 24 yards (tackle by SirVocea Dennis),0.000,0.670
2,10:47,1,10,WAS 26,0,13,Brian Robinson left guard for 2 yards (tackle by Lavonte David and Chris Braswell),0.670,0.400
2,10:10,2,8,WAS 28,0,13,Jayden Daniels scrambles left end for 16 yards (tackle by Jordan Whitehead),0.400,1.860
2,9:24,1,10,WAS 44,0,13,Jayden Daniels pass incomplete short middle intended for John Bates. Penalty on Andrew Wylie: Ineligible Downfield Pass 5 yards (declined),1.860,1.320
2,9:24,2,10,WAS 44,0,13,Jayden Daniels pass complete short middle to Austin Ekeler for 22 yards (tackle by Jordan Whitehead),1.320,3.310
2,8:34,1,10,TAM 34,0,13,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,3.310,2.770
2,8:29,,,,,,Timeout #1 by Washington Commanders,,
2,8:29,2,10,TAM 34,0,13,Jayden Daniels scrambles right guard for 12 yards (tackle by Antoine Winfield). Penalty on Antoine Winfield: Personal Foul / Defense 11 yards (accepted),2.770,4.840
2,8:01,1,10,TAM 11,0,13,Austin Ekeler left guard for 4 yards (tackle by K.J. Britt and Vita Vea),4.840,4.890
2,7:23,2,6,TAM 7,6,13,Brian Robinson left tackle for 7 yards touchdown,4.890,7.000
2,7:17,,,TAM 15,7,13,Cade York kicks extra point good,0.000,0.000
2,7:17,,,WAS 35,7,13,Cade York kicks off 62 yards out of bounds. Penalty on Cade York: Kickoff Out of Bounds (accepted),0.000,1.600
2,7:17,1,10,TAM 40,7,13,Baker Mayfield pass complete short right to Mike Evans for 6 yards (tackle by Benjamin St-Juste),1.600,1.860
2,6:38,2,4,TAM 46,7,13,Bucky Irving left tackle for 2 yards (tackle by Quan Martin and Bobby Wagner),1.860,1.420
2,5:53,3,2,TAM 48,7,13,Baker Mayfield pass complete short left to Chris Godwin for 5 yards (tackle by Emmanuel Forbes),1.420,2.460
2,5:10,1,10,WAS 47,7,13,Rachaad White right tackle for 6 yards (tackle by Mike Sainristil and Bobby Wagner),2.460,2.720
2,4:30,2,4,WAS 41,7,13,Rachaad White right guard for 1 yard (tackle by Jonathan Allen),2.720,2.150
2,3:53,,,,,,Timeout #2 by Washington Commanders,,
2,3:53,3,3,WAS 40,7,13,Baker Mayfield pass complete short middle to Chris Godwin for 14 yards (tackle by Emmanuel Forbes),2.150,3.840
2,3:14,1,10,WAS 26,7,13,Rachaad White right tackle for -3 yards (tackle by Dante Fowler),3.840,2.890
2,2:34,2,13,WAS 29,7,13,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Bobby Wagner and Mykal Walker),2.890,3.070
2,2:00,3,7,WAS 22,7,13,Baker Mayfield pass complete short left to Chris Godwin for 9 yards (tackle by Mike Sainristil),3.070,4.710
2,1:55,1,10,WAS 13,7,13,Rachaad White right guard for 3 yards (tackle by Frankie Luvu and Mike Sainristil),4.710,4.580
2,1:15,2,7,WAS 10,7,13,Baker Mayfield pass complete short right to Rachaad White for 4 yards (tackle by Phidarian Mathis and Bobby Wagner),4.580,4.560
2,0:26,3,3,WAS 6,7,13,Penalty on Cade Otton: False Start 5 yards (accepted) (no play),4.560,3.450
2,0:26,3,8,WAS 11,7,13,Baker Mayfield pass incomplete short middle intended for Mike Evans,3.450,2.700
2,0:20,4,8,WAS 11,7,16,Chase McLaughlin 29 yard field goal good,2.700,3.000
2,0:16,,,TAM 35,7,16,Jake Camarda kicks off 61 yards returned by Austin Ekeler for 24 yards (tackle by J.J. Russell),0.000,0.810
2,0:11,1,10,WAS 28,7,16,Jayden Daniels kneels for -2 yards,0.810,-0.010
3,15:00,,,TAM 35,7,16,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,WAS 30,7,16,Jayden Daniels pass incomplete deep left intended for Terry McLaurin,0.940,0.390
3,14:55,2,10,WAS 30,7,16,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by Jordan Whitehead),0.390,-0.300
3,14:51,,,,,,Timeout #1 by Washington Commanders,,
3,14:51,3,10,WAS 30,7,16,Jayden Daniels sacked by Joe Tryon-Shoyinka for no gain. Penalty on Tykee Smith: Defensive Holding 5 yards (accepted) (no play),-0.300,1.270
3,14:44,1,10,WAS 35,7,16,Jayden Daniels pass complete short right to Jamison Crowder for 5 yards (tackle by K.J. Britt),1.270,1.400
3,14:15,2,5,WAS 40,7,16,Jayden Daniels scrambles right tackle for 11 yards (tackle by Jordan Whitehead),1.400,2.320
3,13:31,1,10,TAM 49,7,16,Brian Robinson up the middle for 3 yards (tackle by Jordan Whitehead),2.320,2.190
3,13:06,2,7,TAM 46,7,16,Brian Robinson right guard for 6 yards (tackle by K.J. Britt and C.J. Brewer),2.190,2.280
3,12:37,3,1,TAM 40,7,16,Brian Robinson up the middle for no gain (tackle by K.J. Britt and Antoine Winfield),2.280,0.590
3,11:52,4,1,TAM 40,7,16,Jayden Daniels left end for 2 yards (tackle by Lavonte David),0.590,3.050
3,11:30,1,10,TAM 38,7,16,Jayden Daniels left guard for 2 yards (tackle by Vita Vea),3.050,2.780
3,10:51,2,8,TAM 36,7,16,Jayden Daniels sacked by Joe Tryon-Shoyinka for -10 yards. Jayden Daniels fumbles (forced by Joe Tryon-Shoyinka) recovered by Tyler Biadasz at TB-46,2.780,0.760
3,10:15,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
3,10:15,3,18,TAM 46,7,16,Jayden Daniels pass complete short left to Luke McCaffrey for 8 yards (tackle by Jordan Whitehead and SirVocea Dennis),0.760,0.720
3,9:27,4,10,TAM 38,7,16,Cade York 56 yard field goal no good,0.720,-1.990
3,9:21,1,10,TAM 46,7,16,Baker Mayfield pass complete short middle to Bucky Irving for 9 yards (tackle by Emmanuel Forbes and Frankie Luvu),1.990,2.670
3,8:40,2,1,WAS 45,7,16,Rachaad White left guard for 15 yards (tackle by Quan Martin),2.670,3.580
3,8:02,1,10,WAS 30,7,16,Baker Mayfield pass incomplete short right intended for Cade Otton,3.580,3.030
3,7:59,2,10,WAS 30,7,16,Rachaad White right tackle for no gain (tackle by Bobby Wagner and Frankie Luvu),3.030,2.340
3,7:21,3,10,WAS 30,7,16,Baker Mayfield pass incomplete deep left intended for Jalen McMillan. Penalty on Emmanuel Forbes: Defensive Pass Interference 22 yards (accepted) (no play),2.340,5.370
3,7:21,1,8,WAS 8,7,16,Penalty on Emmanuel Forbes: Face Mask (15 Yards) 4 yards (accepted),5.370,6.280
3,7:15,1,4,WAS 4,7,22,Baker Mayfield pass complete short left to Chris Godwin for 4 yards touchdown,6.280,7.000
3,7:11,,,WAS 15,7,23,Chase McLaughlin kicks extra point good,0.000,0.000
3,7:11,,,TAM 35,7,23,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
3,7:11,1,10,WAS 30,7,23,Brian Robinson up the middle for 5 yards (tackle by Lavonte David),0.940,1.070
3,6:36,2,5,WAS 35,7,23,Jayden Daniels pass incomplete short right intended for Brian Robinson,1.070,0.370
3,6:33,3,5,WAS 35,7,23,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus (defended by Christian Izien),0.370,-1.040
3,6:29,4,5,WAS 35,7,23,Tress Way punts 41 yards downed by Mykal Walker,-1.040,-0.540
3,6:20,1,10,TAM 24,7,23,Baker Mayfield pass incomplete short middle intended for Jalen McMillan (defended by Noah Igbinoghene),0.540,0.000
3,6:17,2,10,TAM 24,7,23,Bucky Irving right tackle for 7 yards (tackle by Jeremy Chinn),0.000,0.230
3,5:39,3,3,TAM 31,7,23,Baker Mayfield sacked by Clelin Ferrell for -9 yards,0.230,-1.900
3,4:54,4,12,TAM 22,7,23,Jake Camarda punts 38 yards fair catch by Jamison Crowder at WAS-40,-1.900,-1.600
3,4:48,1,10,WAS 40,7,23,Jayden Daniels pass complete short middle to Zach Ertz for 9 yards (tackle by Lavonte David),1.600,2.270
3,4:15,2,1,WAS 49,7,23,Brian Robinson right guard for 6 yards (tackle by K.J. Britt),2.270,2.590
3,3:30,1,10,TAM 45,7,23,Jayden Daniels pass complete short left to Terry McLaurin for 6 yards (tackle by Anthony Nelson),2.590,2.850
3,2:54,2,4,TAM 39,7,23,Brian Robinson up the middle for 6 yards (tackle by Antoine Winfield),2.850,3.380
3,2:32,1,10,TAM 33,7,23,Jayden Daniels pass complete short right to Brian Robinson for 32 yards (tackle by Antoine Winfield),3.380,6.970
3,1:55,1,1,TAM 1,13,23,Jayden Daniels right tackle for 1 yard touchdown,6.970,7.000
3,1:52,,,TAM 15,14,23,Cade York kicks extra point good,0.000,0.000
3,1:52,,,WAS 35,14,23,Cade York kicks off 59 yards returned by Sean Tucker for 22 yards (tackle by Mykal Walker),0.000,0.810
3,1:47,1,10,TAM 28,14,23,Baker Mayfield pass complete short left to Cade Otton for 5 yards (tackle by Mike Sainristil),0.810,0.940
3,1:12,2,5,TAM 33,14,23,Baker Mayfield pass complete short left to Rachaad White for 32 yards (tackle by Quan Martin),0.940,3.250
3,0:44,1,10,WAS 35,14,23,Baker Mayfield pass incomplete short left intended for Bucky Irving,3.250,2.700
3,0:39,2,10,WAS 35,14,23,Bucky Irving up the middle for 3 yards (tackle by Jonathan Allen),2.700,2.410
4,15:00,3,7,WAS 32,14,29,Baker Mayfield pass complete deep right to Jalen McMillan for 32 yards touchdown,2.410,7.000
4,14:55,,,WAS 15,14,30,Chase McLaughlin kicks extra point good,0.000,0.000
4,14:55,,,TAM 35,14,30,Jake Camarda kicks off 65 yards touchback.. Penalty on Zach Ertz: Illegal Formation 5 yards (accepted),0.000,0.610
4,14:55,1,10,WAS 25,14,30,Jayden Daniels pass complete short left to Austin Ekeler for 11 yards (tackle by Jamel Dean),0.610,1.330
4,14:14,1,10,WAS 36,14,30,Jayden Daniels left end for 4 yards (tackle by Joe Tryon-Shoyinka),1.330,1.330
4,13:36,2,6,WAS 40,14,30,Jayden Daniels pass incomplete short right intended for Luke McCaffrey. Penalty on SirVocea Dennis: Defensive Pass Interference 5 yards (accepted) (no play),1.330,1.930
