Quarter,Time,Down,ToGo,Location,BAL,KAN,Detail,EPB,EPA
2,11:38,2,5,BAL 48,7,10,Lamar Jackson pass complete short left to Zay Flowers for no gain (tackle by Tershawn Wharton and Trent McDuffie). Penalty on Rashod Bateman: Offensive Pass Interference 10 yards (accepted) (no play),1.930,0.580
2,11:11,2,15,BAL 38,7,10,Lamar Jackson right guard for 5 yards (tackle by Justin Reid and Drue Tranquill),0.580,0.560
2,10:27,3,10,BAL 43,7,10,Lamar Jackson scrambles right end for 7 yards (tackle by Jaylen Watson and Nick Bolton),0.560,-0.060
2,9:44,4,3,BAL 50,7,10,Lamar Jackson pass complete short right to Zay Flowers for 1 yard (tackle by Trent McDuffie),-0.060,-2.190
2,9:39,1,10,KAN 49,7,10,Isiah Pacheco right end for 2 yards (tackle by Michael Pierce and Trenton Simpson),2.190,1.920
2,9:03,2,8,BAL 49,7,10,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Marlon Humphrey),1.920,1.360
2,8:20,3,7,BAL 48,7,10,Penalty on Jawaan Taylor: False Start 5 yards (accepted) (no play),1.360,0.700
2,8:04,3,12,KAN 47,7,10,Patrick Mahomes pass complete deep right to Travis Kelce for 23 yards (tackle by Brandon Stephens),0.700,3.580
2,7:12,1,10,BAL 30,7,10,Patrick Mahomes pass complete short right to Xavier Worthy for 12 yards (tackle by Brandon Stephens),3.580,4.370
2,6:34,1,10,BAL 18,7,10,Isiah Pacheco left guard for 5 yards (tackle by Roquan Smith),4.370,4.610
2,5:57,2,5,BAL 13,7,10,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,4.610,3.820
2,5:53,3,5,BAL 13,7,10,Patrick Mahomes pass incomplete short right intended for Xavier Worthy (defended by Ar'Darius Washington),3.820,2.620
2,5:47,4,5,BAL 13,7,13,Harrison Butker 31 yard field goal good,2.620,3.000
2,5:44,,,KAN 35,7,13,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
2,5:44,1,10,BAL 30,7,13,Lamar Jackson pass incomplete short middle intended for Zay Flowers. Penalty on Drue Tranquill: Defensive Pass Interference 5 yards (accepted) (no play),0.940,1.270
2,5:40,1,10,BAL 35,7,13,Zay Flowers right end for 6 yards (tackle by George Karlaftis),1.270,1.530
2,5:04,2,4,BAL 41,7,13,Derrick Henry right guard for 9 yards (tackle by Justin Reid). Penalty on Chris Jones: Defensive Offside 5 yards (declined),1.530,2.260
2,4:34,1,10,BAL 50,7,13,Lamar Jackson scrambles up the middle for 13 yards (tackle by Jaylen Watson),2.260,3.120
2,3:46,1,10,KAN 37,7,13,Penalty on Lamar Jackson: Delay of Game 5 yards (accepted) (no play),3.120,2.790
2,3:24,1,15,KAN 42,7,13,Lamar Jackson right end for 3 yards (tackle by Leo Chenal),2.790,2.300
2,2:40,2,12,KAN 39,7,13,Lamar Jackson pass complete short right to Mark Andrews for no gain (tackle by Drue Tranquill and Trent McDuffie). Penalty on Ronnie Stanley: Illegal Formation 5 yards (accepted) (no play),2.300,1.630
2,2:20,2,17,KAN 44,7,13,Lamar Jackson pass complete short left to Zay Flowers for 9 yards (tackle by Nick Bolton),1.630,2.150
2,2:00,3,8,KAN 35,7,13,Lamar Jackson pass incomplete short right intended for Rashod Bateman,2.150,0.970
2,1:55,4,8,KAN 35,7,13,Justin Tucker 53 yard field goal no good,0.970,-1.800
2,1:50,1,10,KAN 43,7,13,Patrick Mahomes pass short middle intended for Rashee Rice is intercepted by Roquan Smith at BAL-49 and returned for no gain (tackle by Rashee Rice),1.800,-2.190
2,1:44,1,10,BAL 49,7,13,Lamar Jackson pass complete short left to Justice Hill for 7 yards (tackle by Bryan Cook),2.190,2.590
2,1:36,2,3,KAN 44,7,13,Lamar Jackson scrambles left guard for 10 yards (tackle by Chamarri Conner),2.590,3.310
2,1:03,1,10,KAN 34,7,13,Lamar Jackson scrambles left end for 6 yards (tackle by Michael Danna),3.310,3.580
2,0:33,2,4,KAN 28,7,13,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards (tackle by Trent McDuffie and George Karlaftis),3.580,4.310
2,0:27,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:27,1,10,KAN 19,7,13,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards (tackle by Drue Tranquill),4.310,5.360
2,0:21,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:21,2,1,KAN 10,7,13,Lamar Jackson pass incomplete short right intended for Zay Flowers,5.360,4.690
2,0:18,3,1,KAN 10,7,13,Justice Hill right end for 3 yards (tackle by Nick Bolton and Leo Chenal),4.690,5.600
2,0:13,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:13,1,7,KAN 7,7,13,Lamar Jackson pass incomplete short left intended for Justice Hill (defended by Leo Chenal),5.600,4.760
2,0:09,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:09,2,7,KAN 7,7,13,Lamar Jackson pass incomplete short right intended for Justice Hill,4.760,3.810
2,0:05,3,7,KAN 7,10,13,Justin Tucker 25 yard field goal good,3.810,3.000
2,0:03,,,BAL 35,10,13,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:03,1,10,KAN 30,10,13,Patrick Mahomes kneels for -1 yards,0.940,0.260
3,15:00,,,BAL 35,10,13,Justin Tucker kicks off 65 yards returned by Mecole Hardman for 29 yards (tackle by Josh Ross). Penalty on Jack Cochrane: Defensive Holding 10 yards (accepted),0.000,0.150
3,14:54,1,10,KAN 19,10,13,Isiah Pacheco right end for 5 yards (tackle by Kyle Van Noy),0.150,0.340
3,14:13,2,5,KAN 24,10,13,Patrick Mahomes pass complete short middle to Rashee Rice for 33 yards (tackle by Jalyn Armour-Davis and Marcus Williams),0.340,2.720
3,13:30,,,,,,Timeout #1 by Baltimore Ravens,,
3,13:30,1,10,BAL 43,10,13,Patrick Mahomes pass complete short middle to Justin Watson for 25 yards (tackle by Trenton Simpson),2.720,4.370
3,12:46,1,10,BAL 18,10,13,Isiah Pacheco left guard for no gain (tackle by Marcus Williams). Penalty on Kingsley Suamataia: Offensive Holding 10 yards (accepted) (no play),4.370,3.710
3,12:26,1,20,BAL 28,10,13,Patrick Mahomes pass incomplete short middle intended for Rashee Rice (defended by Trenton Simpson),3.710,2.480
3,12:23,2,20,BAL 28,10,13,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster. Penalty on Nnamdi Madubuike: Roughing the Passer 14 yards (accepted) (no play),2.480,4.650
3,12:19,1,10,BAL 14,10,13,Patrick Mahomes pass complete short right to Noah Gray for 13 yards (tackle by Marcus Williams and Marlon Humphrey),4.650,6.970
3,11:38,1,1,BAL 1,10,19,Isiah Pacheco right guard for 1 yard touchdown,6.970,7.000
3,11:28,,,BAL 15,10,20,Harrison Butker kicks extra point good,0.000,0.000
3,11:28,,,KAN 35,10,20,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
3,11:28,1,10,BAL 30,10,20,Lamar Jackson pass incomplete short right intended for Zay Flowers,0.940,0.390
3,11:24,2,10,BAL 30,10,20,Lamar Jackson pass complete short left to Zay Flowers for -2 yards (tackle by Felix Anudike-Uzomah),0.390,-0.560
3,10:45,3,12,BAL 28,10,20,Lamar Jackson pass complete short left to Justice Hill for 17 yards (tackle by Joshua Williams),-0.560,1.930
3,10:01,1,10,BAL 45,10,20,Lamar Jackson pass complete short left to Mark Andrews for 11 yards (tackle by Justin Reid),1.930,2.650
3,9:23,1,10,KAN 44,10,20,Derrick Henry right guard for -1 yards (tackle by Leo Chenal and Nick Bolton),2.650,1.910
3,8:42,2,12,KAN 45,10,20,Lamar Jackson pass incomplete deep middle intended for Isaiah Likely,1.910,1.220
3,8:37,3,12,KAN 45,10,20,Lamar Jackson pass incomplete deep right intended for Zay Flowers (defended by Jaylen Watson),1.220,0.270
3,8:31,4,12,KAN 45,10,20,Jordan Stout punts 35 yards fair catch by Mecole Hardman at KC-10,0.270,0.380
3,8:24,1,10,KAN 10,10,20,Isiah Pacheco left end for 5 yards (tackle by Trenton Simpson),-0.380,-0.350
