Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
2,10:48,2,11,LAC 41,7,3,Justin Herbert pass complete short right to J.K. Dobbins for 1 yard (tackle by Robert Spillane),1.050,0.500
2,10:13,3,10,LAC 42,7,3,Penalty on Ladd McConkey: False Start 5 yards (accepted) (no play),0.500,-0.160
2,9:41,3,15,LAC 37,7,3,Justin Herbert scrambles right end for 8 yards (tackle by Robert Spillane),-0.160,-0.390
2,9:06,4,7,LAC 45,7,3,JK Scott punts 55 yards touchback.,-0.390,-0.280
2,8:58,1,10,LVR 20,7,3,Zamir White left end for 2 yards (tackle by Kristian Fulton and Poona Ford),0.280,0.000
2,8:21,2,8,LVR 22,7,3,Gardner Minshew pass complete short left to Brock Bowers for 6 yards (tackle by Daiyan Henley and Kristian Fulton),0.000,0.100
2,7:40,3,2,LVR 28,7,3,Gardner Minshew pass complete short left to Michael Mayer for 3 yards (tackle by Derwin James),0.100,1.000
2,6:58,1,10,LVR 31,7,3,Gardner Minshew pass complete deep left to Brock Bowers for 26 yards (tackle by Kristian Fulton),1.000,2.720
2,6:14,1,10,LAC 43,7,3,Gardner Minshew pass incomplete short middle intended for Michael Mayer (defended by Junior Colson),2.720,2.180
2,6:10,2,10,LAC 43,7,3,Gardner Minshew sacked by and Khalil Mack for -12 yards and Morgan Fox for -12 yards,2.180,-0.100
2,5:26,3,22,LVR 45,7,3,Gardner Minshew sacked by Joey Bosa for -6 yards,-0.100,-0.780
2,4:40,4,28,LVR 39,7,3,AJ Cole punts 59 yards returned by Derius Davis for 9 yards (tackle by Amari Burney),-0.780,0.370
2,4:27,1,10,LAC 11,7,3,Derius Davis left end for 6 yards (tackle by Nate Hobbs),-0.370,-0.160
2,3:46,2,4,LAC 17,7,3,Gus Edwards right guard for no gain (tackle by John Jenkins and Divine Deablo),-0.160,-0.720
2,3:03,3,4,LAC 17,7,3,Justin Herbert pass complete short right to J.K. Dobbins for no gain (tackle by Jack Jones),-0.720,-2.320
2,2:19,4,4,LAC 17,7,3,JK Scott punts 56 yards returned by Tre Tucker for 7 yards (tackle by Deane Leonard),-2.320,-1.200
2,2:09,1,10,LVR 34,7,3,Zamir White right guard for 4 yards (tackle by Daiyan Henley),1.200,1.200
2,2:00,2,6,LVR 38,7,3,Gardner Minshew pass incomplete short left intended for Alexander Mattison (defended by Poona Ford),1.200,0.500
2,1:55,3,6,LVR 38,7,3,Gardner Minshew pass complete short left to Tre Tucker for 14 yards (tackle by Ja'Sir Taylor),0.500,2.390
2,1:28,1,10,LAC 48,7,3,Gardner Minshew sacked by. Gardner Minshew fumbles recovered by Khalil Mack at LV-34 and returned for 22 yards (tackle by Kolton Miller),2.390,-4.780
2,1:13,1,10,LVR 12,7,3,Gus Edwards right guard for 1 yard (tackle by Christian Wilkins),4.780,4.270
2,0:43,2,9,LVR 11,7,3,Justin Herbert pass incomplete short middle intended for Josh Palmer,4.270,3.290
2,0:34,3,9,LVR 11,7,3,Justin Herbert pass complete short right to Josh Palmer for 4 yards,3.290,2.980
2,0:29,4,5,LVR 7,7,6,Cameron Dicker 25 yard field goal good,2.980,3.000
2,0:26,,,LAC 35,7,6,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
