Quarter,Time,Down,ToGo,Location,NWE,CIN,Detail,EPB,EPA
2,9:47,2,10,NWE 49,7,0,Joe Burrow pass complete short right to Chase Brown for 4 yards (tackle by Marco Wilson),1.780,1.620
2,9:05,3,6,NWE 45,7,0,Joe Burrow scrambles up the middle for no gain (tackle by Deatrich Wise). Penalty on Josh Uche: Defensive Offside 5 yards (accepted) (no play),1.620,2.280
2,8:51,3,1,NWE 40,7,0,Zack Moss up the middle for 2 yards (tackle by Jeremiah Pharms),2.280,3.050
2,8:07,1,10,NWE 38,7,0,Joe Burrow pass complete short left to Zack Moss for 12 yards (tackle by Ja'Whaun Bentley and Marco Wilson),3.050,3.840
2,7:32,1,10,NWE 26,7,0,Joe Burrow pass complete short middle to Charlie Jones for 5 yards (tackle by Marcus Jones),3.840,3.970
2,7:00,2,5,NWE 21,7,0,Joe Burrow pass incomplete deep right intended for Trenton Irwin,3.970,3.270
2,6:55,3,5,NWE 21,7,0,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Christian Gonzalez and Marcus Jones),3.270,4.650
2,6:16,1,10,NWE 14,7,0,Chase Brown left tackle for -1 yards (tackle by Jahlani Tavai),4.650,3.850
2,5:24,2,11,NWE 15,7,0,Joe Burrow pass complete short right to Mike Gesicki for no gain touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Kyle Dugger),3.850,3.060
2,5:19,3,11,NWE 15,7,0,Joe Burrow pass complete short middle to Tanner Hudson for 13 yards. Tanner Hudson fumbles (forced by Kyle Dugger) recovered by Marcus Jones at NE-1 and returned for 17 yards (tackle by Ja'Marr Chase and Zack Moss),3.060,-0.040
2,5:09,1,10,NWE 18,7,0,Rhamondre Stevenson left guard for 16 yards (tackle by Logan Wilson),0.040,1.200
2,4:25,1,10,NWE 34,7,0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Vonn Bell and Logan Wilson),1.200,1.470
2,3:55,2,4,NWE 40,7,0,Rhamondre Stevenson right guard for 17 yards (tackle by Daxton Hill and Mike Hilton),1.470,2.720
2,3:20,1,10,CIN 43,7,0,Rhamondre Stevenson left end for 1 yard (tackle by Trey Hendrickson and Zachary Carter),2.720,2.310
2,2:54,2,9,CIN 42,7,0,Jacoby Brissett pass complete deep left to Tyquan Thornton for 17 yards (tackle by Cam Taylor-Britt),2.310,3.910
2,2:01,1,10,CIN 25,7,0,Penalty on Mike Hilton: Defensive Offside 5 yards (accepted) (no play),3.910,4.640
2,2:00,1,5,CIN 20,7,0,Antonio Gibson right guard for 3 yards (tackle by Vonn Bell and Sheldon Rankins),4.640,4.550
2,1:50,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:50,2,2,CIN 17,7,0,Antonio Gibson left tackle for no gain (tackle by Trey Hendrickson and Cam Taylor-Britt),4.550,3.850
2,1:45,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:45,3,2,CIN 17,7,0,Jacoby Brissett pass complete short middle to K.J. Osborn for 5 yards (tackle by Cam Taylor-Britt),3.850,4.780
2,1:36,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:36,1,10,CIN 12,7,0,Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Geno Stone),4.780,4.100
2,1:30,2,10,CIN 12,7,0,Rhamondre Stevenson right end for -1 yards (tackle by B.J. Hill and Logan Wilson),4.100,3.100
2,0:44,,,,,,Timeout #1 by New England Patriots,,
2,0:44,3,11,CIN 13,7,0,Jacoby Brissett sacked by Daxton Hill for -1 yards,3.100,2.510
2,0:02,,,,,,Timeout #2 by New England Patriots,,
2,0:02,4,12,CIN 14,10,0,Joey Slye 32 yard field goal good,2.510,3.000
3,15:00,,,CIN 35,10,0,Evan McPherson kicks off 62 yards returned by Jamycal Hasty for 27 yards (tackle by Akeem Davis-Gaither),0.000,0.940
3,14:54,1,10,NWE 30,10,0,Jacoby Brissett pass incomplete deep right intended for Tyquan Thornton,0.940,0.390
3,14:49,2,10,NWE 30,10,0,Jacoby Brissett scrambles up the middle for 6 yards (tackle by Joseph Ossai and Germaine Pratt),0.390,0.500
3,14:04,3,4,NWE 36,10,0,Jacoby Brissett pass incomplete short left,0.500,-0.980
3,13:56,4,4,NWE 36,10,0,Bryce Baringer punts 54 yards returned by Charlie Jones for 10 yards. Charlie Jones fumbles (forced by Joe Cardona) recovered by Jaylinn Hawkins at CIN-24 (tackle by Joe Cardona),-0.980,3.970
3,13:42,1,10,CIN 24,10,0,Rhamondre Stevenson left tackle for 1 yard (tackle by Joseph Ossai),3.970,3.570
3,13:04,2,9,CIN 23,10,0,Rhamondre Stevenson left tackle for 3 yards (tackle by Jay Tufele),3.570,3.270
3,12:20,3,6,CIN 20,10,0,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 3 yards (tackle by Vonn Bell),3.270,2.410
3,11:37,4,3,CIN 17,13,0,Joey Slye 35 yard field goal good,2.410,3.000
3,11:34,,,NWE 35,13,0,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,11:34,1,10,CIN 30,13,0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Christian Gonzalez),0.940,1.470
3,11:05,2,2,CIN 38,13,0,Zack Moss left guard for 1 yard (tackle by Anfernee Jennings),1.470,0.890
3,10:28,3,1,CIN 39,13,0,Joe Burrow right guard for 2 yards (tackle by Ja'Whaun Bentley),0.890,1.660
3,9:53,1,10,CIN 41,13,0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Jonathan Jones and Jahlani Tavai),1.660,2.340
3,9:21,2,1,CIN 50,13,0,Joe Burrow pass complete short middle to Trenton Irwin for 6 yards (tackle by Jabrill Peppers),2.340,2.650
3,8:44,1,10,NWE 44,13,0,Joe Burrow pass complete short right to Chase Brown for 3 yards (tackle by Jahlani Tavai),2.650,2.520
3,7:48,2,7,NWE 41,13,0,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Jabrill Peppers),2.520,2.480
3,7:17,3,2,NWE 36,13,0,Joe Burrow pass incomplete short middle intended for Tanner Hudson (defended by Jahlani Tavai),2.480,0.890
