Quarter,Time,Down,ToGo,Location,NYJ,SFO,Detail,EPB,EPA
2,10:12,2,4,NYJ 39,7,6,Jordan Mason right guard for 9 yards (tackle by Tony Adams and Chuck Clark),2.850,3.580
2,9:27,1,10,NYJ 30,7,6,Jordan Mason right end for 1 yard (tackle by Tony Adams). Penalty on Colton McKivitz: Offensive Holding 10 yards (accepted),3.580,2.980
2,9:01,1,19,NYJ 39,7,6,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by D.J. Reed),2.980,1.820
2,8:56,2,19,NYJ 39,7,6,Brock Purdy pass complete deep middle to Jauan Jennings for 22 yards (tackle by Tony Adams and Jamien Sherwood),1.820,4.440
2,8:17,1,10,NYJ 17,7,6,Jordan Mason right end for 11 yards touchdown. Penalty on Deebo Samuel: Offensive Holding 10 yards (accepted),4.440,4.630
2,8:11,1,9,NYJ 16,7,6,Deebo Samuel left end for 3 yards (tackle by D.J. Reed),4.630,4.500
2,7:43,2,6,NYJ 13,7,6,Jordan Mason left tackle for 11 yards (tackle by Chuck Clark),4.500,6.740
2,7:00,1,2,NYJ 2,7,12,Deebo Samuel right end for 2 yards touchdown,6.740,7.000
2,6:54,,,NYJ 15,7,13,Jake Moody kicks extra point good,0.000,0.000
2,6:54,,,SFO 35,7,13,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,6:54,1,10,NYJ 30,7,13,Breece Hall left tackle for 3 yards (tackle by Javon Hargrave),0.940,0.800
2,6:17,2,7,NYJ 33,7,13,Breece Hall right end for 2 yards (tackle by George Odum),0.800,0.370
2,5:34,3,5,NYJ 35,7,13,Aaron Rodgers pass incomplete short left intended for Tyler Conklin. Penalty on Tyron Smith: Illegal Formation 5 yards (declined),0.370,-1.040
2,5:28,4,5,NYJ 35,7,13,Thomas Morstead punts 60 yards returned by Jacob Cowing for 7 yards (tackle by Jamien Sherwood),-1.040,0.350
2,5:18,1,10,SFO 12,7,13,Brock Purdy pass complete deep left to George Kittle for 26 yards (tackle by Tony Adams),-0.350,1.470
2,4:38,1,10,SFO 38,7,13,Deebo Samuel left tackle for no gain (tackle by Quincy Williams),1.470,0.920
2,3:56,2,10,SFO 38,7,13,Jordan Mason up the middle for 7 yards (tackle by D.J. Reed),0.920,1.160
2,3:12,3,3,SFO 45,7,13,Brock Purdy pass complete short left to Jordan Mason for 5 yards (tackle by Quincy Williams),1.160,2.260
2,2:28,1,10,NYJ 50,7,13,Brock Purdy pass complete short right to Deebo Samuel for 4 yards (tackle by C.J. Mosley),2.260,2.190
2,2:00,2,7,NYJ 46,7,13,Deebo Samuel right guard for 4 yards (tackle by Jalyn Holmes and Quinnen Williams),2.190,2.020
2,1:15,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:15,3,3,NYJ 42,7,13,Brock Purdy pass complete short right to Deebo Samuel for 15 yards (tackle by D.J. Reed),2.020,3.780
