Quarter,Time,Down,ToGo,Location,DEN,SEA,Detail,EPB,EPA
2,13:32,2,6,SEA 29,3,3,Jaleel McLaughlin left end for 7 yards (tackle by Julian Love),3.380,4.110
2,12:51,1,10,SEA 22,3,3,Bo Nix pass complete short right to Devaughn Vele for 3 yards (tackle by Devon Witherspoon),4.110,3.970
2,12:15,2,7,SEA 19,3,3,Bo Nix pass complete short right to Jaleel McLaughlin for -2 yards (tackle by Jerome Baker),3.970,3.010
2,11:34,3,9,SEA 21,3,3,Bo Nix pass deep left intended for Courtland Sutton is intercepted by Julian Love at SEA-1 and returned for no gain (tackle by Courtland Sutton),3.010,0.380
2,11:28,1,10,SEA 1,5,3,Geno Smith pass incomplete short left intended for D.K. Metcalf. Penalty on Anthony Bradford: Offensive Holding 1 yard (accepted),-0.380,-2.000
2,11:22,,,SEA 20,5,3,Jason Myers kicks off 65 yards returned by Marvin Mims for 17 yards (tackle by Brady Russell),0.000,1.070
2,11:18,1,10,DEN 32,5,3,Bo Nix scrambles up the middle for 4 yards (tackle by Tyrel Dodson),1.070,1.070
2,10:35,2,6,DEN 36,5,3,Bo Nix pass incomplete short right intended for Greg Dulcich,1.070,0.370
2,10:31,3,6,DEN 36,5,3,Bo Nix pass incomplete short middle intended for Courtland Sutton,0.370,-0.980
2,10:26,4,6,DEN 36,5,3,Riley Dixon punts 54 yards recovered by JL Skinner at SEA-10,-0.980,5.140
2,10:15,1,9,SEA 9,5,3,Penalty on Bo Nix: False Start 5 yards (accepted) (no play),5.140,4.440
2,10:15,1,14,SEA 14,5,3,Jaleel McLaughlin up the middle for 1 yard (tackle by Devon Witherspoon and Boye Mafe),4.440,3.720
2,9:34,2,13,SEA 13,5,3,Javonte Williams left guard for 2 yards (tackle by Riq Woolen and Julian Love),3.720,3.120
2,8:52,3,11,SEA 11,5,3,Bo Nix pass incomplete short middle intended for Courtland Sutton,3.120,2.700
2,8:48,4,11,SEA 11,8,3,Wil Lutz 30 yard field goal good,2.700,3.000
2,8:45,,,DEN 35,8,3,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,8:45,1,10,SEA 30,8,3,Kenneth Walker left tackle for 3 yards (tackle by Malcolm Roach and Baron Browning),0.940,0.800
2,8:05,2,7,SEA 33,8,3,Geno Smith pass incomplete short left intended for D.K. Metcalf. Penalty on Patrick Surtain: Defensive Pass Interference 6 yards (accepted) (no play),0.800,1.530
2,8:00,1,10,SEA 39,8,3,Kenneth Walker left guard for -4 yards (tackle by Cody Barton and Baron Browning),1.530,0.450
2,7:14,2,14,SEA 35,8,3,Geno Smith pass complete short middle to D.K. Metcalf for 12 yards (tackle by Patrick Surtain),0.450,1.360
2,6:38,3,2,SEA 47,8,3,Geno Smith pass complete deep left to Tyler Lockett for 19 yards (tackle by Brandon Jones),1.360,3.310
2,6:04,1,10,DEN 34,8,9,Geno Smith scrambles up the middle for 34 yards touchdown,3.310,7.000
2,5:55,,,DEN 2,8,9,Two Point Attempt: Geno Smith pass incomplete intended for intended for D.K. Metcalf,1.000,-1.000
2,5:55,,,SEA 35,8,9,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,5:55,1,10,DEN 30,8,9,Bo Nix pass incomplete short left intended for Josh Reynolds (defended by Devon Witherspoon),0.940,0.390
2,5:49,2,10,DEN 30,8,9,Jaleel McLaughlin right end for 1 yard (tackle by Tyrel Dodson),0.390,-0.160
2,5:18,,,,,,Timeout #1 by Seattle Seahawks,,
2,5:18,3,9,DEN 31,8,9,Bo Nix pass complete short left to Michael Burton for 3 yards (tackle by Rayshawn Jenkins),-0.160,-1.110
2,4:47,4,6,DEN 34,8,9,Riley Dixon punts 65 yards downed by JL Skinner,-1.110,0.380
2,4:36,1,10,SEA 1,10,9,Zach Charbonnet right guard for -1 yards (tackle by Zach Allen and Jonathon Cooper) safety.,-0.380,-2.000
2,4:24,,,SEA 20,10,9,Jason Myers kicks off 70 yards returned by Marvin Mims for 26 yards (tackle by Coby Bryant),0.000,1.330
2,4:14,1,10,DEN 36,10,9,Javonte Williams right guard for 2 yards (tackle by Byron Murphy),1.330,1.060
2,3:41,2,8,DEN 38,10,9,Bo Nix pass complete short left to Javonte Williams for no gain (tackle by Tyrel Dodson),1.060,0.370
2,2:57,,,,,,Timeout #1 by Denver Broncos,,
2,2:57,3,8,DEN 38,10,9,Bo Nix pass complete deep left to Courtland Sutton for 17 yards (tackle by Julian Love),0.370,2.590
2,2:12,1,10,SEA 45,10,9,Jaleel McLaughlin up the middle for 4 yards (tackle by Derick Hall and Johnathan Hankins),2.590,2.580
2,2:00,2,6,SEA 41,10,9,Bo Nix pass incomplete short middle intended for Marvin Mims (defended by Tyrel Dodson),2.580,1.880
2,1:56,3,6,SEA 41,10,9,Bo Nix sacked by Boye Mafe for -6 yards,1.880,0.130
2,1:48,4,12,SEA 47,10,9,Riley Dixon punts 37 yards out of bounds,0.130,0.380
2,1:41,1,10,SEA 10,10,9,Geno Smith sacked by Jonathon Cooper for -6 yards,-0.380,-1.220
2,1:33,,,,,,Timeout #2 by Denver Broncos,,
2,1:33,2,16,SEA 4,10,9,Geno Smith pass complete short left to Kenneth Walker for -2 yards (tackle by P.J. Locke and Zach Allen),-1.220,-2.360
2,1:28,,,,,,Timeout #3 by Denver Broncos,,
