Quarter,Time,Down,ToGo,Location,ARI,BUF,Detail,EPB,EPA
2,6:24,2,5,BUF 39,10,3,Kyler Murray pass incomplete deep left intended for Trey McBride,2.780,2.080
2,6:16,3,5,BUF 39,10,3,Kyler Murray pass complete short left to Greg Dortch for 14 yards (tackle by Christian Benford and Ja'Marcus Ingram),2.080,3.910
2,5:33,1,10,BUF 25,10,3,Trey Benson right end for 4 yards (tackle by Taylor Rapp),3.910,3.900
2,4:56,2,6,BUF 21,10,3,Kyler Murray pass complete short right to Trey McBride for 8 yards (tackle by Terrel Bernard),3.900,4.710
2,4:11,1,10,BUF 13,10,3,Trey Benson right end for 3 yards (tackle by Casey Toohill and Dorian Williams),4.710,4.580
2,3:27,2,7,BUF 10,10,3,Kyler Murray pass complete short left to Trey McBride for 7 yards (tackle by Damar Hamlin and Cameron Lewis),4.580,6.510
2,2:44,1,3,BUF 3,16,3,James Conner right guard for 3 yards touchdown,6.510,7.000
2,2:40,,,BUF 15,17,3,Matt Prater kicks extra point good,0.000,0.000
2,2:40,,,ARI 35,17,3,Matt Prater kicks off 65 yards touchback.,0.000,0.940
2,2:40,1,10,BUF 30,17,3,Penalty on Quintin Morris: False Start 5 yards (accepted) (no play),0.940,0.610
2,2:40,1,15,BUF 25,17,3,Ty Johnson left end for 6 yards (tackle by Mack Wilson),0.610,0.530
2,2:00,2,9,BUF 31,17,3,Josh Allen pass complete short right to Curtis Samuel for 8 yards (tackle by Sean Murphy-Bunting),0.530,0.890
2,1:39,3,1,BUF 39,17,3,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),0.890,0.230
2,1:31,3,6,BUF 34,17,3,Josh Allen pass complete short left to Khalil Shakir for 19 yards (tackle by Budda Baker and Krys Barnes),0.230,2.460
2,0:55,1,10,ARI 47,17,3,Penalty on Spencer Brown: False Start 5 yards (accepted) (no play),2.460,2.130
2,0:55,,,,,,Timeout #1 by Buffalo Bills,,
2,0:55,1,15,BUF 48,17,3,Josh Allen scrambles right end for 6 yards (tackle by Krys Barnes). Penalty on Sean Murphy-Bunting: Defensive Holding 5 yards (accepted),2.130,2.850
2,0:45,1,10,ARI 41,17,3,Josh Allen sacked by Zaven Collins for no gain. Penalty on Zaven Collins: Roughing the Passer 15 yards (accepted) (no play),2.850,3.840
2,0:38,1,10,ARI 26,17,3,Josh Allen pass complete short right to Keon Coleman for 12 yards (tackle by Kyzir White),3.840,4.650
2,0:32,1,10,ARI 14,17,3,Josh Allen right guard for 7 yards (tackle by Jalen Thompson),4.650,5.410
2,0:25,,,,,,Timeout #2 by Buffalo Bills,,
2,0:25,2,2,ARI 7,17,9,Josh Allen right end for 7 yards touchdown,5.410,7.000
2,0:19,,,ARI 15,17,10,Tyler Bass kicks extra point good,0.000,0.000
2,0:19,,,BUF 35,17,10,Tyler Bass kicks off 63 yards recovered by DeeJay Dallas at ARI-2 (tackle by Casey Toohill),0.000,-0.380
2,0:11,1,10,ARI 4,17,10,Kyler Murray kneels for -1 yards,-0.380,-0.850
3,15:00,,,ARI 35,17,10,Matt Prater kicks off 25 yards. Penalty on Matt Prater: Kickoff Short of Landing Zone (accepted),0.000,1.600
3,15:00,1,10,BUF 40,17,10,James Cook left end for 1 yard (tackle by Kyzir White and Budda Baker). Penalty on Dion Dawkins: Offensive Holding 10 yards (accepted),1.600,1.000
3,14:36,1,19,BUF 31,17,10,Josh Allen pass complete short right to James Cook for 4 yards (tackle by Owen Pappoe and Sean Murphy-Bunting),1.000,0.380
3,13:50,2,15,BUF 35,17,10,Josh Allen pass complete short right to Keon Coleman for 4 yards (tackle by Owen Pappoe and Sean Murphy-Bunting),0.380,0.230
