Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Aaron Jones,MIN,14,94,1,6,53,3.8,41,2.9,1,14.0,JoneAa00
Ty Chandler,MIN,8,17,0,0,11,1.4,6,0.8,0,,ChanTy01
Sam Darnold,MIN,3,3,0,1,2,0.7,1,0.3,0,,DarnSa00
Myles Gaskin,MIN,1,-3,0,,-3,-3.0,0,0.0,0,,GaskMy00
Devin Singletary,NYG,10,37,0,1,17,1.7,20,2.0,0,,SingDe00
Daniel Jones,NYG,6,15,0,2,12,2.0,3,0.5,0,,JoneDa05
Eric Gray,NYG,2,6,0,1,4,2.0,2,1.0,0,,GrayEr01
Tyrone Tracy,NYG,2,2,0,,2,1.0,0,0.0,0,,TracTy00
Wan'Dale Robinson,NYG,1,14,0,1,3,3.0,11,11.0,0,,RobiWa01
