Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Kyren Williams,LAR,18,50,1,5,23,1.3,27,1.5,0,,WillKy02
Cooper Kupp,LAR,2,10,0,1,9,4.5,1,0.5,0,,KuppCo00
Ronnie Rivers,LAR,2,16,0,2,12,6.0,4,2.0,0,,RiveRo01
Puka Nacua,LAR,1,7,0,0,3,3.0,4,4.0,0,,NacuPu00
David Montgomery,DET,17,91,1,6,45,2.6,46,2.7,2,8.5,MontDa01
Jahmyr Gibbs,DET,11,40,1,3,21,1.9,19,1.7,1,11.0,GibbJa01
Jared Goff,DET,1,7,0,1,6,6.0,1,1.0,0,,GoffJa00
Kalif Raymond,DET,1,12,0,1,9,9.0,3,3.0,0,,RaymKa00
Jameson Williams,DET,1,13,0,1,10,10.0,3,3.0,0,,WillJa11
