Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Jayden Daniels,WAS,16,88,2,8,73,4.6,15,0.9,0,,DaniJa02
Brian Robinson Jr.,WAS,12,40,1,3,20,1.7,20,1.7,0,,RobiBr01
Austin Ekeler,WAS,2,10,0,1,4,2.0,6,3.0,0,,EkelAu00
Rachaad White,TAM,15,31,0,1,-2,-0.1,33,2.2,0,,WhitRa01
Bucky Irving,TAM,9,62,0,2,51,5.7,11,1.2,0,,IrviBu00
Baker Mayfield,TAM,3,21,0,1,11,3.7,10,3.3,0,,MayfBa00
Kyle Trask,TAM,2,-2,0,,-2,-1.0,0,0.0,0,,TrasKy00
Kameron Johnson,TAM,1,0,0,,0,0.0,0,0.0,0,,JohnKa01
