Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Jaleel McLaughlin,DEN,10,27,0,2,15,1.5,12,1.2,1,10.0,McLaJa00
Javonte Williams,DEN,8,23,0,1,9,1.1,14,1.8,1,8.0,WillJa10
Bo Nix,DEN,5,35,1,3,34,6.8,1,0.2,0,,NixxBo00
Audric Estime,DEN,2,14,0,1,13,6.5,1,0.5,0,,EstiAu00
Kenneth Walker III,SEA,20,103,1,4,52,2.6,51,2.6,2,10.0,WalkKe00
Zach Charbonnet,SEA,8,12,0,0,3,0.4,9,1.1,0,,CharZa00
Geno Smith,SEA,4,30,1,1,30,7.5,0,0.0,0,,SmitGe00
Laviska Shenault Jr.,SEA,1,1,0,,0,0.0,1,1.0,0,,ShenLa00
