Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Lamar Jackson,BAL,16,122,0,7,87,5.4,35,2.2,3,5.3,JackLa00
Derrick Henry,BAL,13,46,1,5,18,1.4,28,2.2,2,6.5,HenrDe00
Zay Flowers,BAL,2,14,0,0,7,3.5,7,3.5,1,2.0,FlowZa00
Justice Hill,BAL,1,3,0,1,3,3.0,0,0.0,0,,HillJu00
Isiah Pacheco,KAN,15,45,1,2,18,1.2,27,1.8,0,,PachIs00
Patrick Mahomes,KAN,2,3,0,1,2,1.0,1,0.5,0,,MahoPa00
Carson Steele,KAN,2,3,0,,0,0.0,3,1.5,0,,SteeCa00
Xavier Worthy,KAN,1,21,1,1,17,17.0,4,4.0,0,,WortXa00
