Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Zamir White,LVR,13,44,0,1,19,1.5,25,1.9,2,6.5,WhitZa01
Alexander Mattison,LVR,5,19,0,0,6,1.2,13,2.6,0,,MattAl01
Gardner Minshew II,LVR,3,5,0,0,0,0.0,5,1.7,0,,MinsGa00
Jakobi Meyers,LVR,1,3,0,0,1,1.0,2,2.0,0,,MeyeJa01
Gus Edwards,LAC,11,26,0,1,11,1.0,15,1.4,1,11.0,EdwaGu00
J.K. Dobbins,LAC,10,135,1,4,64,6.4,71,7.1,4,2.5,DobbJK00
Justin Herbert,LAC,4,6,0,0,6,1.5,0,0.0,0,,HerbJu00
Derius Davis,LAC,2,9,0,,5,2.5,4,2.0,0,,DaviDe02
