Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
James Conner,ARI,16,50,1,3,27,1.7,23,1.4,0,,ConnJa00
Kyler Murray,ARI,5,57,0,3,38,7.6,19,3.8,0,,MurrKy00
Trey Benson,ARI,3,13,0,1,6,2.0,7,2.3,0,,BensTr01
Greg Dortch,ARI,1,4,0,0,3,3.0,1,1.0,0,,DortGr01
James Cook,BUF,19,71,0,3,40,2.1,31,1.6,1,19.0,CookJa01
Josh Allen,BUF,9,39,2,4,28,3.1,11,1.2,0,,AlleJo02
Ray Davis,BUF,3,13,0,1,5,1.7,8,2.7,0,,DaviRa04
Ty Johnson,BUF,2,7,0,,4,2.0,3,1.5,0,,JohnTy02
