Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Najee Harris,PIT,20,70,0,3,22,1.1,48,2.4,2,10.0,HarrNa00
Justin Fields,PIT,14,57,0,5,20,1.4,37,2.6,1,14.0,FielJu00
Cordarrelle Patterson,PIT,4,13,0,,3,0.8,10,2.5,0,,PattCo00
Jaylen Warren,PIT,2,7,0,1,2,1.0,5,2.5,0,,WarrJa01
George Pickens,PIT,1,-10,0,0,-10,-10.0,0,0.0,0,,PickGe00
Bijan Robinson,ATL,18,68,0,5,18,1.0,50,2.8,4,4.5,RobiBi01
Tyler Allgeier,ATL,3,21,0,1,10,3.3,11,3.7,0,,AllgTy00
Kirk Cousins,ATL,1,0,0,0,0,0.0,0,0.0,0,,CousKi00
