Quarter,Time,Down,ToGo,Location,NYJ,NWE,Detail,EPB,EPA
2,13:13,2,8,NYJ 42,6,7,Aaron Rodgers pass complete short middle to Jeremy Ruckert for 10 yards (tackle by Jahlani Tavai and Raekwon McMillan),1.320,2.390
2,12:32,1,10,NWE 48,6,7,Aaron Rodgers pass complete short middle to Jeremy Ruckert for 5 yards (tackle by Jahlani Tavai),2.390,2.520
2,11:47,2,5,NWE 43,6,7,Breece Hall left tackle for 3 yards (tackle by Christian Gonzalez),2.520,2.210
2,11:07,3,2,NWE 40,6,7,Braelon Allen up the middle for 3 yards (tackle by Deatrich Wise),2.210,3.120
2,10:28,1,10,NWE 37,6,7,Braelon Allen left guard for 4 yards (tackle by Raekwon McMillan and Jaylinn Hawkins). Penalty on Jaquelin Roy: Defensive Holding 5 yards (accepted),3.120,3.710
2,9:55,1,10,NWE 28,6,7,Aaron Rodgers pass complete deep left to Garrett Wilson for 27 yards (tackle by Marcus Jones),3.710,6.970
2,9:11,1,1,NWE 1,12,7,Aaron Rodgers pass complete short right to Xavier Gipson for 1 yard touchdown Replay Assistant challenged the pass completion ruling and the play was upheld.,6.970,7.000
2,9:06,,,NWE 15,13,7,Greg Zuerlein kicks extra point good,0.000,0.000
2,9:06,,,NYJ 35,13,7,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
2,9:06,1,10,NWE 30,13,7,Rhamondre Stevenson right tackle for no gain (tackle by Braiden McGregor),0.940,0.390
2,8:26,2,10,NWE 30,13,7,Rhamondre Stevenson right guard for 2 yards (tackle by Javon Kinlaw),0.390,-0.030
2,7:41,3,8,NWE 32,13,7,Jacoby Brissett pass complete short left to Demario Douglas for 3 yards (tackle by Jamien Sherwood and Jalen Mills),-0.030,-1.040
2,7:01,4,5,NWE 35,13,7,Bryce Baringer punts 50 yards fair catch by Xavier Gipson at NYJ-15,-1.040,0.220
2,6:53,1,10,NYJ 15,13,7,Breece Hall left tackle for 6 yards (tackle by Keion White),-0.220,0.210
2,6:09,2,4,NYJ 21,13,7,Aaron Rodgers pass incomplete deep right intended for Garrett Wilson,0.210,-0.630
2,6:03,3,4,NYJ 21,13,7,Aaron Rodgers pass complete deep right to Garrett Wilson for 26 yards (tackle by Marcus Jones),-0.630,2.060
2,5:22,1,10,NYJ 47,13,7,Braelon Allen up the middle for 4 yards (tackle by Christian Elliss),2.060,2.060
2,4:49,2,6,NWE 49,13,7,Breece Hall right tackle for 5 yards (tackle by Davon Godchaux and Dell Pettus),2.060,2.020
2,4:09,3,1,NWE 44,13,7,Braelon Allen up the middle for 3 yards (tackle by Anfernee Jennings),2.020,2.850
2,3:26,1,10,NWE 41,13,7,Aaron Rodgers pass complete short middle to Breece Hall for no gain (tackle by Christian Elliss). Penalty on Morgan Moses: Ineligible Downfield Pass 5 yards (accepted) (no play),2.850,2.520
2,3:00,1,15,NWE 46,13,7,Aaron Rodgers pass incomplete short right,2.520,1.630
2,2:50,2,15,NWE 46,13,7,Braelon Allen right tackle for 6 yards (tackle by Anfernee Jennings and Jeremiah Pharms),1.630,1.750
2,2:04,3,9,NWE 40,13,7,Aaron Rodgers pass incomplete short left intended for Breece Hall (defended by Christian Elliss),1.750,0.590
2,2:00,4,9,NWE 40,13,7,Thomas Morstead punts 40 yards touchback.,0.590,-0.280
2,1:51,1,10,NWE 20,13,7,Rhamondre Stevenson right guard for 4 yards (tackle by Sauce Gardner and Jamien Sherwood),0.280,0.270
2,1:08,2,6,NWE 24,13,7,Rhamondre Stevenson up the middle for 5 yards (tackle by Micheal Clemons),0.270,0.230
2,0:41,3,1,NWE 29,13,7,Jacoby Brissett left guard for no gain (tackle by Micheal Clemons and Michael Carter),0.230,-1.440
3,15:00,,,NWE 35,13,7,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,13,7,Breece Hall up the middle for 6 yards (tackle by Christian Elliss and Marte Mapu),0.940,1.200
3,14:20,2,4,NYJ 36,13,7,Braelon Allen left end for no gain (tackle by Jahlani Tavai),1.200,0.500
3,13:32,3,4,NYJ 36,13,7,Aaron Rodgers pass incomplete short right,0.500,-0.980
3,13:27,4,4,NYJ 36,13,7,Thomas Morstead punts 52 yards returned by Marcus Jones for 62 yards (tackle by Jeremy Ruckert),-0.980,-3.840
3,13:10,1,10,NYJ 26,13,7,Rhamondre Stevenson right end for 6 yards (tackle by Chazz Surratt),3.840,4.110
3,12:35,2,4,NYJ 20,13,7,Jacoby Brissett pass complete short left to Kayshon Boutte for 8 yards (tackle by Michael Carter),4.110,4.780
3,12:01,1,10,NYJ 12,13,7,Rhamondre Stevenson left guard for -5 yards (tackle by Chazz Surratt),4.780,3.420
3,11:26,2,15,NYJ 17,13,7,Jacoby Brissett pass complete short left to Rhamondre Stevenson for 14 yards (tackle by Quincy Williams and Isaiah Oliver),3.420,5.060
3,10:59,3,1,NYJ 3,13,13,Rhamondre Stevenson left tackle for 3 yards touchdown,5.060,7.000
3,10:55,,,NYJ 15,13,14,Joey Slye kicks extra point good,0.000,0.000
3,10:55,,,NWE 35,13,14,Joey Slye kicks off 65 yards touchback.,0.000,0.940
3,10:55,1,10,NYJ 30,13,14,Aaron Rodgers pass complete deep right to Garrett Wilson for 35 yards (tackle by Marcus Jones). Penalty on Marcus Jones: Defensive Pass Interference 15 yards (declined),0.940,3.250
3,10:48,1,10,NWE 35,13,14,Breece Hall left tackle for no gain (tackle by Keion White and Christian Elliss),3.250,2.700
3,10:06,2,10,NWE 35,13,14,Aaron Rodgers pass complete short right to Davante Adams for 15 yards (tackle by Marte Mapu and Marcus Jones),2.700,4.240
3,9:25,1,10,NWE 20,13,14,Aaron Rodgers pass complete short left to Breece Hall for 9 yards (tackle by Christian Gonzalez and Christian Elliss),4.240,5.260
3,8:45,2,1,NWE 11,13,14,Breece Hall up the middle for no gain (tackle by Dell Pettus and Christian Elliss),5.260,4.590
3,8:02,3,1,NWE 11,13,14,Aaron Rodgers pass incomplete short middle intended for Davante Adams (defended by Christian Gonzalez),4.590,2.850
3,7:57,4,1,NWE 11,16,14,Greg Zuerlein 29 yard field goal good,2.850,3.000
3,7:54,,,NYJ 35,16,14,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
3,7:54,1,10,NWE 30,16,14,Antonio Gibson right end for 2 yards (tackle by Sauce Gardner and Quincy Williams),0.940,0.660
3,7:16,2,8,NWE 32,16,14,Jacoby Brissett pass complete short middle to Austin Hooper for 6 yards (tackle by Chazz Surratt and Quincy Williams),0.660,0.760
3,6:41,3,2,NWE 38,16,14,Antonio Gibson left guard for 3 yards. Antonio Gibson fumbles (forced by Solomon Thomas) recovered by Antonio Gibson at NE-41,0.760,1.660
3,5:47,1,10,NWE 41,16,14,Jacoby Brissett pass complete deep left to Hunter Henry for no gain (tackle by Jalen Mills). Penalty on Michael Jordan: Offensive Holding 10 yards (accepted) (no play),1.660,1.000
3,5:24,1,20,NWE 31,16,14,Jacoby Brissett pass incomplete deep left intended for K.J. Osborn,1.000,-0.230
3,5:16,2,20,NWE 31,16,14,Jacoby Brissett pass complete short right to Tyquan Thornton for 6 yards (tackle by Jamien Sherwood and Sauce Gardner),-0.230,-0.100
3,4:36,3,14,NWE 37,16,14,Jacoby Brissett sacked by and Javon Kinlaw for -11 yards and Quinnen Williams for -11 yards,-0.100,-1.630
3,3:59,4,25,NWE 26,16,14,Bryce Baringer punts 49 yards returned by Xavier Gipson for 7 yards (tackle by Raekwon McMillan). Penalty on Jarrick Bernard-Converse: Offensive Holding 10 yards (accepted),-1.630,-0.410
3,3:40,1,10,NYJ 22,16,14,Aaron Rodgers pass complete short right to Tyler Conklin for 13 yards (tackle by Christian Gonzalez and Raekwon McMillan),0.410,1.270
3,3:09,1,10,NYJ 35,16,14,Braelon Allen right tackle for 4 yards (tackle by Deatrich Wise),1.270,1.260
3,2:13,2,6,NYJ 39,16,14,Aaron Rodgers pass incomplete short middle,1.260,0.560
3,2:01,3,6,NYJ 39,16,14,Aaron Rodgers pass incomplete deep middle intended for Tyler Conklin,0.560,-0.780
