Quarter,Time,Down,ToGo,Location,TEN,DET,Detail,EPB,EPA
2,12:58,3,6,TEN 21,14,14,Jared Goff pass incomplete short right intended for Kalif Raymond. Penalty on Jarvis Brownlee: Defensive Pass Interference 5 yards (accepted) (no play),3.200,4.510
2,12:58,1,10,TEN 16,14,14,Penalty on Jarvis Brownlee: Face Mask (15 Yards) 8 yards (accepted) (no play),4.510,5.370
2,12:55,1,8,TEN 8,14,20,Jared Goff pass complete short right to Brock Wright for 8 yards touchdown,5.370,7.000
2,12:51,,,TEN 15,14,21,Jake Bates kicks extra point good,0.000,0.000
2,12:51,,,DET 35,14,21,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,12:51,1,10,TEN 30,14,21,Mason Rudolph pass short left intended for Chigoziem Okonkwo is intercepted by Kerby Joseph at TEN-45 and returned for 33 yards (tackle by Dillon Radunz),0.940,-4.780
2,12:39,1,10,TEN 12,14,21,David Montgomery up the middle for 3 yards (tackle by Amani Hooker),4.780,4.640
2,12:04,2,7,TEN 9,14,21,Jared Goff pass incomplete short right,4.640,3.700
2,12:02,3,7,TEN 9,14,21,Jared Goff pass complete short right to Sam LaPorta for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Jared Goff pass complete short right to Sam LaPorta for 8 yards (tackle by Amani Hooker),3.700,6.970
2,11:41,1,1,TEN 1,14,27,Jared Goff pass complete short left to Amon-Ra St. Brown for 1 yard touchdown,6.970,7.000
2,11:37,,,TEN 15,14,28,Jake Bates kicks extra point good,0.000,0.000
2,11:37,,,DET 35,14,28,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,11:37,1,10,TEN 30,14,28,Penalty on Leroy Watson: False Start 5 yards (accepted) (no play),0.940,0.610
2,11:37,1,15,TEN 25,14,28,Mason Rudolph pass complete short left to Tony Pollard for 17 yards (tackle by Brian Branch),0.610,1.730
2,10:55,,,,,,Timeout #2 by Tennessee Titans,,
2,10:55,1,10,TEN 42,14,28,Mason Rudolph pass complete short left to Calvin Ridley for 8 yards (tackle by Terrion Arnold),1.730,2.270
2,10:27,2,2,TEN 50,14,28,Tony Pollard left tackle for 1 yard (tackle by Levi Onwuzurike),2.270,1.690
2,9:53,3,1,DET 49,14,28,Mason Rudolph pass complete short right to Josh Whyle for no gain (tackle by Alex Anzalone),1.690,0.000
2,9:16,4,1,DET 49,14,28,Mason Rudolph right end for 2 yards (tackle by Jack Campbell),0.000,2.460
2,8:37,1,10,DET 47,14,28,Mason Rudolph sacked by Alex Anzalone for -8 yards,2.460,0.830
2,7:55,2,18,TEN 45,14,28,Mason Rudolph pass complete short left to Tony Pollard for no gain (tackle by Kerby Joseph). Penalty on Peter Skoronski: Offensive Holding 10 yards (accepted) (no play),0.830,-0.520
2,7:23,2,28,TEN 35,14,28,Mason Rudolph scrambles right tackle for 14 yards (tackle by Carlton Davis),-0.520,0.700
2,6:40,3,14,TEN 49,14,28,Mason Rudolph pass incomplete short left intended for Calvin Ridley (defended by Terrion Arnold),0.700,-0.130
2,6:35,4,14,TEN 49,14,28,Ryan Stonehouse punts 37 yards returned by Kalif Raymond for 64 yards (tackle by Luke Gifford),-0.130,-4.110
2,6:17,1,10,TEN 22,14,28,Jahmyr Gibbs left end for 9 yards (tackle by Darrell Baker),4.110,5.060
2,5:41,2,1,TEN 13,14,28,Jahmyr Gibbs left tackle for 2 yards (tackle by Jarvis Brownlee and T'Vondre Sweat),5.060,4.840
2,4:58,1,10,TEN 11,14,28,Jahmyr Gibbs left tackle for 7 yards (tackle by Amani Hooker and Quandre Diggs),4.840,5.470
2,4:25,2,3,TEN 4,14,28,Jahmyr Gibbs up the middle for no gain (tackle by Amani Hooker and Sebastian Joseph-Day),5.470,4.670
