Quarter,Time,Down,ToGo,Location,ARI,MIA,Detail,EPB,EPA
4,4:06,3,1,ARI 20,25,27,Kyler Murray pass complete deep left to Trey McBride for 17 yards (tackle by Jordan Poyer),-0.370,1.400
4,3:25,1,10,ARI 37,25,27,James Conner right guard for no gain. Penalty on Paris Johnson: Offensive Holding 10 yards (accepted) (no play),1.400,0.740
4,3:15,1,20,ARI 27,25,27,Kyler Murray pass complete short left to Michael Wilson for 5 yards (tackle by Cam Smith),0.740,0.180
4,2:57,2,15,ARI 32,25,27,Kyler Murray pass complete deep middle to Marvin Harrison for 18 yards (tackle by Cam Smith),0.180,2.260
4,2:09,1,10,ARI 50,25,27,James Conner right guard for 17 yards (tackle by Jordan Poyer and Jalen Ramsey),2.260,3.380
4,1:58,1,10,MIA 33,25,27,James Conner left guard for 5 yards (tackle by David Long),3.380,3.510
4,1:54,,,,,,Timeout #1 by Miami Dolphins,,
4,1:54,2,5,MIA 28,25,27,James Conner right guard for 1 yard (tackle by Emmanuel Ogbah and Da'Shawn Hand),3.510,2.940
4,1:48,,,,,,Timeout #2 by Miami Dolphins,,
4,1:48,3,4,MIA 27,25,27,Kyler Murray scrambles right end for 7 yards (tackle by Jordyn Brooks),2.940,4.240
4,1:02,,,,,,Timeout #1 by Arizona Cardinals,,
4,1:02,1,10,MIA 20,25,27,James Conner up the middle for 3 yards (tackle by Marcus Maye and Benito Jones),4.240,4.120
4,0:22,2,7,MIA 17,25,27,James Conner right guard for 1 yard (tackle by Benito Jones and Calais Campbell),4.120,3.520
4,0:14,,,,,,Timeout #3 by Miami Dolphins,,
4,0:14,3,6,MIA 16,25,27,James Conner left tackle for no gain (tackle by Jordan Poyer and David Long),3.520,2.400
4,0:01,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:01,4,6,MIA 16,28,27,Chad Ryland 34 yard field goal good,2.400,3.000
