Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
2,12:43,4,8,PIT 21,6,6,Greg Joseph 39 yard field goal good,2.060,3.000
2,12:39,,,NYG 35,6,6,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,12:39,1,10,PIT 30,6,6,Russell Wilson pass incomplete short right intended for Najee Harris,0.940,0.390
2,12:35,2,10,PIT 30,6,6,Najee Harris right end for 14 yards (tackle by Bobby Okereke),0.390,1.860
2,11:58,1,10,PIT 44,6,6,Russell Wilson pass incomplete short middle intended for Scott Miller,1.860,1.320
2,11:53,2,10,PIT 44,6,6,Russell Wilson pass complete short right to Van Jefferson for 12 yards (tackle by Bobby Okereke),1.320,2.650
2,11:19,1,10,NYG 44,6,6,Russell Wilson pass complete short middle to Najee Harris for 13 yards (tackle by Bobby Okereke),2.650,3.510
2,10:40,1,10,NYG 31,6,6,Najee Harris right guard for 6 yards (tackle by Andru Phillips),3.510,3.780
2,10:12,2,4,NYG 25,6,6,Najee Harris right guard for no gain (tackle by D.J. Davidson and Bobby Okereke),3.780,3.070
2,9:30,3,4,NYG 25,6,6,Russell Wilson pass complete short left to George Pickens for 14 yards (tackle by Andru Phillips),3.070,4.840
2,9:05,1,10,NYG 11,6,6,Jaylen Warren up the middle for 2 yards (tackle by Dexter Lawrence),4.840,4.510
2,8:29,2,8,NYG 9,6,6,Russell Wilson pass incomplete short right intended for Jaylen Warren,4.510,3.530
2,8:15,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,8:15,3,8,NYG 9,6,6,Russell Wilson pass complete short right to George Pickens for 9 yards touchdown Replay Assistant challenged the pass completion ruling and the original play was overturned. Russell Wilson pass incomplete short right intended for George Pickens (defended by Deonte Banks),3.530,2.830
2,8:15,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,8:15,4,8,NYG 9,6,9,Chris Boswell 27 yard field goal good,2.830,3.000
2,8:12,,,PIT 35,6,9,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,8:12,1,10,NYG 30,6,9,Tyrone Tracy right guard for 1 yard (tackle by Elandon Roberts),0.940,0.530
2,7:39,2,9,NYG 31,6,9,Tyrone Tracy left guard for 6 yards (tackle by Joey Porter and Patrick Queen),0.530,0.630
2,6:59,3,3,NYG 37,6,9,Daniel Jones pass incomplete deep left intended for Darius Slayton (defended by Minkah Fitzpatrick),0.630,-0.910
2,6:53,4,3,NYG 37,6,9,Matt Haack punts 45 yards fair catch by Calvin Austin at PIT-18,-0.910,-0.040
2,6:45,1,10,PIT 18,6,9,Najee Harris right tackle for 3 yards (tackle by D.J. Davidson and Azeez Ojulari),0.040,0.010
2,6:19,2,7,PIT 21,6,9,Russell Wilson sacked by Azeez Ojulari for -5 yards,0.010,-1.500
2,5:40,3,12,PIT 16,6,9,Jaylen Warren left end for 18 yards (tackle by Bobby Okereke),-1.500,1.200
2,5:02,1,10,PIT 34,6,9,Jaylen Warren left guard for 1 yard (tackle by Bobby Okereke),1.200,0.790
2,4:24,2,9,PIT 35,6,9,Russell Wilson pass complete short left to George Pickens for 11 yards (tackle by Tyler Nubin and Brian Burns),0.790,1.990
2,3:44,1,10,PIT 46,6,9,Jaylen Warren up the middle for -3 yards (tackle by Armon Watts),1.990,1.050
2,3:00,2,13,PIT 43,6,9,Russell Wilson pass complete short left to MyCole Pruitt for 10 yards (tackle by Andru Phillips),1.050,1.690
2,2:11,3,3,NYG 47,6,9,Russell Wilson sacked by Brian Burns for -10 yards,1.690,-0.520
2,2:00,4,13,PIT 43,6,9,Corliss Waitman punts 40 yards fair catch by Ihmir Smith-Marsette at NYG-17,-0.520,0.060
2,1:53,1,10,NYG 17,6,9,Daniel Jones up the middle for -2 yards (tackle by Larry Ogunjobi),-0.060,-0.850
2,1:21,2,12,NYG 15,6,9,Tyrone Tracy up the middle for 4 yards (tackle by Alex Highsmith),-0.850,-1.000
2,1:16,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,1:16,3,8,NYG 19,6,9,Daniel Jones pass complete deep middle to Darius Slayton for 36 yards (tackle by DeShon Elliott),-1.000,2.590
2,0:45,1,10,PIT 45,6,9,Daniel Jones pass complete short left to Darius Slayton for 11 yards (tackle by Joey Porter),2.590,3.310
2,0:40,1,10,PIT 34,6,9,Daniel Jones pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Donte Jackson),3.310,3.450
2,0:35,,,,,,Timeout #2 by New York Giants,,
2,0:35,2,5,PIT 29,6,9,Daniel Jones pass incomplete deep left intended for Malik Nabers,3.450,2.740
2,0:30,3,5,PIT 29,6,9,Daniel Jones pass complete short right to Eric Gray for 3 yards (tackle by Joey Porter),2.740,1.860
2,0:25,4,2,PIT 26,9,9,Greg Joseph 44 yard field goal good,1.860,3.000
2,0:21,,,NYG 35,9,9,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
2,0:21,1,10,PIT 30,9,9,Russell Wilson pass complete short right to Calvin Austin for 13 yards (tackle by Nick McCloud),0.940,1.800
2,0:08,1,10,PIT 43,9,9,Russell Wilson spiked the ball,1.800,1.250
2,0:07,2,10,PIT 43,9,9,Russell Wilson pass complete short middle to Jaylen Warren for 4 yards (tackle by Dane Belton),1.250,1.090
3,15:00,,,PIT 35,9,9,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYG 30,9,9,Tyrone Tracy right guard for no gain (tackle by DeShon Elliott),0.940,0.390
3,14:22,2,10,NYG 30,9,9,Tyrone Tracy left guard for 26 yards (tackle by Beanie Bishop),0.390,2.650
3,13:37,1,10,PIT 44,9,9,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by Cameron Heyward),2.650,2.110
3,13:32,2,10,PIT 44,9,9,Tyrone Tracy left guard for 5 yards (tackle by Cameron Heyward and Larry Ogunjobi),2.110,2.080
3,13:02,3,5,PIT 39,9,9,Daniel Jones pass complete short left to Malik Nabers for 8 yards (tackle by DeShon Elliott),2.080,3.510
3,12:22,1,10,PIT 31,9,9,Tyrone Tracy up the middle for no gain (tackle by DeShon Elliott),3.510,2.970
3,11:37,2,10,PIT 31,9,9,Daniel Jones sacked by T.J. Watt for -9 yards,2.970,1.090
3,10:50,3,19,PIT 40,9,9,Daniel Jones sacked by Alex Highsmith for -3 yards,1.090,0.400
3,10:10,4,22,PIT 43,9,9,Matt Haack punts 27 yards returned by Calvin Austin for no gain (tackle by Dane Belton),0.400,0.140
3,10:02,1,10,PIT 16,9,9,Najee Harris right end for 2 yards (tackle by D.J. Davidson and Azeez Ojulari),-0.140,-0.350
3,9:23,2,8,PIT 18,9,9,Najee Harris right tackle for no gain (tackle by Dexter Lawrence),-0.350,-1.070
3,8:39,3,8,PIT 18,9,9,Penalty on Ryan McCollum: False Start 5 yards (accepted) (no play),-1.070,-1.750
3,8:18,3,13,PIT 13,9,9,Russell Wilson pass complete short left to Pat Freiermuth for 8 yards (tackle by Andru Phillips and Bobby Okereke),-1.750,-1.960
3,7:44,4,5,PIT 21,9,9,Corliss Waitman punts 55 yards returned by Ihmir Smith-Marsette for 2 yards (tackle by James Pierre),-1.960,-0.670
3,7:35,1,10,NYG 26,9,9,Devin Singletary up the middle for 4 yards (tackle by Cameron Heyward and T.J. Watt),0.670,0.670
3,6:59,2,6,NYG 30,9,9,Devin Singletary right tackle for no gain (tackle by Elandon Roberts and DeShon Elliott). Penalty on Darius Slayton: Illegal Shift 5 yards (accepted) (no play),0.670,-0.010
3,6:27,2,11,NYG 25,9,9,Penalty on Daniel Jones: Delay of Game 5 yards (accepted) (no play),-0.010,-0.680
3,6:10,2,16,NYG 20,9,9,Daniel Jones sacked by Alex Highsmith for -6 yards,-0.680,-2.650
3,5:31,3,22,NYG 14,9,9,Tyrone Tracy left guard for 5 yards (tackle by Alex Highsmith and Cameron Heyward),-2.650,-2.140
3,4:58,4,17,NYG 19,9,15,Matt Haack punts 54 yards returned by Calvin Austin for 73 yards touchdown. Penalty on Tomon Fox: Illegal Formation 5 yards (declined),-2.140,-7.000
3,4:38,,,NYG 15,9,16,Chris Boswell kicks extra point good,0.000,0.000
3,4:38,,,PIT 35,9,16,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
3,4:38,1,10,NYG 30,9,16,Penalty on Jermaine Eluemunor: False Start 5 yards (accepted) (no play),0.940,0.610
3,4:38,1,15,NYG 25,9,16,Tyrone Tracy right tackle for 2 yards (tackle by T.J. Watt),0.610,-0.010
3,3:59,2,13,NYG 27,9,16,Daniel Jones pass complete short left to Tyrone Tracy for no gain (tackle by Patrick Queen),-0.010,-0.690
3,3:18,3,13,NYG 27,9,16,Daniel Jones pass complete short right to Theo Johnson for 7 yards (tackle by Donte Jackson and Patrick Queen),-0.690,-1.110
3,2:39,4,6,NYG 34,9,16,Matt Haack punts 66 yards touchback.,-1.110,-0.280
3,2:28,1,10,PIT 20,9,16,Russell Wilson pass complete short left to Najee Harris for -3 yards (tackle by Micah McFadden),0.280,-0.790
3,2:05,2,13,PIT 17,9,16,Russell Wilson pass complete short left to George Pickens for 6 yards (tackle by Greg Stroman),-0.790,-0.560
3,1:45,3,7,PIT 23,9,16,Russell Wilson pass complete short right to Pat Freiermuth for 11 yards (tackle by Nick McCloud and Azeez Ojulari),-0.560,1.200
3,1:06,1,10,PIT 34,9,16,Jaylen Warren left end for 4 yards (tackle by Bobby Okereke),1.200,1.200
3,0:23,2,6,PIT 38,9,16,Russell Wilson pass incomplete deep right intended for Scott Miller,1.200,0.500
3,0:17,3,6,PIT 38,9,16,Penalty on Isaac Seumalo: False Start 5 yards (accepted) (no play),0.500,-0.160
3,0:17,3,11,PIT 33,9,16,Russell Wilson pass complete deep right to Van Jefferson for 36 yards (tackle by Nick McCloud),-0.160,3.510
4,15:00,1,10,NYG 31,9,16,Najee Harris right tackle for no gain (tackle by Tyler Nubin). Penalty on Mason McCormick: Offensive Holding 10 yards (accepted) (no play),3.510,2.850
4,14:34,1,20,NYG 41,9,16,Russell Wilson right end for 5 yards (tackle by Nick McCloud),2.850,2.290
4,14:09,2,15,NYG 36,9,16,Russell Wilson pass complete short middle to Najee Harris for 7 yards (tackle by Andru Phillips and Bobby Okereke),2.290,2.540
4,13:22,3,8,NYG 29,9,22,Russell Wilson pass complete deep left to Calvin Austin for 29 yards touchdown,2.540,7.000
4,13:16,,,NYG 15,9,23,Chris Boswell kicks extra point good,0.000,0.000
4,13:16,,,PIT 35,9,23,Chris Boswell kicks off 67 yards returned by Ihmir Smith-Marsette for 47 yards (tackle by Jonathan Ward),0.000,1.930
4,13:09,1,10,NYG 45,9,23,Daniel Jones pass incomplete short left intended for Theo Johnson,1.930,1.380
4,13:03,2,10,NYG 45,9,23,Daniel Jones pass complete short left to Devin Singletary for 4 yards (tackle by Payton Wilson),1.380,1.220
4,12:18,3,6,NYG 49,9,23,Daniel Jones pass complete short left to Malik Nabers for no gain (tackle by Joey Porter). Penalty on Jermaine Eluemunor: Offensive Holding 10 yards (accepted) (no play),1.220,-0.100
4,11:55,3,16,NYG 39,9,23,Daniel Jones pass complete deep left to Malik Nabers for 16 yards (tackle by Joey Porter),-0.100,2.590
4,11:22,1,10,PIT 45,9,23,Daniel Jones pass incomplete deep right intended for Malik Nabers,2.590,2.040
4,11:16,2,10,PIT 45,15,23,Tyrone Tracy left guard for 45 yards touchdown,2.040,7.000
4,11:07,,,PIT 2,15,23,Two Point Attempt: Daniel Jones pass incomplete intended for intended for Malik Nabers,1.000,-1.000
4,11:07,,,NYG 35,15,23,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
4,11:07,1,10,PIT 30,15,23,Najee Harris left guard for 7 yards (tackle by D.J. Davidson and Bobby Okereke),0.940,1.340
4,10:32,2,3,PIT 37,15,23,Russell Wilson pass complete short left to Van Jefferson for 10 yards (tackle by Jason Pinnock),1.340,2.060
4,9:57,1,10,PIT 47,15,23,Russell Wilson pass complete deep left to George Pickens for 43 yards (tackle by Jason Pinnock),2.060,4.910
4,9:10,1,10,NYG 10,15,23,Najee Harris right guard for 5 yards (tackle by Nick McCloud and Bobby Okereke),4.910,5.150
4,8:33,2,5,NYG 5,15,23,Najee Harris up the middle for no gain (tackle by Azeez Ojulari and D.J. Davidson),5.150,4.260
4,7:56,3,5,NYG 5,15,23,Russell Wilson sacked by Azeez Ojulari for -4 yards,4.260,2.830
4,7:19,4,9,NYG 9,15,26,Chris Boswell 27 yard field goal good,2.830,3.000
4,7:15,,,PIT 35,15,26,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
4,7:15,1,10,NYG 30,15,26,Daniel Jones pass incomplete short middle intended for Tyrone Tracy,0.940,0.390
4,7:11,2,10,NYG 30,15,26,Tyrone Tracy left guard for 2 yards (tackle by T.J. Watt and Cameron Heyward),0.390,-0.030
4,6:46,3,8,NYG 32,15,26,Daniel Jones pass complete deep left to Darius Slayton for 18 yards (tackle by Terrell Edmunds),-0.030,2.260
4,6:22,1,10,NYG 50,15,26,Tyrone Tracy left guard for 17 yards (tackle by Beanie Bishop and Minkah Fitzpatrick),2.260,3.380
4,5:51,1,10,PIT 33,15,26,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Beanie Bishop and Joey Porter),3.380,3.240
4,5:16,2,7,PIT 30,15,26,Daniel Jones pass incomplete short left,3.240,2.540
4,5:14,3,7,PIT 30,15,26,Daniel Jones pass incomplete short right intended for Malik Nabers,2.540,1.410
4,5:10,4,7,PIT 30,18,26,Greg Joseph 48 yard field goal good,1.410,3.000
4,5:06,,,NYG 35,18,26,Greg Joseph kicks off 65 yards touchback.,0.000,0.940
4,5:06,1,10,PIT 30,18,26,Najee Harris left guard for 4 yards (tackle by Azeez Ojulari),0.940,0.930
4,4:41,2,6,PIT 34,18,26,Russell Wilson sacked by and Bobby Okereke for no gain and Micah McFadden for no gain. Russell Wilson fumbles recovered by Bobby Okereke at PIT-37 (tackle by Isaac Seumalo),0.930,-3.120
4,4:34,1,10,PIT 37,18,26,Daniel Jones pass complete short right to Malik Nabers for 9 yards (tackle by DeShon Elliott),3.120,3.790
4,4:28,2,1,PIT 28,18,26,Tyrone Tracy up the middle for 6 yards (tackle by Cameron Heyward),3.790,4.110
4,4:03,1,10,PIT 22,18,26,Tyrone Tracy up the middle for 2 yards (tackle by Cameron Heyward),4.110,3.830
