Quarter,Time,Down,ToGo,Location,CAR,DEN,Detail,EPB,EPA
2,9:57,1,10,DEN 8,7,7,Javonte Williams left end for 2 yards (tackle by Josey Jewell),-0.380,-0.630
2,9:33,2,8,DEN 10,7,7,Bo Nix pass complete short right to Courtland Sutton for 6 yards (tackle by Michael Jackson),-0.630,-0.480
2,8:47,3,2,DEN 16,7,7,Bo Nix pass complete short middle to Lil'Jordan Humphrey for 6 yards (tackle by Demani Richardson),-0.480,0.410
2,8:22,1,10,DEN 22,7,7,Bo Nix pass complete deep right to Courtland Sutton for 37 yards (tackle by Demani Richardson),0.410,2.850
2,7:48,1,10,CAR 41,7,7,Bo Nix pass complete deep right to Adam Trautman for 17 yards,2.850,3.970
2,7:20,1,10,CAR 24,7,7,Javonte Williams right end for 5 yards (tackle by Trevin Wallace),3.970,4.120
2,6:56,2,5,CAR 19,7,13,Bo Nix pass complete deep right to Adam Trautman for 19 yards touchdown,4.120,7.000
2,6:51,,,CAR 15,7,14,Wil Lutz kicks extra point good,0.000,0.000
2,6:51,,,DEN 35,7,14,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,6:51,1,10,CAR 30,7,14,Bryce Young pass complete short middle to David Moore for 11 yards (tackle by Riley Moss),0.940,1.660
2,6:12,1,10,CAR 41,7,14,Chuba Hubbard left guard for 2 yards (tackle by Kwon Alexander and Jonathon Cooper),1.660,1.390
2,5:34,2,8,CAR 43,7,14,Chuba Hubbard up the middle for 6 yards (tackle by Justin Strnad and Nik Bonitto),1.390,1.490
2,4:53,3,2,CAR 49,7,14,Bryce Young pass incomplete deep right intended for Jonathan Mingo. Penalty on Ikem Ekwonu: Offensive Holding 10 yards (declined),1.490,-0.130
2,4:46,,,,,,Timeout #2 by Carolina Panthers,,
2,4:46,4,2,CAR 49,7,14,Bryce Young pass complete short left to Miles Sanders for -1 yards (tackle by Patrick Surtain),-0.130,-2.390
2,4:41,1,10,CAR 48,7,14,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey,2.390,1.850
2,4:35,2,10,CAR 48,7,14,Bo Nix pass complete deep middle to Courtland Sutton for 16 yards (tackle by Demani Richardson),1.850,3.450
2,4:09,1,10,CAR 32,7,14,Bo Nix pass complete short left to Lil'Jordan Humphrey for 2 yards (tackle by Michael Jackson),3.450,3.170
2,3:31,2,8,CAR 30,7,14,Bo Nix pass incomplete short left intended for Courtland Sutton (defended by Jaycee Horn),3.170,2.480
2,3:26,,,,,,Timeout #2 by Denver Broncos,,
2,3:26,3,8,CAR 30,7,14,Jaleel McLaughlin right end for 10 yards (tackle by Michael Jackson),2.480,4.240
