Quarter,Time,Down,ToGo,Location,ATL,TAM,Detail,EPB,EPA
2,9:24,3,1,ATL 39,7,14,Bijan Robinson up the middle for 2 yards (tackle by Jordan Whitehead and Anthony Nelson),0.890,1.660
2,8:43,1,10,ATL 41,7,14,Kirk Cousins pass complete short left to Ray-Ray McCloud for 6 yards (tackle by Christian Izien),1.660,1.930
2,8:03,2,4,ATL 47,7,14,Tyler Allgeier up the middle for 4 yards (tackle by Jordan Whitehead and Logan Hall),1.930,2.320
2,7:35,1,10,TAM 49,7,14,Kirk Cousins pass incomplete deep middle intended for Darnell Mooney (defended by Tyrek Funderburk),2.320,1.780
2,7:27,2,10,TAM 49,13,14,Kirk Cousins pass complete short middle to Kyle Pitts for 49 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,1.780,7.000
2,7:19,,,TAM 15,14,14,Younghoe Koo kicks extra point good,0.000,0.000
2,7:19,,,ATL 35,14,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,7:19,1,10,TAM 30,14,14,Baker Mayfield pass complete short right to Jalen McMillan for no gain (tackle by Clark Phillips). Penalty on Payne Durham: Unnecessary Roughness / Offense 15 yards (accepted) (no play),0.940,-0.500
2,7:00,1,25,TAM 15,14,14,Baker Mayfield pass complete short left to Cade Otton for 9 yards (tackle by Kaden Elliss),-0.500,-0.420
2,6:21,2,16,TAM 24,14,14,Baker Mayfield pass complete short middle to Sterling Shepard for 9 yards (tackle by Nathan Landman),-0.420,0.100
2,5:40,3,7,TAM 33,14,14,Baker Mayfield pass incomplete deep middle intended for Jalen McMillan,0.100,-1.180
2,5:36,4,7,TAM 33,14,14,Trenton Gill punts 42 yards returned by Avery Williams for 14 yards (tackle by Anthony Nelson),-1.180,-1.530
2,5:28,1,10,ATL 39,14,14,Kirk Cousins pass complete short right to Drake London for 13 yards (tackle by K.J. Britt and Antoine Winfield),1.530,2.390
2,4:55,1,10,TAM 48,14,14,Kirk Cousins pass complete short left to Bijan Robinson for 6 yards (tackle by Antoine Winfield and Lavonte David),2.390,2.660
2,4:11,2,4,TAM 42,14,14,Bijan Robinson right tackle for 8 yards (tackle by Jordan Whitehead and Antoine Winfield),2.660,3.310
2,3:35,1,10,TAM 34,14,14,Kirk Cousins sacked by C.J. Brewer for -2 yards,3.310,2.500
2,2:53,2,12,TAM 36,14,14,Kirk Cousins pass complete short middle to Bijan Robinson for 6 yards (tackle by K.J. Britt),2.500,2.610
2,2:14,3,6,TAM 30,20,14,Kirk Cousins pass complete deep middle to Darnell Mooney for 30 yards touchdown,2.610,7.000
2,2:09,,,TAM 15,21,14,Younghoe Koo kicks extra point good,0.000,0.000
2,2:09,,,ATL 35,21,14,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,2:09,1,10,TAM 30,21,14,Baker Mayfield pass incomplete short left intended for Sterling Shepard (defended by David Onyemata),0.940,0.390
2,2:05,2,10,TAM 30,21,14,Rachaad White right end for 4 yards (tackle by JD Bertrand and Grady Jarrett),0.390,0.230
2,2:00,3,6,TAM 34,21,14,Baker Mayfield pass complete deep right to Trey Palmer for 25 yards (tackle by Richie Grant),0.230,2.850
2,1:47,,,,,,Timeout #1 by Atlanta Falcons,,
2,1:47,1,10,ATL 41,21,14,Baker Mayfield pass incomplete deep right intended for Jalen McMillan,2.850,2.310
2,1:41,2,10,ATL 41,21,14,Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Jessie Bates),2.310,1.880
2,1:17,3,8,ATL 39,21,14,Baker Mayfield pass complete short middle to Rachaad White for 5 yards (tackle by DeAundre Alford and Nathan Landman),1.880,1.090
2,1:09,,,,,,Timeout #2 by Atlanta Falcons,,
2,1:09,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,1:09,4,3,ATL 34,21,17,Chase McLaughlin 52 yard field goal good,1.090,3.000
2,1:04,,,TAM 35,21,17,Trenton Gill kicks off 67 yards returned by Ray-Ray McCloud for 32 yards (tackle by Tavierre Thomas and Kaevon Merriweather),0.000,0.940
2,0:58,1,10,ATL 30,21,17,Kirk Cousins pass complete short left to Drake London for 7 yards (tackle by Christian Izien),0.940,1.340
2,0:53,2,3,ATL 37,21,17,Kirk Cousins pass incomplete short right intended for Kyle Pitts,1.340,0.630
2,0:49,3,3,ATL 37,21,17,Kirk Cousins pass complete short middle to Kyle Pitts for 4 yards (tackle by K.J. Britt),0.630,1.660
2,0:30,1,10,ATL 41,21,17,Kirk Cousins pass complete short left to Bijan Robinson for 10 yards (tackle by Antoine Winfield),1.660,2.320
2,0:24,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
