Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
2,10:16,1,10,BUF 42,0,7,Aaron Rodgers pass complete short left to Garrett Wilson for 28 yards (tackle by Cole Bishop),2.790,4.650
2,9:33,1,10,BUF 14,0,7,Breece Hall up the middle for 2 yards (tackle by Matt Milano),4.650,4.330
2,8:54,2,8,BUF 12,0,7,Aaron Rodgers pass short right (defended by Gregory Rousseau) intended for Davante Adams is intercepted by Jordan Phillips at BUF-15 and returned for 2 yards (tackle by Alijah Vera-Tucker),4.330,0.060
2,8:47,1,10,BUF 17,0,7,James Cook right tackle for 6 yards (tackle by Sauce Gardner),-0.060,0.350
2,8:07,2,4,BUF 23,0,7,James Cook right guard for 8 yards (tackle by Eric Watts and Jamien Sherwood),0.350,1.000
2,7:30,1,10,BUF 31,0,7,James Cook left guard for 8 yards (tackle by Tony Adams),1.000,1.540
2,7:06,2,2,BUF 39,0,7,James Cook left tackle for 3 yards (tackle by Leonard Taylor),1.540,1.730
2,6:30,1,10,BUF 42,0,7,Josh Allen pass complete short right to Khalil Shakir for 4 yards (tackle by Sauce Gardner),1.730,1.730
2,5:53,2,6,BUF 46,0,7,Josh Allen pass complete short right to Ray Davis for 4 yards (tackle by Quincy Williams and Jamien Sherwood),1.730,1.550
2,5:10,3,2,BUF 50,0,7,Josh Allen pass complete short right to Keon Coleman for 5 yards (tackle by Haason Reddick),1.550,2.590
2,4:26,1,10,NYJ 45,0,7,James Cook left end for 1 yard (tackle by Quincy Williams),2.590,2.180
2,3:40,2,9,NYJ 44,0,7,Josh Allen pass incomplete short right intended for Khalil Shakir. Penalty on David Edwards: Ineligible Downfield Pass 5 yards (declined),2.180,1.490
2,3:35,3,9,NYJ 44,0,7,Josh Allen pass incomplete deep right intended for Keon Coleman,1.490,0.330
2,3:25,4,9,NYJ 44,0,7,Sam Martin punts 39 yards out of bounds,0.330,0.380
2,3:16,1,10,NYJ 5,0,7,Penalty on Tyler Conklin: False Start 2 yards (accepted) (no play),-0.380,-0.460
2,3:16,1,12,NYJ 3,0,7,Braelon Allen up the middle for -1 yards (tackle by Dawuane Smoot),-0.460,-1.000
2,2:34,2,13,NYJ 2,0,9,Aaron Rodgers sacked by A.J. Epenesa for -2 yards safety.,-1.000,-2.000
2,2:31,,,NYJ 20,0,9,Thomas Morstead kicks off 64 yards returned by Ty Johnson for 16 yards (tackle by Isaiah Davis),0.000,1.070
2,2:24,1,10,BUF 32,0,9,James Cook right guard for 8 yards (tackle by Chuck Clark and Jamien Sherwood),1.070,1.610
2,2:00,2,2,BUF 40,0,9,Ty Johnson right guard for 5 yards (tackle by Micheal Clemons),1.610,1.930
2,1:40,1,10,BUF 45,0,9,Josh Allen pass complete short right to Amari Cooper for no gain (tackle by Quincy Williams). Penalty on Amari Cooper: Offensive Pass Interference 10 yards (accepted) (no play),1.930,1.270
2,1:31,1,20,BUF 35,0,9,Josh Allen pass complete short middle to Amari Cooper for 17 yards (tackle by D.J. Reed),1.270,2.330
2,1:09,2,3,NYJ 48,0,9,Ty Johnson right tackle for 2 yards (tackle by Haason Reddick),2.330,1.880
2,1:02,,,,,,Timeout #1 by Buffalo Bills,,
2,1:02,3,1,NYJ 46,0,9,Josh Allen left guard for 2 yards (tackle by Jamien Sherwood and Quinnen Williams),1.880,2.650
2,0:40,1,10,NYJ 44,0,9,Josh Allen pass incomplete short right intended for Keon Coleman. Penalty on Quinnen Williams: Unnecessary Roughness / Defense 15 yards (accepted) . Penalty on Will McDonald: Defensive Offside 5 yards (declined) (no play),2.650,3.640
2,0:35,1,10,NYJ 29,0,9,Josh Allen pass incomplete short middle intended for Khalil Shakir (defended by Jamien Sherwood),3.640,3.100
2,0:29,2,10,NYJ 29,0,9,Josh Allen pass incomplete short left,3.100,2.410
2,0:24,3,10,NYJ 29,0,9,Josh Allen pass complete short left to Keon Coleman for 8 yards (tackle by Jamien Sherwood),2.410,2.180
2,0:02,,,,,,Timeout #2 by Buffalo Bills,,
2,0:02,,,,,,Timeout #1 by New York Jets,,
2,0:02,4,2,NYJ 21,0,12,Tyler Bass 39 yard field goal good,2.180,3.000
3,15:00,,,BUF 35,0,12,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NYJ 30,0,12,Breece Hall up the middle for 1 yard (tackle by A.J. Epenesa and Terrel Bernard),0.940,0.530
3,14:28,2,9,NYJ 31,0,12,Aaron Rodgers pass incomplete short middle intended for Davante Adams,0.530,-0.160
3,14:23,3,9,NYJ 31,0,12,Aaron Rodgers pass incomplete short left intended for Davante Adams. Penalty on Cole Bishop: Illegal Contact 5 yards (accepted) (no play),-0.160,1.330
3,14:17,1,10,NYJ 36,0,12,Aaron Rodgers pass complete short right to Davante Adams for 22 yards (tackle by Taylor Rapp),1.330,2.790
