Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
2,9:31,2,14,LAC 50,10,0,Drake Maye pass complete short middle to Rhamondre Stevenson for no gain (tackle by Daiyan Henley). Penalty on Vederian Lowe: Illegal Use of Hands / Offense 10 yards (accepted) (no play),1.440,0.090
2,9:03,2,24,NWE 40,10,0,Drake Maye pass incomplete short right intended for Kayshon Boutte. Penalty on Kristian Fulton: Defensive Pass Interference 8 yards (accepted) (no play),0.090,2.130
2,9:03,1,10,NWE 48,10,0,Drake Maye pass complete short left to Kayshon Boutte for 7 yards (tackle by Tarheeb Still),2.130,2.530
2,8:37,2,3,LAC 45,10,0,Drake Maye aborted snap recovered by Derwin James at NE-44,2.530,-2.650
2,8:35,1,10,NWE 44,10,0,J.K. Dobbins left end for 3 yards (tackle by Jahlani Tavai),2.650,2.520
2,7:56,2,7,NWE 41,10,0,Justin Herbert pass complete short left to Will Dissly for 7 yards (tackle by Christian Elliss and Jahlani Tavai),2.520,3.310
2,7:17,1,10,NWE 34,10,0,Derius Davis right end for -3 yards (tackle by Isaiah Bolden),3.310,2.370
2,6:31,2,13,NWE 37,10,0,Justin Herbert pass complete short middle to Ladd McConkey for 10 yards (tackle by Alex Austin),2.370,3.010
2,5:48,3,3,NWE 27,10,0,Hassan Haskins right end for 8 yards (tackle by Kyle Dugger),3.010,4.310
2,5:06,1,10,NWE 19,10,0,Justin Herbert pass complete short right to J.K. Dobbins for 7 yards (tackle by Davon Godchaux),4.310,4.920
2,4:22,2,3,NWE 12,10,0,Hassan Haskins right guard for 2 yards (tackle by Eric Johnson and Davon Godchaux),4.920,4.690
2,3:42,3,1,NWE 10,10,0,Hassan Haskins up the middle for 4 yards (tackle by Sione Takitaki),4.690,5.830
2,3:00,1,6,NWE 6,16,0,Justin Herbert pass complete short middle to Ladd McConkey for 6 yards touchdown,5.830,7.000
2,2:55,,,NWE 15,17,0,Cameron Dicker kicks extra point good,0.000,0.000
2,2:55,,,LAC 35,17,0,Cameron Dicker kicks off 63 yards returned by Alex Erickson for 25 yards (tackle by Kendall Williamson),0.000,0.740
2,2:47,1,10,NWE 27,17,0,Antonio Gibson up the middle for 3 yards (tackle by Teair Tart and Elijah Molden),0.740,0.600
2,2:15,2,7,NWE 30,17,0,Drake Maye pass complete short middle to Kendrick Bourne for 18 yards (tackle by Tarheeb Still),0.600,2.130
2,2:00,1,10,NWE 48,17,0,Drake Maye pass complete short left to Kendrick Bourne for 4 yards (tackle by Kristian Fulton),2.130,2.120
2,1:56,2,6,LAC 48,17,0,Drake Maye scrambles up the middle for 12 yards (tackle by Elijah Molden),2.120,3.180
2,1:31,1,10,LAC 36,17,6,Drake Maye pass complete deep middle to Demario Douglas for 36 yards touchdown. Penalty on Bud Dupree: Defensive Offside 5 yards (declined),3.180,7.000
2,1:24,,,LAC 15,17,7,Joey Slye kicks extra point good,0.000,0.000
2,1:24,,,NWE 35,17,7,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,1:24,1,10,LAC 30,17,7,Justin Herbert pass complete short right to Ladd McConkey for 4 yards (tackle by Isaiah Bolden),0.940,0.930
2,1:01,2,6,LAC 34,17,7,Justin Herbert pass complete short middle to Josh Palmer for 15 yards (tackle by Isaiah Bolden and Kyle Dugger),0.930,2.190
2,0:42,1,10,LAC 49,17,7,Justin Herbert pass incomplete deep right intended for Kimani Vidal,2.190,1.650
2,0:32,2,10,LAC 49,17,7,Justin Herbert scrambles up the middle for 7 yards (tackle by Christian Elliss),1.650,1.880
2,0:28,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:28,3,3,NWE 44,17,7,Justin Herbert pass incomplete deep left intended for Josh Palmer,1.880,0.330
2,0:23,4,3,NWE 44,17,7,Justin Herbert pass complete short middle to Stone Smartt for 9 yards (tackle by Christian Elliss),0.330,3.250
2,0:17,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:17,1,10,NWE 35,17,7,Justin Herbert pass incomplete short right. Penalty on Yannick Ngakoue: Roughing the Passer 15 yards (accepted) (no play),3.250,4.240
2,0:11,,,,,,Timeout #1 by New England Patriots,,
2,0:11,1,10,NWE 20,17,7,Justin Herbert pass incomplete deep right intended for Quentin Johnston,4.240,3.690
2,0:06,2,10,NWE 20,20,7,Cameron Dicker 38 yard field goal good,3.690,3.000
2,0:02,,,LAC 35,20,7,Cameron Dicker kicks off 62 yards returned by Antonio Gibson for 17 yards (tackle by Kendall Williamson and Shaquille Quarterman). Penalty on Jamycal Hasty: Offensive Illegal Block Above the Waist (accepted),0.000,1.270
3,15:00,,,LAC 35,20,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NWE 30,20,7,Drake Maye pass complete short right to Rhamondre Stevenson for no gain (tackle by Daiyan Henley). Penalty on Hunter Henry: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
3,14:43,1,20,NWE 20,20,7,Drake Maye pass complete short left to Kayshon Boutte for 9 yards (tackle by Kristian Fulton),0.280,0.260
3,14:04,2,11,NWE 29,20,7,Drake Maye scrambles right end for 2 yards (tackle by Troy Dye),0.260,-0.160
3,13:23,3,9,NWE 31,20,7,Drake Maye pass incomplete short middle intended for Kendrick Bourne,-0.160,-1.310
3,13:19,4,9,NWE 31,20,7,Bryce Baringer punts 62 yards returned by Derius Davis for 5 yards touchdown. Penalty on Kendall Williamson: Offensive Illegal Block Above the Waist 15 yards (declined) . Penalty on Ja'Sir Taylor: Offensive Holding 6 yards (accepted),-1.310,0.380
3,12:57,1,10,LAC 6,20,7,J.K. Dobbins right guard for 5 yards (tackle by Jahlani Tavai),-0.380,-0.420
3,12:16,2,5,LAC 11,20,7,Justin Herbert pass incomplete short right intended for Will Dissly,-0.420,-0.840
3,12:10,3,5,LAC 11,20,7,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Jonathan Jones),-0.840,0.040
3,11:49,1,10,LAC 18,20,7,J.K. Dobbins left tackle for 2 yards (tackle by Sione Takitaki and Jeremiah Pharms),0.040,-0.130
3,11:08,2,8,LAC 20,20,7,Justin Herbert pass complete short left to Will Dissly for 14 yards (tackle by Jonathan Jones),-0.130,1.200
3,10:29,1,10,LAC 34,20,7,J.K. Dobbins up the middle for 3 yards (tackle by Jahlani Tavai and Daniel Ekuale),1.200,1.060
3,9:49,2,7,LAC 37,20,7,Justin Herbert pass complete short right to Ladd McConkey for 4 yards (tackle by Marte Mapu),1.060,0.890
3,9:04,3,3,LAC 41,20,7,Justin Herbert pass complete short left to Josh Palmer for 19 yards (tackle by Kyle Dugger),0.890,2.920
3,8:23,1,10,NWE 40,20,7,Hassan Haskins up the middle for no gain (tackle by Daniel Ekuale),2.920,2.370
3,7:43,2,10,NWE 40,26,7,Justin Herbert pass complete deep right to Ladd McConkey for 40 yards touchdown,2.370,7.000
3,7:37,,,NWE 15,27,7,Cameron Dicker kicks extra point good,0.000,0.000
