Quarter,Time,Down,ToGo,Location,CAR,TAM,Detail,EPB,EPA
1,8:15,,,TAM 15,7,7,Eddy Piñeiro kicks extra point good,0.000,0.000
1,8:15,,,CAR 35,7,7,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.280
1,8:15,1,10,TAM 20,7,7,Baker Mayfield pass complete deep middle to Mike Evans for 20 yards (tackle by Xavier Woods),0.280,1.600
1,7:38,1,10,TAM 40,7,7,Bucky Irving right tackle for 4 yards (tackle by Shy Tuttle and Dane Jackson),1.600,1.590
1,6:57,2,6,TAM 44,7,7,Bucky Irving left end for 5 yards (tackle by Dane Jackson),1.590,1.550
1,6:46,3,1,TAM 49,7,7,Bucky Irving right tackle for 3 yards (tackle by Jacoby Windmon),1.550,2.390
1,6:09,1,10,CAR 48,7,7,Baker Mayfield pass complete deep right to Devin Culp for 26 yards (tackle by Demani Richardson). Penalty on DJ Johnson: Illegal Use of Hands / Defense 5 yards (declined),2.390,4.110
1,5:38,1,10,CAR 22,7,7,Bucky Irving left guard for -4 yards (tackle by Michael Jackson),4.110,3.020
1,4:59,2,14,CAR 26,7,7,Rachaad White right end for 7 yards (tackle by Dane Jackson and Demani Richardson),3.020,3.260
1,4:15,3,7,CAR 19,7,7,Baker Mayfield pass complete short middle to Devin Culp for 17 yards (tackle by Xavier Woods and D.J. Wonnum),3.260,6.740
1,3:29,1,2,CAR 2,7,7,Bucky Irving up the middle for no gain (tackle by Chandler Wooten),6.740,5.720
1,2:41,2,2,CAR 2,7,7,Bucky Irving left guard for -1 yards (tackle by DJ Johnson and Xavier Woods),5.720,4.720
1,2:00,3,3,CAR 3,7,7,Baker Mayfield sacked by and Jacoby Windmon for -2 yards and Jaden Crumedy for -2 yards,4.720,3.010
1,1:16,4,5,CAR 5,7,10,Chase McLaughlin 23 yard field goal good,3.010,3.000
1,1:13,,,TAM 35,7,10,Jack Browning kicks off 65 yards touchback.,0.000,0.940
1,1:13,1,10,CAR 30,7,10,Bryce Young scrambles left end for 1 yard (tackle by YaYa Diaby),0.940,0.530
1,0:29,2,9,CAR 31,7,10,Bryce Young pass incomplete short left intended for Xavier Legette (defended by Jamel Dean),0.530,-0.160
1,0:25,3,9,CAR 31,7,10,Bryce Young sacked by Calijah Kancey for -10 yards,-0.160,-1.960
2,15:00,4,19,CAR 21,7,10,Johnny Hekker punts 40 yards downed by Jacoby Windmon,-1.960,-1.530
2,14:51,1,10,TAM 39,7,10,Bucky Irving up the middle for 3 yards (tackle by Chandler Wooten),1.530,1.390
