Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
2,11:07,1,10,ATL 12,7,7,Jayden Daniels right end for no gain (tackle by Demone Harris and DeAundre Alford). Penalty on Tyler Biadasz: Offensive Holding 10 yards (accepted) (no play),4.780,4.110
2,10:46,1,20,ATL 22,7,7,Jayden Daniels pass short middle intended for Jamison Crowder is intercepted by Kaden Elliss at ATL-16 and returned for 12 yards (tackle by Jamison Crowder and Tyler Biadasz),4.110,-0.810
2,10:37,1,10,ATL 28,7,7,Tyler Allgeier right guard for 8 yards (tackle by Bobby Wagner and Quan Martin),0.810,1.340
2,10:02,2,2,ATL 36,7,7,Tyler Allgeier right end for 5 yards (tackle by Noah Igbinoghene and Jeremy Chinn),1.340,1.660
2,9:18,1,10,ATL 41,7,7,Michael Penix pass incomplete deep left intended for KhaDarel Hodge,1.660,1.120
2,9:10,2,10,ATL 41,7,7,Michael Penix pass complete short left to Drake London for 14 yards (tackle by Quan Martin),1.120,2.590
2,8:30,1,10,WAS 45,7,7,Bijan Robinson right guard for 5 yards (tackle by Jer'Zhan Newton),2.590,2.720
2,7:47,2,5,WAS 40,7,7,Bijan Robinson left guard for 12 yards (tackle by Benjamin St-Juste),2.720,3.710
2,7:02,1,10,WAS 28,7,7,Tyler Allgeier right end for 6 yards (tackle by Daron Payne),3.710,3.980
2,6:22,2,4,WAS 22,7,7,Michael Penix pass incomplete short right intended for KhaDarel Hodge. Penalty on Dante Fowler: Roughing the Passer 10 yards (accepted) (no play),3.980,4.780
2,6:17,1,10,WAS 12,7,7,Bijan Robinson right end for 8 yards (tackle by Benjamin St-Juste),4.780,5.600
2,5:33,2,2,WAS 4,7,7,Bijan Robinson right end for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Bijan Robinson right end for 3 yards (tackle by Benjamin St-Juste),5.600,6.970
2,5:10,1,1,WAS 1,7,7,Michael Penix left guard for no gain (tackle by Clelin Ferrell and Bobby Wagner),6.970,5.910
2,4:27,2,1,WAS 1,13,7,Bijan Robinson right end for 1 yard touchdown,5.910,7.000
2,4:24,,,WAS 15,14,7,Riley Patterson kicks extra point good,0.000,0.000
2,4:24,,,ATL 35,14,7,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
2,4:24,1,10,WAS 30,14,7,Jayden Daniels left end for 25 yards (tackle by Kaden Elliss),0.940,2.590
2,3:53,1,10,ATL 45,14,7,Brian Robinson left end for no gain (tackle by David Onyemata). Penalty on Brandon Coleman: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
