Quarter,Time,Down,ToGo,Location,DET,SFO,Detail,EPB,EPA
1,1:58,3,4,SFO 41,6,7,Brock Purdy pass complete short left to Ricky Pearsall for 14 yards,0.830,2.590
1,1:22,1,10,DET 45,6,7,Isaac Guerendo right tackle for 11 yards (tackle by Kerby Joseph and Jack Campbell),2.590,3.310
1,0:41,1,10,DET 34,6,7,Brock Purdy pass complete short middle to George Kittle for 20 yards (tackle by Terrion Arnold),3.310,4.650
1,0:06,1,10,DET 14,6,7,Penalty on D.J. Reader: Encroachment 5 yards (accepted) (no play),4.650,5.800
2,15:00,1,5,DET 9,6,13,Brock Purdy pass complete short left to Kyle Juszczyk for 9 yards touchdown,5.800,7.000
2,14:53,,,DET 15,6,14,Jake Moody kicks extra point good,0.000,0.000
2,14:53,,,SFO 35,6,14,Jake Moody kicks off 65 yards touchback.. Penalty on Morice Norris: Illegal Formation 5 yards (accepted),0.000,0.610
2,14:53,1,10,DET 25,6,14,Jared Goff pass complete short right to Sam LaPorta for 1 yard (tackle by Malik Mustapha),0.610,0.200
2,14:20,2,9,DET 26,6,14,Jahmyr Gibbs up the middle for 6 yards (tackle by Dee Winters),0.200,0.300
2,13:45,3,3,DET 32,6,14,Jared Goff pass complete short middle to Sam LaPorta for 6 yards (tackle by Fred Warner and Deommodore Lenoir),0.300,1.470
2,13:02,1,10,DET 38,6,14,Jahmyr Gibbs right tackle for 7 yards (tackle by Maliek Collins),1.470,1.870
2,12:26,2,3,DET 45,6,14,Jahmyr Gibbs left guard for 15 yards (tackle by Talanoa Hufanga),1.870,2.920
2,11:57,1,10,SFO 40,6,14,Jared Goff pass complete short left to Sam LaPorta for no gain (tackle by Deommodore Lenoir and Dee Winters). Penalty on Penei Sewell: Offensive Holding 10 yards (accepted) (no play),2.920,2.260
2,11:33,1,20,SFO 50,6,14,Jared Goff sacked by Nick Bosa for -3 yards,2.260,0.620
2,10:58,2,23,DET 47,6,14,Jared Goff pass complete short right to Jahmyr Gibbs for 11 yards (tackle by Fred Warner),0.620,1.420
2,10:17,3,12,SFO 42,12,14,Jared Goff pass complete short right to Amon-Ra St. Brown for 1 yard lateral to Jameson Williams for 41 yards touchdown,1.420,7.000
2,10:09,,,SFO 15,13,14,Jake Bates kicks extra point good,0.000,0.000
2,10:09,,,DET 35,13,14,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,10:09,1,10,SFO 30,13,14,Brock Purdy pass complete short left to Jauan Jennings for 9 yards (tackle by Ben Niemann),0.940,1.610
2,9:38,2,1,SFO 39,13,14,Isaac Guerendo up the middle for 9 yards (tackle by Ben Niemann and Brian Branch),1.610,2.130
2,9:00,1,10,SFO 48,13,14,Isaac Guerendo right tackle for 1 yard (tackle by Pat O'Connor and Jack Campbell),2.130,1.720
2,8:24,2,9,SFO 49,13,14,Ricky Pearsall left end for 2 yards (tackle by Ifeatu Melifonwu),1.720,1.290
2,7:47,3,7,DET 49,13,14,Brock Purdy pass complete deep right to Ricky Pearsall for 40 yards (tackle by Terrion Arnold),1.290,5.140
2,7:02,1,9,DET 9,13,14,Isaac Guerendo left end for no gain (tackle by Ben Niemann and Jack Campbell),5.140,4.380
2,6:20,2,9,DET 9,13,20,Brock Purdy scrambles up the middle for 9 yards touchdown,4.380,7.000
2,6:13,,,DET 15,13,21,Jake Moody kicks extra point good,0.000,0.000
2,6:13,,,SFO 35,13,21,Jake Moody kicks off 65 yards touchback.,0.000,0.940
2,6:13,1,10,DET 30,13,21,Jahmyr Gibbs up the middle for -2 yards (tackle by Yetur Gross-Matos),0.940,0.120
2,5:39,2,12,DET 28,13,21,Jared Goff pass complete short right to Jahmyr Gibbs for 19 yards (tackle by Ji'Ayir Brown),0.120,2.060
2,5:05,1,10,DET 47,13,21,Jared Goff pass incomplete short right,2.060,1.520
2,4:59,2,10,DET 47,13,21,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Deommodore Lenoir),1.520,1.750
2,4:25,3,3,SFO 46,13,21,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Dee Winters),1.750,2.790
2,3:50,1,10,SFO 42,13,21,Craig Reynolds right guard for 9 yards (tackle by Dee Winters and Renardo Green),2.790,3.460
2,3:10,2,1,SFO 33,13,21,Craig Reynolds left guard for 4 yards (tackle by Fred Warner),3.460,3.640
2,2:27,1,10,SFO 29,13,21,Jared Goff pass complete short left to Amon-Ra St. Brown for 14 yards (tackle by Isaac Yiadom),3.640,4.580
2,2:00,1,10,SFO 15,13,21,Jahmyr Gibbs up the middle for no gain (tackle by Dee Winters),4.580,3.950
2,1:30,2,10,SFO 15,13,21,Jared Goff pass complete short right to Amon-Ra St. Brown for 5 yards (tackle by Fred Warner and Nick Bosa),3.950,4.000
2,1:24,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:24,3,5,SFO 10,13,21,Jahmyr Gibbs right tackle for 2 yards (tackle by Dee Winters and Renardo Green),4.000,2.980
2,1:18,,,,,,Timeout #2 by San Francisco 49ers,,
2,1:18,4,3,SFO 8,13,21,Jared Goff pass incomplete short right intended for Sam LaPorta (defended by Renardo Green),2.980,0.380
2,1:13,1,10,SFO 8,13,21,Brock Purdy pass incomplete deep right,-0.380,-0.780
2,1:04,2,10,SFO 8,13,21,Brock Purdy pass complete deep left to Isaac Guerendo for 40 yards (tackle by Jalen Reeves-Maybin),-0.780,2.130
2,0:35,1,10,SFO 48,13,21,Brock Purdy pass complete short left to Isaac Guerendo for 8 yards (tackle by Josh Paschal),2.130,2.660
2,0:33,2,2,DET 44,13,21,Brock Purdy pass complete short left to Ricky Pearsall for 6 yards (tackle by Terrion Arnold),2.660,3.050
2,0:28,1,10,DET 38,13,21,Brock Purdy pass complete short right to Jauan Jennings for 8 yards. Jauan Jennings fumbles ball out of bounds at DET-30 (forced by Amik Robertson). Jauan Jennings fumbles out of bounds,3.050,3.590
2,0:21,2,2,DET 30,13,21,Brock Purdy spiked the ball,3.590,2.870
2,0:20,3,2,DET 30,13,21,Brock Purdy pass complete short left to George Kittle for no gain (tackle by Amik Robertson). Penalty on Jacob Cowing: Offensive Pass Interference 10 yards (accepted) (no play),2.870,1.550
2,0:11,3,12,DET 40,13,21,Brock Purdy pass complete short right to George Kittle for 7 yards (tackle by Ifeatu Melifonwu),1.550,1.170
2,0:07,4,5,DET 33,13,21,Jake Moody 51 yard field goal no good,1.170,-1.660
2,0:02,1,10,DET 41,13,21,Jared Goff kneels for -1 yards,1.660,0.990
3,15:00,,,SFO 35,13,21,Jake Moody kicks off 65 yards returned by Tom Kennedy for 34 yards (tackle by Demetrius Flannigan-Fowles and Brayden Willis),0.000,1.200
3,14:55,1,10,DET 34,13,21,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Isaac Yiadom),1.200,2.060
3,14:25,1,10,DET 47,13,21,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Deommodore Lenoir),2.060,2.330
3,13:50,2,4,SFO 47,13,21,Jahmyr Gibbs right tackle for -1 yards (tackle by Nick Bosa),2.330,1.490
3,13:12,3,5,SFO 48,13,21,Jared Goff pass complete short middle to Jameson Williams for 12 yards (tackle by Renardo Green),1.490,3.180
3,12:34,1,10,SFO 36,13,21,Jahmyr Gibbs right end for -1 yards (tackle by Nick Bosa),3.180,2.500
3,11:55,2,11,SFO 37,13,21,Jahmyr Gibbs left guard for 6 yards (tackle by Sam Okuayinonu),2.500,2.610
3,11:17,3,5,SFO 31,13,21,Jared Goff pass complete deep left to Allen Robinson for 21 yards (tackle by Isaac Yiadom),2.610,4.910
3,10:48,1,10,SFO 10,13,21,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,4.910,4.190
3,10:42,2,10,SFO 10,13,21,Jahmyr Gibbs up the middle for 4 yards (tackle by Isaac Yiadom),4.190,4.040
3,10:02,3,6,SFO 6,19,21,Jared Goff pass complete short middle to Sam LaPorta for 6 yards touchdown,4.040,7.000
3,9:58,,,SFO 2,21,21,Two Point Attempt: Jared Goff pass complete to to Tim Patrick for no gain,1.000,1.000
3,9:58,,,DET 35,21,21,Jake Bates kicks off 65 yards returned by Deebo Samuel for 26 yards (tackle by Sione Vaki). Penalty on Brayden Willis: Offensive Holding 10 yards (accepted),0.000,-0.140
3,9:52,1,10,SFO 16,21,21,Brock Purdy pass complete short middle to Jauan Jennings for 13 yards (tackle by Kerby Joseph),-0.140,0.870
3,9:18,1,10,SFO 29,21,21,Isaac Guerendo right guard for 5 yards (tackle by Jack Campbell),0.870,1.000
3,8:54,2,5,SFO 34,21,21,Brock Purdy pass complete deep middle to Ricky Pearsall for 39 yards (tackle by Kerby Joseph),1.000,3.780
3,8:23,1,10,DET 27,21,21,Brock Purdy pass complete short left to George Kittle for 22 yards (tackle by Brian Branch),3.780,6.060
3,7:52,1,5,DET 5,21,21,Brock Purdy pass incomplete short right,6.060,5.150
3,7:44,2,5,DET 5,21,27,Brock Purdy pass complete short middle to Deebo Samuel for 5 yards touchdown,5.150,7.000
3,7:40,,,DET 15,21,28,Jake Moody kicks extra point good,0.000,0.000
3,7:40,,,SFO 35,21,28,Jake Moody kicks off 60 yards returned by Tom Kennedy for 25 yards (tackle by Tatum Bethune),0.000,0.940
3,7:34,1,10,DET 30,21,28,Jared Goff pass complete short right to Jahmyr Gibbs for 9 yards (tackle by Demetrius Flannigan-Fowles),0.940,1.610
3,6:54,2,1,DET 39,21,28,Jared Goff pass complete deep middle to Sam LaPorta for 28 yards (tackle by Talanoa Hufanga),1.610,3.380
3,6:25,1,10,SFO 33,21,28,Craig Reynolds up the middle for 2 yards (tackle by Alex Barrett),3.380,3.110
3,5:49,2,8,SFO 31,21,28,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Deommodore Lenoir and Jalen Graham),3.110,3.070
3,5:13,3,3,SFO 26,21,28,Jared Goff sacked by Nick Bosa for -13 yards,3.070,0.660
3,4:31,4,16,SFO 39,24,28,Jake Bates 57 yard field goal good,0.660,3.000
3,4:25,,,DET 35,24,28,Jake Bates kicks off 69 yards returned by Deebo Samuel for 37 yards (tackle by Craig Reynolds),0.000,1.140
3,4:19,1,10,SFO 33,24,28,Brock Purdy pass deep left is intercepted by Kerby Joseph at DET-39 and returned for no gain. Penalty on Brian Branch: Defensive Pass Interference 17 yards (accepted) (no play),1.140,2.260
3,4:11,1,10,SFO 50,24,28,Brock Purdy pass deep middle intended for Ricky Pearsall is intercepted by Kerby Joseph at DET-31 and returned for 26 yards (tackle by Charlie Heck),2.260,-2.720
3,3:58,1,10,SFO 43,24,28,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Deommodore Lenoir),2.720,3.260
3,3:27,2,2,SFO 35,24,28,Jared Goff pass complete short right to Craig Reynolds for 9 yards (tackle by Sam Okuayinonu),3.260,3.840
3,2:44,1,10,SFO 26,24,28,Craig Reynolds left guard for 6 yards (tackle by Talanoa Hufanga and Isaac Yiadom),3.840,4.110
3,1:58,2,4,SFO 20,24,28,Jared Goff pass complete short middle to Amon-Ra St. Brown for 13 yards (tackle by Malik Mustapha),4.110,5.600
3,1:16,1,7,SFO 7,24,28,Jermar Jefferson left end for 3 yards (tackle by Deommodore Lenoir and Dee Winters),5.600,5.340
