Quarter,Time,Down,ToGo,Location,LVR,NOR,Detail,EPB,EPA
2,6:08,2,16,LVR 46,6,7,Spencer Rattler pass complete short left to Cedrick Wilson for 6 yards (tackle by Decamerion Richardson),1.560,1.680
2,5:51,3,10,LVR 40,6,7,Spencer Rattler pass complete deep left to Juwan Johnson for no gain (tackle by Robert Spillane). Penalty on Taliese Fuaga: Offensive Holding 10 yards (accepted) (no play),1.680,0.370
2,5:18,3,20,LVR 50,6,7,Spencer Rattler pass complete short right to Clyde Edwards-Helaire for 8 yards (tackle by Adam Butler and Thomas Harper),0.370,0.460
2,4:36,4,12,LVR 42,6,7,Matthew Hayball punts 41 yards downed by Payton Turner,0.460,0.380
2,4:21,1,10,LVR 5,6,7,Ameer Abdullah up the middle for no gain (tackle by Demario Davis). Penalty on Michael Mayer: Offensive Holding 2 yards (accepted) (no play),-0.380,-0.460
2,3:51,1,12,LVR 3,6,7,Aidan O'Connell pass incomplete deep left intended for Tre Tucker,-0.460,-0.930
2,3:46,2,12,LVR 3,6,7,Ameer Abdullah up the middle for 17 yards (tackle by Will Harris),-0.930,0.280
2,3:04,1,10,LVR 20,6,7,Aidan O'Connell pass complete short left to Brock Bowers for 13 yards (tackle by Kool-Aid McKinstry),0.280,1.140
2,2:20,1,10,LVR 33,6,7,Aidan O'Connell pass incomplete short left intended for Alexander Mattison,1.140,0.590
2,2:14,2,10,LVR 33,6,7,Alexander Mattison up the middle for 5 yards (tackle by Cameron Jordan),0.590,0.560
2,2:00,3,5,LVR 38,6,7,Aidan O'Connell pass complete deep left to Jakobi Meyers for 29 yards (tackle by Ugo Amadi),0.560,3.380
2,1:22,1,10,NOR 33,6,7,Aidan O'Connell pass complete short middle to Brock Bowers for 17 yards (tackle by Will Harris),3.380,4.510
2,1:10,,,,,,Timeout #1 by New Orleans Saints,,
2,1:10,1,10,NOR 16,6,7,Ameer Abdullah left tackle for 13 yards (tackle by Ugo Amadi and Pete Werner),4.510,6.510
2,1:01,,,,,,Timeout #2 by New Orleans Saints,,
2,1:01,1,3,NOR 3,12,7,Aidan O'Connell pass complete short left to Jakobi Meyers for 3 yards touchdown,6.510,7.000
2,0:57,,,NOR 15,13,7,Daniel Carlson kicks extra point good,0.000,0.000
2,0:57,,,LVR 35,13,7,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
2,0:57,1,10,NOR 30,13,7,Spencer Rattler pass complete short right to Cedrick Wilson for 9 yards (tackle by Jack Jones and Divine Deablo),0.940,1.610
2,0:36,2,1,NOR 39,13,7,Spencer Rattler pass complete short right to Jamaal Williams for 12 yards (tackle by Divine Deablo and Jack Jones),1.610,2.320
2,0:31,,,,,,Timeout #3 by New Orleans Saints,,
2,0:31,1,10,LVR 49,13,7,Spencer Rattler pass complete short right to Foster Moreau for 9 yards (tackle by Isaiah Pola-Mao),2.320,3.000
2,0:24,2,1,LVR 40,13,7,Spencer Rattler pass complete deep left to Kevin Austin for 23 yards (tackle by Decamerion Richardson),3.000,4.440
2,0:18,1,10,LVR 17,13,7,Spencer Rattler pass incomplete short left intended for Jamaal Williams. Penalty on Taliese Fuaga: Illegal Formation 5 yards (accepted) (no play),4.440,4.110
2,0:14,1,15,LVR 22,13,7,Spencer Rattler pass complete short left to Juwan Johnson for 6 yards (tackle by Decamerion Richardson),4.110,4.000
2,0:09,2,9,LVR 16,13,7,Spencer Rattler pass incomplete deep right,4.000,3.190
2,0:03,3,9,LVR 16,13,10,Blake Grupe 34 yard field goal good,3.190,3.000
3,15:00,,,LVR 35,13,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,NOR 30,13,10,Clyde Edwards-Helaire left tackle for 1 yard (tackle by Robert Spillane and Decamerion Richardson),0.940,0.530
3,14:26,2,9,NOR 31,13,10,Spencer Rattler pass complete short right to Juwan Johnson for 10 yards (tackle by Nate Hobbs),0.530,1.660
3,13:50,1,10,NOR 41,13,10,Spencer Rattler pass incomplete short right intended for Kevin Austin (defended by Jack Jones),1.660,1.120
3,13:42,2,10,NOR 41,13,10,Spencer Rattler pass complete short left to Juwan Johnson for 4 yards. Juwan Johnson fumbles (tackle by Isaiah Pola-Mao recovered by Juwan Johnson at NO-45,1.120,0.960
3,13:06,3,6,NOR 45,13,10,Spencer Rattler pass incomplete short middle intended for Juwan Johnson,0.960,-0.390
3,13:00,4,6,NOR 45,13,10,Matthew Hayball punts 40 yards fair catch by Ameer Abdullah at LV-15,-0.390,0.220
3,12:53,1,10,LVR 15,13,10,Ameer Abdullah left tackle for 3 yards (tackle by Pete Werner and Khalen Saunders),-0.220,-0.280
3,12:16,2,7,LVR 18,13,10,Aidan O'Connell pass complete short right to Tre Tucker for 6 yards (tackle by Will Harris),-0.280,-0.270
3,11:36,3,1,LVR 24,13,10,Ameer Abdullah left end for 14 yards (tackle by Khalen Saunders),-0.270,1.470
3,10:56,1,10,LVR 38,13,10,Aidan O'Connell pass incomplete deep left intended for Jakobi Meyers,1.470,0.920
3,10:49,2,10,LVR 38,13,10,Alexander Mattison right end for 1 yard (tackle by Pete Werner),0.920,0.370
3,10:06,3,9,LVR 39,13,10,Aidan O'Connell pass complete short left to Jakobi Meyers for 19 yards (tackle by Ugo Amadi). Penalty on Ugo Amadi: Defensive Pass Interference 15 yards (declined),0.370,2.790
3,9:32,1,10,NOR 42,13,10,Ameer Abdullah left tackle for 5 yards (tackle by Nathan Shepherd),2.790,2.920
3,8:52,2,5,NOR 37,13,10,Aidan O'Connell pass incomplete short left intended for Tre Tucker,2.920,2.210
3,8:46,3,5,NOR 37,13,10,Ameer Abdullah right guard for 1 yard (tackle by Chase Young),2.210,0.890
3,8:03,4,4,NOR 36,16,10,Daniel Carlson 54 yard field goal good,0.890,3.000
3,7:57,,,LVR 35,16,10,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
3,7:57,1,10,NOR 30,16,10,Spencer Rattler pass incomplete deep left intended for Marquez Valdes-Scantling (defended by Decamerion Richardson),0.940,0.390
3,7:50,2,10,NOR 30,16,10,Jamaal Williams right end for 8 yards (tackle by Divine Deablo and Tre'von Moehrig),0.390,0.760
3,7:13,3,2,NOR 38,16,10,Spencer Rattler pass incomplete short middle intended for Foster Moreau (defended by Robert Spillane),0.760,-0.850
3,7:09,4,2,NOR 38,16,10,Matthew Hayball punts 38 yards downed by Payton Turner,-0.850,-0.540
3,6:59,1,10,LVR 24,16,10,Aidan O'Connell pass incomplete short right intended for Terrace Marshall (defended by Alontae Taylor),0.540,0.000
3,6:53,2,10,LVR 24,16,10,Ameer Abdullah up the middle for 5 yards (tackle by Payton Turner and Will Harris),0.000,-0.030
3,6:13,3,5,LVR 29,16,10,Aidan O'Connell pass incomplete short middle intended for Michael Mayer (defended by Tyrann Mathieu),-0.030,-1.440
3,6:06,4,5,LVR 29,16,10,AJ Cole punts 71 yards touchback.,-1.440,-0.280
3,5:55,1,10,NOR 20,16,10,Spencer Rattler pass incomplete short left intended for Adam Prentice,0.280,-0.270
3,5:51,2,10,NOR 20,16,10,Spencer Rattler pass incomplete short right intended for Clyde Edwards-Helaire (defended by Robert Spillane),-0.270,-0.960
3,5:44,3,10,NOR 20,16,10,Spencer Rattler sacked by Robert Spillane for -10 yards,-0.960,-2.490
3,5:01,4,20,NOR 10,16,10,Matthew Hayball punts 55 yards returned by Ameer Abdullah for 4 yards (tackle by Rico Payton and J.T. Gray),-2.490,-1.530
3,4:51,1,10,LVR 39,16,10,Ameer Abdullah right tackle for 8 yards (tackle by Alontae Taylor),1.530,2.070
3,4:13,2,2,LVR 47,16,10,Ameer Abdullah up the middle for 1 yard (tackle by Demario Davis),2.070,1.490
3,3:48,3,1,LVR 48,16,10,Aidan O'Connell right guard for 1 yard (tackle by Pete Werner),1.490,2.190
3,3:10,1,10,LVR 49,16,10,Aidan O'Connell pass incomplete short left intended for Alexander Mattison,2.190,1.650
3,3:00,2,10,LVR 49,16,10,Aidan O'Connell pass complete short middle to Brock Bowers for 11 yards (tackle by Jordan Howden),1.650,2.920
3,2:22,1,10,NOR 40,16,10,Alexander Mattison up the middle for 6 yards (tackle by Demario Davis),2.920,3.180
3,1:41,2,4,NOR 34,16,10,Alexander Mattison up the middle for 5 yards (tackle by Pete Werner),3.180,3.640
