Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
2,9:05,2,17,CHI 2,3,0,Caleb Williams pass complete short right to D.J. Moore for 10 yards (tackle by Josh Jobe),-1.290,-1.070
2,8:22,3,7,CHI 12,3,0,Caleb Williams pass complete short right to D'Andre Swift for 24 yards (tackle by Coby Bryant and Ernest Jones),-1.070,1.330
2,7:53,1,10,CHI 36,3,0,Caleb Williams pass incomplete short middle intended for Keenan Allen (defended by Devon Witherspoon) (no play),1.330,2.060
2,7:47,1,5,CHI 41,3,0,D'Andre Swift left end for 8 yards (tackle by Coby Bryant and Tyrice Knight),2.060,2.190
2,7:19,1,10,CHI 49,3,0,D'Andre Swift left end for 3 yards (tackle by Tyrice Knight and Julian Love),2.190,2.050
2,6:33,2,7,SEA 48,3,0,Caleb Williams sacked by Derick Hall for -2 yards,2.050,1.090
2,5:52,3,9,CHI 50,3,0,Caleb Williams pass complete short right to D.J. Moore for 18 yards (tackle by Coby Bryant),1.090,3.450
2,5:01,1,10,SEA 32,3,0,Roschon Johnson left guard for -1 yards (tackle by Leonard Williams),3.450,2.770
2,4:26,2,11,SEA 33,3,0,Coleman Shelton aborted snap recovered by Caleb Williams at SEA-33 Caleb Williams pass complete short middle to Keenan Allen for 16 yards (tackle by Josh Jobe),2.770,4.440
2,3:39,1,10,SEA 17,3,0,Caleb Williams pass incomplete deep right intended for Gerald Everett. Penalty on D'Andre Swift: Illegal Shift 5 yards (declined),4.440,3.850
2,3:34,2,10,SEA 17,3,0,Caleb Williams pass incomplete deep right intended for Keenan Allen,3.850,3.070
2,3:27,3,10,SEA 17,3,0,Caleb Williams pass complete deep left to Rome Odunze for no gain touchdown. Penalty on Jake Curhan: Offensive Holding 10 yards (accepted) (no play),3.070,1.880
2,3:21,3,20,SEA 27,3,0,Caleb Williams pass complete short middle to D'Andre Swift for 3 yards (tackle by Boye Mafe),1.880,1.870
2,2:37,4,17,SEA 24,3,3,Cairo Santos 42 yard field goal good,1.870,3.000
2,2:32,,,CHI 35,3,3,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
2,2:32,1,10,SEA 30,3,3,Zach Charbonnet left tackle for 9 yards (tackle by Jonathan Owens),0.940,1.610
2,2:18,2,1,SEA 39,3,3,Penalty on D.K. Metcalf: Unnecessary Roughness / Offense 15 yards (accepted) (no play),1.610,-0.420
2,2:00,2,16,SEA 24,3,3,Geno Smith pass complete short middle to Noah Fant for 13 yards (tackle by Tremaine Edmunds),-0.420,0.630
2,1:52,,,,,,Timeout #1 by Chicago Bears,,
2,1:52,3,3,SEA 37,3,3,Geno Smith pass complete short left to Noah Fant for 12 yards (tackle by T.J. Edwards),0.630,2.190
2,1:27,1,10,SEA 49,3,3,Geno Smith pass complete short left to D.K. Metcalf for 14 yards (tackle by Jaylon Johnson and Kyler Gordon),2.190,3.120
2,1:03,1,10,CHI 37,3,3,Geno Smith scrambles right end for 4 yards (tackle by Kyler Gordon),3.120,3.110
2,0:53,,,,,,Timeout #1 by Seattle Seahawks,,
2,0:53,2,6,CHI 33,3,3,Zach Charbonnet right guard for 1 yard (tackle by Chris Williams and Jacob Martin),3.110,2.540
2,0:30,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:30,3,5,CHI 32,3,3,Geno Smith pass incomplete short left intended for Noah Fant (defended by Jacob Martin),2.540,1.260
2,0:26,4,5,CHI 32,6,3,Jason Myers 50 yard field goal good,1.260,3.000
2,0:21,,,SEA 35,6,3,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,0:21,1,10,CHI 30,6,3,D'Andre Swift right guard for 7 yards (tackle by Leonard Williams),0.940,1.340
2,0:15,,,,,,Timeout #2 by Chicago Bears,,
2,0:15,2,3,CHI 37,6,3,Caleb Williams sacked by Leonard Williams for -7 yards,1.340,-0.300
3,15:00,,,SEA 35,6,3,Jason Myers kicks off 65 yards returned by Tyler Scott for 22 yards (tackle by Dareke Young and George Holani),0.000,0.410
3,14:53,1,10,CHI 22,6,3,Caleb Williams sacked by Devon Witherspoon for no gain,0.410,-0.130
3,14:16,2,10,CHI 22,6,3,D'Andre Swift right guard for 8 yards (tackle by Boye Mafe),-0.130,0.230
3,13:35,3,2,CHI 30,6,3,Roschon Johnson left guard for 1 yard (tackle by Julian Love),0.230,-1.310
3,12:54,4,1,CHI 31,6,3,Tory Taylor punts 49 yards fair catch by Jaelon Darden at SEA-20,-1.310,-0.280
3,12:47,1,10,SEA 20,6,3,Geno Smith pass complete short right to Zach Charbonnet for 6 yards (tackle by Kyler Gordon),0.280,0.540
3,12:09,2,4,SEA 26,6,3,Zach Charbonnet left tackle for -1 yards (tackle by DeMarcus Walker and Byron Cowart),0.540,-0.300
3,11:25,3,5,SEA 25,6,3,Geno Smith scrambles right end for 16 yards (tackle by Jaylon Johnson),-0.300,1.660
3,10:41,1,10,SEA 41,6,3,Zach Charbonnet left guard for 2 yards (tackle by T.J. Edwards),1.660,1.390
3,10:03,2,8,SEA 43,6,3,Zach Charbonnet left end for 5 yards (tackle by Jack Sanborn and Darrell Taylor),1.390,1.360
3,9:23,3,3,SEA 48,6,3,Geno Smith sacked by Darrell Taylor for -7 yards. Geno Smith fumbles (forced by Darrell Taylor) recovered by Olusegun Oluwatimi at SEA-41,1.360,-0.650
