Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA
2,9:20,2,6,HOU 47,10,2,C.J. Stroud pass complete short middle to Robert Woods for 16 yards (tackle by Marlon Humphrey),1.790,3.120
2,8:42,1,10,BAL 37,10,2,Joe Mixon right end for -2 yards (tackle by Marlon Humphrey),3.120,2.300
2,7:58,2,12,BAL 39,10,2,C.J. Stroud pass incomplete deep right intended for John Metchie,2.300,1.620
2,7:54,3,12,BAL 39,10,2,C.J. Stroud pass complete short left to John Metchie for 9 yards (tackle by Roquan Smith),1.620,1.480
2,7:17,4,3,BAL 30,10,2,C.J. Stroud pass incomplete deep right intended for Robert Woods. Penalty on Marlon Humphrey: Defensive Pass Interference 20 yards (accepted) (no play),1.480,4.910
2,7:12,1,10,BAL 10,10,2,Joe Mixon left guard for 7 yards (tackle by Travis Jones),4.910,5.530
2,6:27,2,3,BAL 3,10,2,Joe Mixon up the middle for -1 yards (tackle by Roquan Smith and Marlon Humphrey),5.530,4.490
2,5:42,3,4,BAL 4,10,2,C.J. Stroud pass incomplete short middle intended for John Metchie (defended by Marlon Humphrey),4.490,3.030
2,5:39,4,4,BAL 4,10,2,C.J. Stroud pass complete short right to Joe Mixon for 3 yards (tackle by Ar'Darius Washington and Tre'Davious White),3.030,0.380
2,5:31,1,10,BAL 1,10,2,Derrick Henry left tackle for 7 yards (tackle by Henry To'oTo'o),-0.380,-0.270
2,4:57,2,3,BAL 8,10,2,Lamar Jackson pass complete short left to Rashod Bateman for 12 yards (tackle by Kamari Lassiter),-0.270,0.280
2,4:16,1,10,BAL 20,10,2,Lamar Jackson pass complete deep middle to Zay Flowers for no gain (tackle by Derek Stingley). Penalty on Ronnie Stanley: Ineligible Downfield Pass 5 yards (accepted) (no play),0.280,-0.310
2,3:51,1,15,BAL 15,10,2,Derrick Henry up the middle for 5 yards (tackle by Myles Bryant and Tommy Togiai),-0.310,-0.270
2,3:10,2,10,BAL 20,10,2,Lamar Jackson pass complete deep right to Mark Andrews for 67 yards (tackle by Calen Bullock),-0.270,4.710
2,2:16,1,10,HOU 13,10,2,Derrick Henry right tackle for 4 yards (tackle by Danielle Hunter),4.710,4.770
2,2:00,2,6,HOU 9,16,2,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards touchdown,4.770,7.000
2,1:51,,,HOU 15,17,2,Justin Tucker kicks extra point good,0.000,0.000
2,1:51,,,BAL 35,17,2,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
2,1:51,1,10,HOU 30,17,2,C.J. Stroud pass complete deep middle to John Metchie for 19 yards (tackle by Marlon Humphrey),0.940,2.190
2,1:30,1,10,HOU 49,17,2,C.J. Stroud pass complete short right to Xavier Hutchinson for 8 yards (tackle by Nate Wiggins),2.190,2.730
2,1:26,2,2,BAL 43,17,2,C.J. Stroud pass incomplete short middle intended for Nico Collins,2.730,2.010
2,1:22,3,2,BAL 43,17,2,C.J. Stroud pass incomplete short left intended for Dalton Schultz,2.010,0.400
2,1:18,4,2,BAL 43,17,2,Tommy Townsend punts 43 yards touchback.,0.400,-0.280
2,1:11,1,10,BAL 20,17,2,Lamar Jackson pass complete short right to Keaton Mitchell for 28 yards (tackle by Derek Stingley and Henry To'oTo'o),0.280,2.130
2,0:43,1,10,BAL 48,17,2,Lamar Jackson pass incomplete deep left intended for Zay Flowers,2.130,1.580
2,0:39,2,10,BAL 48,17,2,Lamar Jackson pass incomplete deep right intended for Devontez Walker (defended by Will Anderson),1.580,0.890
2,0:34,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:34,3,10,BAL 48,17,2,Lamar Jackson pass incomplete short middle intended for Zay Flowers,0.890,-0.190
2,0:29,4,10,BAL 48,17,2,Jordan Stout punts 37 yards fair catch by Robert Woods at HOU-15,-0.190,0.220
2,0:21,1,10,HOU 15,17,2,C.J. Stroud pass incomplete short right,-0.220,-0.710
2,0:17,,,,,,Timeout #1 by Houston Texans,,
2,0:17,2,10,HOU 15,17,2,Dare Ogunbowale left guard for 9 yards (tackle by Tre'Davious White),-0.710,-0.270
2,0:11,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:11,3,1,HOU 24,17,2,Dare Ogunbowale right guard for 3 yards (tackle by Roquan Smith),-0.270,0.740
3,15:00,,,BAL 35,17,2,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,HOU 30,17,2,C.J. Stroud pass incomplete short middle intended for Joe Mixon,0.940,0.390
3,14:55,2,10,HOU 30,17,2,C.J. Stroud scrambles left end for 7 yards (tackle by Kyle Van Noy),0.390,0.630
3,14:15,3,3,HOU 37,17,2,C.J. Stroud pass deep right intended for Xavier Hutchinson is intercepted by Kyle Hamilton at BAL-39 and returned for no gain (tackle by Xavier Hutchinson),0.630,-1.530
3,14:06,1,10,BAL 39,17,2,Derrick Henry left guard for 13 yards (tackle by Eric Murray and Kamari Lassiter),1.530,2.390
3,13:30,1,10,HOU 48,23,2,Lamar Jackson right end for 48 yards touchdown,2.390,7.000
3,13:22,,,HOU 15,24,2,Justin Tucker kicks extra point good,0.000,0.000
3,13:22,,,BAL 35,24,2,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
3,13:22,1,10,HOU 30,24,2,Joe Mixon up the middle for 2 yards (tackle by Broderick Washington and Michael Pierce),0.940,0.660
3,12:48,2,8,HOU 32,24,2,C.J. Stroud sacked by Chris Board for -9 yards,0.660,-1.220
3,12:06,3,17,HOU 23,24,2,C.J. Stroud pass complete short right to Dalton Schultz for 3 yards (tackle by Brandon Stephens),-1.220,-1.630
3,11:31,4,14,HOU 26,24,2,Tommy Townsend punts 41 yards returned by Steven Sims for 5 yards (tackle by Jamal Hill),-1.630,-1.470
3,11:21,1,10,BAL 38,24,2,Derrick Henry left guard for 6 yards (tackle by Eric Murray),1.470,1.730
3,10:40,2,4,BAL 44,24,2,Derrick Henry up the middle for 1 yard (tackle by Derek Barnett and Neville Hewitt),1.730,1.160
3,9:55,3,3,BAL 45,24,2,Lamar Jackson right end for 8 yards (tackle by Calen Bullock),1.160,2.460
3,9:23,1,10,HOU 47,24,2,Lamar Jackson pass complete short left to Derrick Henry for 4 yards (tackle by Christian Harris). Penalty on Christian Harris: Face Mask (15 Yards) 15 yards (accepted),2.460,3.710
3,9:07,1,10,HOU 28,24,2,Derrick Henry up the middle for 3 yards (tackle by Christian Harris and Danielle Hunter),3.710,3.570
3,8:29,2,7,HOU 25,24,2,Lamar Jackson pass complete short right to Derrick Henry for 14 yards (tackle by Eric Murray and Derek Stingley),3.570,4.840
