,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Eddy Pineiro,CAR,1,1,1,1,0,0,,0,PineEd00
Johnny Hekker,CAR,,,,,5,191,38.2,53,HekkJo00
Blake Grupe,NOR,5,5,4,4,0,0,,0,GrupBl00
Matthew Hayball,NOR,,,,,2,73,36.5,38,HaybMa00
