,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Cade York,WAS,2,2,,2,0,0,,0,YorkCa00
Tress Way,WAS,,,,,3,139,46.3,54,WayxTr00
Chase McLaughlin,TAM,4,4,3,3,0,0,,0,McLaCh00
Jake Camarda,TAM,,,,,1,38,38.0,38,CamaJa00
