,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Brayden Narveson,GNB,2,2,3,4,0,0,,0,NarvBr00
Daniel Whelan,GNB,,,,,2,74,37.0,41,WhelDa00
Jake Elliott,PHI,4,4,2,2,0,0,,0,ElliJa03
Braden Mann,PHI,,,,,2,101,50.5,54,MannBr01
