,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Ka'imi Fairbairn,HOU,2,2,3,3,0,0,,0,FairKa01
Tommy Townsend,HOU,,,,,1,56,56.0,56,TownTo01
Spencer Shrader,IND,3,3,,,0,0,,0,ShraSp00
Rigoberto Sanchez,IND,,,,,3,152,50.7,58,SancRi00
