,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Joshua Karty,LAR,2,2,2,2,0,0,,0,KartJo00
Ethan Evans,LAR,,,,,3,141,47.0,50,EvanEt00
Jake Bates,DET,2,2,2,2,0,0,,0,BateJa00
Jack Fox,DET,,,,,4,230,57.5,67,FoxxJa01
