,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Daniel Carlson,LVR,1,1,1,2,0,0,,0,CarlDa00
AJ Cole III,LVR,,,,,5,265,53.0,62,ColeAJ01
Cameron Dicker,LAC,1,1,3,3,0,0,,0,DickCa00
JK Scott,LAC,,,,,7,332,47.4,56,ScotJK00
