,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Nick Folk,TEN,2,2,1,1,0,0,,0,FolkNi20
Ryan Stonehouse,TEN,,,,,5,268,53.6,59,StonRy00
Cairo Santos,CHI,1,1,3,3,0,0,,0,SantCa01
Tory Taylor,CHI,,,,,6,270,45.0,60,TaylTo01
