,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Joey Slye,NWE,1,1,3,3,0,0,,0,SlyeJo00
Bryce Baringer,NWE,,,,,5,250,50.0,56,BariBr00
Evan McPherson,CIN,1,1,1,1,0,0,,0,McPhEv00
Ryan Rehkow,CIN,,,,,4,258,64.5,80,RehkRy00
