,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Cameron Johnston,PIT,,,,,2,103,51.5,58,JohnCa02
Chris Boswell,PIT,,,6,6,1,43,43.0,43,BoswCh00
Younghoe Koo,ATL,1,1,1,1,0,0,,0,KooxYo00
Bradley Pinion,ATL,,,,,4,210,52.5,59,PiniBr00
