,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Greg Zuerlein,NYJ,1,1,,,0,0,,0,ZuerGr00
Thomas Morstead,NYJ,,,,,3,160,53.3,60,MorsTh00
Jake Moody,SFO,2,2,6,6,0,0,,0,MoodJa00
Mitch Wishnowsky,SFO,,,,,1,58,58.0,58,WishMi00
