,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Will Reichard,MIN,4,4,,,0,0,,0,ReicWi00
Ryan Wright,MIN,,,,,4,168,42.0,48,WrigRy00
Jamie Gillan,NYG,,,,,6,277,46.2,54,GillJa00
Graham Gano,NYG,,,2,2,0,0,,0,GanoGr44
