,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Matt Prater,ARI,2,2,2,2,0,0,,0,PratMa20
Blake Gillikin,ARI,,,,,2,78,39.0,50,GillBl00
Tyler Bass,BUF,4,4,2,2,0,0,,0,BassTy00
Sam Martin,BUF,,,,,2,85,42.5,51,MartSa01
