,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Brandon Aubrey,DAL,3,3,4,4,0,0,,0,AubrBr00
Bryan Anger,DAL,,,,,6,294,49.0,59,AngeBr00
Dustin Hopkins,CLE,2,2,1,1,0,0,,0,HopkDu00
Corey Bojorquez,CLE,,,,,7,357,51.0,62,BojoCo00
