,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Wil Lutz,DEN,1,1,3,3,0,0,,0,LutzWi00
Riley Dixon,DEN,,,,,8,389,48.6,65,DixoRi00
Jason Myers,SEA,2,2,2,2,0,0,,0,MyerJa00
Michael Dickson,SEA,,,,,5,241,48.2,52,DickMi00
