,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Cam Little,JAX,2,2,1,1,0,0,,0,LittCa00
Logan Cooke,JAX,,,,,6,311,51.8,67,CookLo00
Jason Sanders,MIA,2,2,2,3,0,0,,0,SandJa00
Jake Bailey,MIA,,,,,4,198,49.5,57,BailJa00
