Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Player-additional
Bryce Young,CAR,13,30,161,7,20.6,377,12.6,111,8.5,3.7,50,3.8,1,3.7%,11,40.7%,4,13,6,2,12,31.6%,4,3.0,YounBr01
Andy Dalton,CAR,0,1,0,,,6,6.0,0,,0.0,0,,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,DaltAn00
Derek Carr,NOR,19,23,200,7,29.2,200,8.7,104,5.5,4.5,96,5.1,0,0.0%,2,8.7%,1,8,1,0,2,8.0%,1,8.0,CarrDe02
Jake Haener,NOR,0,1,0,,,8,8.0,0,,0.0,0,,0,0.0%,0,0.0%,0,1,0,0,0,0.0%,0,,HaenJa00
