,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Cameron Dicker,LAC,2,3,2,2,0,0,,0,DickCa00
JK Scott,LAC,,,,,3,129,43.0,47,ScotJK00
Johnny Hekker,CAR,,,,,7,311,44.4,64,HekkJo00
Eddy Pineiro,CAR,,,1,1,0,0,,0,PineEd00
