,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Blake Grupe,NOR,5,6,1,1,0,0,,0,GrupBl00
Matthew Hayball,NOR,,,,,1,49,49.0,49,HaybMa00
Brandon Aubrey,DAL,1,1,4,4,0,0,,0,AubrBr00
Bryan Anger,DAL,,,,,1,53,53.0,53,AngeBr00
