,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Joshua Karty,LAR,1,1,1,1,0,0,,0,KartJo00
Ethan Evans,LAR,,,,,4,215,53.8,63,EvanEt00
Matt Prater,ARI,5,5,2,2,0,0,,0,PratMa20
Blake Gillikin,ARI,,,,,1,60,60.0,60,GillBl00
