,,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Punting,Punting,-additional
Player,Tm,XPM,XPA,FGM,FGA,Pnt,Yds,Y/P,Lng,-9999
Tyler Bass,BUF,4,4,1,2,0,0,,0,BassTy00
Sam Martin,BUF,,,,,3,149,49.7,65,MartSa01
Jason Sanders,MIA,1,1,1,1,0,0,,0,SandJa00
Jake Bailey,MIA,,,,,1,48,48.0,48,BailJa00
