,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Lions,6.00,9.52,-2.70,13.57,-3.45,-8.78,-11.88,1.63,4.85,3.90,-4.17,5.64,4.59,-1.51,-0.65
Rams,-6.00,8.78,11.88,-1.63,-4.85,-9.52,2.70,-13.57,3.45,-3.90,-5.64,4.17,1.51,-4.59,0.65
