,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Packers,-5.00,10.53,4.58,8.27,-3.12,-11.27,-13.95,4.62,8.90,-4.39,-5.04,4.89,0.48,-2.39,-2.33
Eagles,5.00,11.27,13.95,-4.62,-8.90,-10.53,-4.58,-8.27,3.12,4.39,-4.89,5.04,2.39,-0.48,2.33
