,,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP
Falcons,-8.00,-13.70,-9.02,-5.61,-15.55,6.25,2.44,3.13,0.00,-2.05,-2.82,5.51,2.26,-0.51,-6.49
Steelers,8.00,-6.25,-2.44,-3.13,0.00,13.70,9.02,5.61,15.55,2.05,-5.51,2.82,0.51,-2.26,6.49
